source,target,proposed_relation,confidence,reason,evidence,manual_label,notes
ampere,current_unit,is_a,0.555556,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=1)",abampere,,
abdominal,anatomical_structure,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal,body_part,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal,external_anatomical_part,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal,solid_object,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_aorta,anatomical_structure,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_aorta,body_part,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_aorta,external_anatomical_part,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_aorta,solid_object,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_cavity,external_anatomical_part,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_wall,body_part,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_wall,external_anatomical_part,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
abdominal_wall,solid_object,is_a,0.529701,"learned relation rule: part_of -> is_a => is_a (support=4/4, smoothed_conf=0.556, fanout=4)",abdomen,,
a,formal_language,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alphabet,,
aconcagua,south_america,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",argentina,,
additions_to_esther,old_testament,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",apocrypha,,
adelie_coast,antarctic,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",antarctica,,
admiralty_island,alaska,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alexander_archipelago,,
admiralty_range,antarctic,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",antarctica,,
adrenal_cortex,endocrine_system,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",adrenal_gland,,
adrenal_cortex,kidney,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",adrenal_gland,,
adrenal_medulla,endocrine_system,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",adrenal_gland,,
adrenal_medulla,kidney,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",adrenal_gland,,
advent_sunday,church_calendar,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",advent,,
aegean_island,mediterranean,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",aegean,,
al_ain,united_arab_emirates,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",abu_dhabi,,
alaska_peninsula,united_states,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alaska,,
alaska_range,united_states,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alaska,,
alaskan_pipeline,united_states,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alaska,,
aleutian_islands,united_states,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alaska,,
alexander_archipelago,united_states,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alaska,,
algeciras,spain,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",andalusia,,
algiers,maghreb,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",algeria,,
alleghenies,east,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",appalachians,,
alveolar_artery,jaw,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alveolar_ridge,,
anal_sphincter,body,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=4)",anus,,
anal_sphincter,human_body,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=4)",anus,,
anal_sphincter,normal_human_body,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=4)",anus,,
anal_sphincter,rectum,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=4)",anus,,
anchorage,united_states,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",alaska,,
andes,south_america,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",argentina,,
anklebone,leg,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",ankle,,
annaba,maghreb,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",algeria,,
antarctic_peninsula,antarctic,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",antarctica,,
antigua,caribbean,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",antigua_and_barbuda,,
antigua,leeward_islands,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",antigua_and_barbuda,,
aoa,samoa,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",american_samoa,,
appalachia,east,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=1)",appalachians,,
april_fools,gregorian_calendar,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",april,,
april_fools,q2,part_of,0.500000,"learned relation rule: part_of -> part_of => part_of (support=3/3, smoothed_conf=0.500, fanout=2)",april,,
