id,prompt,ambiguous_term,expected_sense,continuation,selected_sense,confidence,decision,reasons,memory_hits
1,The man walked into the bank to deposit his cash,bank,financial_institution,The man walked into the bank to deposit his cash open an account,financial_institution,0.6667,continue,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=deposit -> financial_institution | cue=cash -> financial_institution | selected_sense=financial_institution
2,She asked the bank teller about a loan for her new house,bank,financial_institution,She asked the bank teller about a loan for her new house open an account,financial_institution,0.6667,continue,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=loan -> financial_institution | cue=teller -> financial_institution | selected_sense=financial_institution
3,He opened an account at the bank and got a credit card,bank,financial_institution,He opened an account at the bank and got a credit card open an account,financial_institution,0.7500,continue,top_sense=financial_institution | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=account -> financial_institution | cue=card -> financial_institution | cue=credit -> financial_institution | selected_sense=financial_institution
4,The bank approved the mortgage after checking his money and credit,bank,financial_institution,The bank approved the mortgage after checking his money and credit open an account,financial_institution,0.7500,continue,top_sense=financial_institution | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=money -> financial_institution | cue=mortgage -> financial_institution | cue=credit -> financial_institution | selected_sense=financial_institution
5,The fisherman sat by the bank of the river and watched the water,bank,river_edge,The fisherman sat by the bank of the river and watched the water cast his line,river_edge,0.7500,continue,top_sense=river_edge | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=river -> river_edge | cue=fisherman -> river_edge | cue=water -> river_edge | selected_sense=river_edge
6,The boat drifted close to the muddy bank of the quiet stream,bank,river_edge,The boat drifted close to the muddy bank of the quiet stream cast his line,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=stream -> river_edge | cue=boat -> river_edge | selected_sense=river_edge
7,They walked along the river bank watching the current,bank,river_edge,They walked along the river bank watching the current cast his line,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=river -> river_edge | cue=current -> river_edge | selected_sense=river_edge
8,Frogs rested on the bank near the shore in the soft mud,bank,river_edge,Frogs rested on the bank near the shore in the soft mud cast his line,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=shore -> river_edge | cue=mud -> river_edge | selected_sense=river_edge
9,The bat flew out of the cave at night,bat,animal,The bat flew out of the cave at night flew into the dark cave,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=cave -> animal | cue=flew -> animal | cue=night -> animal | selected_sense=animal
10,A bat was hanging upside down with its wings folded,bat,animal,A bat was hanging upside down with its wings folded flew into the dark cave,animal,0.6667,continue,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=wings -> animal | cue=hanging -> animal | selected_sense=animal
