id,source_suite,question,qa_decision,qa_intent,qa_answer,context_safe_for_answering,candidate_paths_count,blocked_paths_count,weak_links_count,source_facts_count,missing_hints_count,validation_passed,consistency_status,failure_reason,risk_flags
eqa-v1-001,entity_qa_v1,Who is Elon Musk?,answer,define_entity,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-v1-002,entity_qa_v1,What is Tesla?,answer,define_entity,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-v1-003,entity_qa_v1,What is SpaceX?,answer,define_entity,"SpaceX is an aerospace manufacturer and space transportation company. In the overlay, SpaceX develops rockets and spacecraft and produces Falcon rockets and Dragon spacecraft.",True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-v1-004,entity_qa_v1,What is Forbes?,answer,define_entity,"Forbes is an American business magazine. In the overlay, Forbes publishes business rankings and financial lists.",True,0,0,5,0,0,True,answer_supported_by_context,,
eqa-v1-005,entity_qa_v1,What is leadership?,answer,define_entity,Leadership is an ability to guide a group of people toward a common goal.,False,0,0,5,0,0,True,answer_supported_by_context,,
eqa-v1-006,entity_qa_v1,What is an electric vehicle?,answer,define_entity,Electric vehicle is a vehicle that uses one or more electric motors for propulsion.,False,0,0,9,0,0,True,answer_supported_by_context,,
eqa-v1-007,entity_qa_v1,What is a rocket?,answer,define_entity,Rocket is a vehicle that obtains thrust from a rocket engine.,False,0,0,7,0,0,True,answer_supported_by_context,,
eqa-v1-008,entity_qa_v1,What is net worth?,answer,define_entity,Net worth is a value of all assets minus liabilities.,False,0,0,6,0,0,True,answer_supported_by_context,,current_or_live
eqa-v1-009,entity_qa_v1,What is Elon Musk known for?,answer,relation_lookup,Elon Musk is known for Tesla and SpaceX.,True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-v1-010,entity_qa_v1,What companies is Elon Musk linked to by leadership?,answer,relation_lookup,Elon Musk is linked to Tesla and SpaceX through leadership.,False,0,1,10,1,0,True,answer_supported_by_context,,weak_only_path|volatile_source_qualified
eqa-v1-011,entity_qa_v1,What does Tesla produce?,answer,relation_lookup,"Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-v1-012,entity_qa_v1,What does SpaceX develop?,answer,relation_lookup,SpaceX develops rockets and spacecraft.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-v1-013,entity_qa_v1,Who founded SpaceX?,answer,relation_lookup,SpaceX was founded by Elon Musk.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-v1-014,entity_qa_v1,Who founded Tesla?,answer,relation_lookup,Tesla was founded by Martin Eberhard and Marc Tarpenning.,True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-v1-015,entity_qa_v1,What does Forbes publish?,answer,relation_lookup,Forbes publishes business rankings and financial lists.,True,0,0,5,0,0,True,answer_supported_by_context,,
eqa-v1-016,entity_qa_v1,Why is Forbes linked to Elon Musk?,answer,link_explanation,Forbes is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-v1-017,entity_qa_v1,Why is Leadership linked to Elon Musk?,answer,link_explanation,Leadership is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-v1-018,entity_qa_v1,Why is Rocket linked to SpaceX?,answer,link_explanation,Rocket is linked from the SpaceX page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,16,0,0,True,safe_policy_answer_supported,,weak_only_path
eqa-v1-019,entity_qa_v1,Why is Electric vehicle linked to Tesla?,answer,link_explanation,Electric vehicle is linked from the Tesla page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,21,0,0,True,safe_policy_answer_supported,,weak_only_path
eqa-v1-020,entity_qa_v1,What does Forbes estimate about Elon Musk?,answer,source_fact_lookup,"According to Forbes as of 2026-06, Elon Musk's estimated net worth is US$1.1 trillion. This is a volatile source-qualified estimate and should be rechecked.",False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-v1-021,entity_qa_v1,Is Elon Musk's net worth a stable fact?,answer,source_fact_lookup,"No, Elon Musk's net worth is not a stable fact. It is classified as volatile and source-qualified (source: Forbes, as of 2026-06). It requires rechecking.",False,0,1,11,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-v1-022,entity_qa_v1,Why should Musk's net worth be rechecked?,answer,source_fact_lookup,Musk's net worth should be rechecked because it is a time-sensitive estimate from Forbes (as of 2026-06). Wealth figures change frequently and are source-dependent.,False,0,1,11,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-v1-023,entity_qa_v1,What is Elon Musk's favorite food?,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,False,0,0,6,1,0,True,audit_supported_by_context,,private_or_sensitive|volatile_source_qualified
eqa-v1-024,entity_qa_v1,Who is the current CEO of Tesla?,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,False,0,0,13,0,1,True,audit_supported_by_context,,current_or_live
eqa-v1-025,entity_qa_v1,What is Tesla's current stock price?,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,False,0,0,13,0,0,True,audit_supported_by_context,,current_or_live
eqa-v1-026,entity_qa_v1,What is SpaceX's current valuation?,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,False,0,0,10,0,1,True,audit_supported_by_context,,current_or_live
eqa-v1-027,entity_qa_v1,What is the current market cap of Tesla?,audit,unknown_or_unsupported,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,False,0,0,13,0,0,True,audit_supported_by_context,,current_or_live
eqa-v1-028,entity_qa_v1,What is Bloomberg News?,answer,define_entity,"Bloomberg News is an international news organization. In the overlay, Bloomberg News publishes financial market coverage and wealth indexes.",True,0,0,3,0,0,True,answer_supported_by_context,,
eqa-exp-v1-001,entity_qa_expansion_v1,Who is Elon Musk?,answer,define_entity,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-002,entity_qa_expansion_v1,Tell me who Elon Musk is.,answer,define_entity,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-003,entity_qa_expansion_v1,What kind of entity is Elon Musk?,answer,define_entity,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-004,entity_qa_expansion_v1,What kind of person is Elon Musk?,answer,define_entity,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-005,entity_qa_expansion_v1,What is Tesla?,answer,define_entity,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-006,entity_qa_expansion_v1,Tell me about Tesla.,answer,define_entity,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-007,entity_qa_expansion_v1,What kind of organization is Tesla?,answer,define_entity,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-008,entity_qa_expansion_v1,What sort of company is Tesla?,answer,define_entity,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-009,entity_qa_expansion_v1,What is SpaceX?,answer,define_entity,"SpaceX is an aerospace manufacturer and space transportation company. In the overlay, SpaceX develops rockets and spacecraft and produces Falcon rockets and Dragon spacecraft.",True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-010,entity_qa_expansion_v1,Tell me about SpaceX.,answer,define_entity,"SpaceX is an aerospace manufacturer and space transportation company. In the overlay, SpaceX develops rockets and spacecraft and produces Falcon rockets and Dragon spacecraft.",True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-011,entity_qa_expansion_v1,What kind of company is SpaceX?,answer,define_entity,"SpaceX is an aerospace manufacturer and space transportation company. In the overlay, SpaceX develops rockets and spacecraft and produces Falcon rockets and Dragon spacecraft.",True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-012,entity_qa_expansion_v1,What is Forbes?,answer,define_entity,"Forbes is an American business magazine. In the overlay, Forbes publishes business rankings and financial lists.",True,0,0,5,0,0,True,answer_supported_by_context,,
eqa-exp-v1-013,entity_qa_expansion_v1,Tell me about Forbes.,answer,define_entity,"Forbes is an American business magazine. In the overlay, Forbes publishes business rankings and financial lists.",True,0,0,5,0,0,True,answer_supported_by_context,,
eqa-exp-v1-014,entity_qa_expansion_v1,What type of publication is Forbes?,answer,define_entity,"Forbes is an American business magazine. In the overlay, Forbes publishes business rankings and financial lists.",True,0,0,5,0,0,True,answer_supported_by_context,,
eqa-exp-v1-015,entity_qa_expansion_v1,What is Bloomberg News?,answer,define_entity,"Bloomberg News is an international news organization. In the overlay, Bloomberg News publishes financial market coverage and wealth indexes.",True,0,0,3,0,0,True,answer_supported_by_context,,
eqa-exp-v1-016,entity_qa_expansion_v1,What type of organization is Bloomberg News?,answer,define_entity,"Bloomberg News is an international news organization. In the overlay, Bloomberg News publishes financial market coverage and wealth indexes.",True,0,0,3,0,0,True,answer_supported_by_context,,
eqa-exp-v1-017,entity_qa_expansion_v1,What is leadership?,answer,define_entity,Leadership is an ability to guide a group of people toward a common goal.,False,0,0,5,0,0,True,answer_supported_by_context,,
eqa-exp-v1-018,entity_qa_expansion_v1,Tell me about leadership.,answer,define_entity,Leadership is an ability to guide a group of people toward a common goal.,False,0,0,5,0,0,True,answer_supported_by_context,,
eqa-exp-v1-019,entity_qa_expansion_v1,What is an electric vehicle?,answer,define_entity,Electric vehicle is a vehicle that uses one or more electric motors for propulsion.,False,0,0,9,0,0,True,answer_supported_by_context,,
eqa-exp-v1-020,entity_qa_expansion_v1,What is a rocket?,answer,define_entity,Rocket is a vehicle that obtains thrust from a rocket engine.,False,0,0,7,0,0,True,answer_supported_by_context,,
eqa-exp-v1-021,entity_qa_expansion_v1,What is net worth?,answer,define_entity,Net worth is a value of all assets minus liabilities.,False,0,0,6,0,0,True,answer_supported_by_context,,current_or_live
eqa-exp-v1-022,entity_qa_expansion_v1,Tell me about net worth.,answer,define_entity,Net worth is a value of all assets minus liabilities.,False,0,0,6,0,0,True,answer_supported_by_context,,current_or_live
eqa-exp-v1-023,entity_qa_expansion_v1,What is a businessperson?,answer,define_entity,Businessperson is a person who engages in commercial activity.,False,0,0,3,0,0,True,answer_supported_by_context,,
eqa-exp-v1-024,entity_qa_expansion_v1,What is Elon Musk known for?,answer,relation_lookup,Elon Musk is known for Tesla and SpaceX.,True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-025,entity_qa_expansion_v1,What companies is Elon Musk known for?,answer,relation_lookup,Elon Musk is known for Tesla and SpaceX.,True,0,0,6,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-026,entity_qa_expansion_v1,What is SpaceX known for?,answer,relation_lookup,SpaceX develops rockets and spacecraft. SpaceX produces Falcon rockets and Dragon spacecraft.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-027,entity_qa_expansion_v1,What companies is Elon Musk linked to by leadership?,answer,relation_lookup,Elon Musk is linked to Tesla and SpaceX through leadership.,False,0,1,10,1,0,True,answer_supported_by_context,,weak_only_path|volatile_source_qualified
eqa-exp-v1-028,entity_qa_expansion_v1,Which organizations is Elon Musk linked to through leadership?,answer,relation_lookup,Elon Musk is linked to Tesla and SpaceX through leadership.,False,0,1,10,1,0,True,answer_supported_by_context,,weak_only_path|volatile_source_qualified
eqa-exp-v1-029,entity_qa_expansion_v1,How is Elon Musk connected to Tesla?,answer,relation_lookup,Elon Musk is linked to Tesla through leadership. Elon Musk is known for Tesla.,True,1,0,18,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-030,entity_qa_expansion_v1,How is Elon Musk related to Tesla?,answer,relation_lookup,Elon Musk is linked to Tesla through leadership. Elon Musk is known for Tesla.,True,1,0,18,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-031,entity_qa_expansion_v1,How is Elon Musk connected to SpaceX?,answer,relation_lookup,Elon Musk is linked to SpaceX through leadership. Elon Musk is known for SpaceX. Elon Musk founded SpaceX.,True,1,0,15,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-032,entity_qa_expansion_v1,How is Elon Musk linked to SpaceX?,answer,relation_lookup,Elon Musk is linked to SpaceX through leadership. Elon Musk is known for SpaceX. Elon Musk founded SpaceX.,True,1,0,15,1,0,True,answer_supported_by_context,,volatile_source_qualified
eqa-exp-v1-033,entity_qa_expansion_v1,What does Tesla produce?,answer,relation_lookup,"Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-034,entity_qa_expansion_v1,What products does Tesla make?,answer,relation_lookup,"Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-035,entity_qa_expansion_v1,What does Tesla manufacture?,answer,relation_lookup,"Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-036,entity_qa_expansion_v1,What does SpaceX develop?,answer,relation_lookup,SpaceX develops rockets and spacecraft.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-037,entity_qa_expansion_v1,What does SpaceX produce?,answer,relation_lookup,SpaceX produces Falcon rockets and Dragon spacecraft.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-038,entity_qa_expansion_v1,What products does SpaceX make?,answer,relation_lookup,SpaceX produces Falcon rockets and Dragon spacecraft.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-039,entity_qa_expansion_v1,What does SpaceX manufacture?,answer,relation_lookup,SpaceX produces Falcon rockets and Dragon spacecraft.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-040,entity_qa_expansion_v1,Who founded SpaceX?,answer,relation_lookup,SpaceX was founded by Elon Musk.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-041,entity_qa_expansion_v1,Who is the founder of SpaceX?,answer,relation_lookup,SpaceX was founded by Elon Musk.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-042,entity_qa_expansion_v1,Who were SpaceX's founders?,answer,relation_lookup,SpaceX was founded by Elon Musk.,True,0,0,10,0,0,True,answer_supported_by_context,,
eqa-exp-v1-043,entity_qa_expansion_v1,Who founded Tesla?,answer,relation_lookup,Tesla was founded by Martin Eberhard and Marc Tarpenning.,True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-044,entity_qa_expansion_v1,Who is the founder of Tesla?,answer,relation_lookup,Tesla was founded by Martin Eberhard and Marc Tarpenning.,True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-045,entity_qa_expansion_v1,Who were Tesla's founders?,answer,relation_lookup,Tesla was founded by Martin Eberhard and Marc Tarpenning.,True,0,0,13,0,0,True,answer_supported_by_context,,
eqa-exp-v1-046,entity_qa_expansion_v1,What does Forbes publish?,answer,relation_lookup,Forbes publishes business rankings and financial lists.,True,0,0,5,0,0,True,answer_supported_by_context,,
eqa-exp-v1-047,entity_qa_expansion_v1,What does Bloomberg News publish?,answer,relation_lookup,Bloomberg News publishes financial market coverage and wealth indexes.,True,0,0,3,0,0,True,answer_supported_by_context,,
eqa-exp-v1-048,entity_qa_expansion_v1,Why is Forbes linked to Elon Musk?,answer,link_explanation,Forbes is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-exp-v1-049,entity_qa_expansion_v1,Why does Forbes appear on the Elon Musk page?,answer,link_explanation,Forbes is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-exp-v1-050,entity_qa_expansion_v1,Is Forbes a stable factual relation for Elon Musk?,answer,link_explanation,Forbes is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-exp-v1-051,entity_qa_expansion_v1,Why is leadership linked to Elon Musk?,answer,link_explanation,leadership is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-exp-v1-052,entity_qa_expansion_v1,Why is net worth linked to Elon Musk?,answer,link_explanation,net worth is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,11,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
eqa-exp-v1-053,entity_qa_expansion_v1,Why is SpaceX linked to Elon Musk?,answer,link_explanation,SpaceX is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,True,1,0,15,1,0,True,safe_policy_answer_supported,,volatile_source_qualified
eqa-exp-v1-054,entity_qa_expansion_v1,Why is Tesla linked to Elon Musk?,answer,link_explanation,Tesla is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,True,1,0,18,1,0,True,safe_policy_answer_supported,,volatile_source_qualified
eqa-exp-v1-055,entity_qa_expansion_v1,Why is businessman linked to Elon Musk?,answer,link_explanation,businessman is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,True,0,0,6,1,0,True,safe_policy_answer_supported,,volatile_source_qualified
eqa-exp-v1-056,entity_qa_expansion_v1,Why are rockets linked to SpaceX?,answer,link_explanation,rockets is linked from the SpaceX page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,True,1,0,11,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-057,entity_qa_expansion_v1,Why is Rocket linked to SpaceX?,answer,link_explanation,Rocket is linked from the SpaceX page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,16,0,0,True,safe_policy_answer_supported,,weak_only_path
eqa-exp-v1-058,entity_qa_expansion_v1,Why are spacecraft linked to SpaceX?,answer,link_explanation,spacecraft is linked from the SpaceX page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,True,1,0,16,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-059,entity_qa_expansion_v1,Why are electric vehicles linked to Tesla?,answer,link_explanation,electric vehicles is linked from the Tesla page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,True,0,0,13,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-060,entity_qa_expansion_v1,Why is Electric vehicle linked to Tesla?,answer,link_explanation,Electric vehicle is linked from the Tesla page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,21,0,0,True,safe_policy_answer_supported,,weak_only_path
eqa-exp-v1-061,entity_qa_expansion_v1,Why is clean energy linked to Tesla?,answer,link_explanation,clean energy is linked from the Tesla page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,False,0,1,17,0,0,True,safe_policy_answer_supported,,weak_only_path
eqa-exp-v1-062,entity_qa_expansion_v1,Why is rankings linked to Forbes?,answer,link_explanation,rankings is linked from the Forbes page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,True,0,0,5,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-063,entity_qa_expansion_v1,Is a wiki link treated as a fact?,answer,link_explanation,"No. In this overlay, a wiki link is stored as a weak context link (weak_context_only trust) and is not treated as a stable factual relation. A weak link does not establish that a claim is true.",False,0,0,0,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-064,entity_qa_expansion_v1,Does the overlay treat weak context links as facts?,answer,link_explanation,"No. In this overlay, a wiki link is stored as a weak context link (weak_context_only trust) and is not treated as a stable factual relation. A weak link does not establish that a claim is true.",False,0,0,0,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-065,entity_qa_expansion_v1,Are weak context links treated as facts?,answer,link_explanation,"No. In this overlay, a wiki link is stored as a weak context link (weak_context_only trust) and is not treated as a stable factual relation. A weak link does not establish that a claim is true.",False,0,0,0,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-066,entity_qa_expansion_v1,Is a weak link a fact?,answer,link_explanation,"No. In this overlay, a wiki link is stored as a weak context link (weak_context_only trust) and is not treated as a stable factual relation. A weak link does not establish that a claim is true.",False,0,0,0,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-067,entity_qa_expansion_v1,Does a weak link mean the claim is true?,answer,link_explanation,"No. In this overlay, a wiki link is stored as a weak context link (weak_context_only trust) and is not treated as a stable factual relation. A weak link does not establish that a claim is true.",False,0,0,0,0,0,True,safe_policy_answer_supported,,
eqa-exp-v1-068,entity_qa_expansion_v1,What does Forbes estimate about Elon Musk?,answer,source_fact_lookup,"According to Forbes as of 2026-06, Elon Musk's estimated net worth is US$1.1 trillion. This is a volatile source-qualified estimate and should be rechecked.",False,0,1,10,1,0,True,safe_policy_answer_supported,,weak_only_path|volatile_source_qualified
