proposal_id,term,sense,risk_level,recommended_action,source_ids,positive_cues,anti_cues,typical_actions,typical_locations,semantic_frame_hints,phrase_candidate_hints,rejected_broad_cues,conflicting_cues
prop_cf6dc4c79801,bank,financial_institution,medium,human_review,curated_bank_financial_v1,account|deposit|loan|teller|cash|saving|atm|interest|check|branch,,deposit|withdraw|open an account|request a loan,branch,financial_transaction,went to the bank to deposit,,
prop_8303fbb873e6,bank,river_edge,medium,human_review,curated_bank_river_v1,stream|current|reed|grass|fishermen|bridge|floodwater|soil|river bank,,fish|cast|erode,river,natural_geography,stood on the bank,,
prop_0ccd88a2cbfd,bat,animal,medium,human_review,curated_bat_animal_v1,cave|roost|rafter|insect|echolocation|wing|membrane|dusk|mammal,,hunt|roost|hang,cave|attic,animal_behavior,flew out of the cave at dusk,,
prop_a835b68aedd0,bat,sports_equipment,medium,human_review,curated_bat_sports_v1,pitcher|ball|batter|plate|swing|player|pitch|aluminum|baseball|home run,,swing|hit|strike,plate,sports_equipment_use,swung the bat at the pitch,,
prop_ef0510ed501b,crane,bird,medium,human_review,curated_crane_bird_v1,neck|leg|reed|lake|wetland|marsh|wing|migration|flock,,wade|dance|migrate,wetland|lake,bird_behavior,stood in the reeds by the lake,,
prop_f5a10d66b7bb,crane,machine,medium,human_review,curated_crane_machine_v1,hook|load|cable|boom|operator|tower crane|outrigger|construction site|steel beams,,lift|lower|swing,construction site,heavy_machinery_operation,lowered the load with the hook,,
prop_fddd629a480b,rock,music,medium,human_review,curated_rock_music_v1,band|concert|crowd|stage|guitar|drum|album|genre,,play|perform,stage,music_performance,played to a crowd on stage,,
prop_88f3b9744b89,rock,stone,medium,human_review,curated_rock_stone_v1,cliff|boulder|trail|mineral|geology|ground|hillside,,climb|roll,mountain|cliff,natural_material,climbed over the rocks on the trail,,
prop_744d16810b79,seal,animal,medium,human_review,curated_seal_animal_v1,fish|flipper|ocean|coast|marine|mammal|pup|orca|bark,,swim|dive|rest,coast|shore,animal_behavior,dove below the surface,,
prop_547e134ead61,seal,closure_stamp,medium,human_review,curated_seal_closure_v1,wax|envelope|document|parcel|flap|certificate|notary|airtight|stamped,,press|break|stamp,document,document_closure,sealed it shut|pressed the seal onto the document,,
prop_7c916d0fa609,spring,coil,medium,human_review,curated_spring_coil_v1,latch|handle|device|coil|metal|elastic|mattress|compressed,,snap|compress|stretch,device,mechanical_device,snapped back into place,,
prop_6da7ad11ada3,spring,season,medium,human_review,curated_spring_season_v1,thaw|flower|morning|rain|migration|bloom|warm,,bloom|thaw,outdoor,seasonal_transition,arrived with the first warm mornings,,
