id,prompt,ambiguous_term,expected_sense
1,The man walked into the bank to deposit his cash,bank,financial_institution
2,She asked the bank teller about a loan for her new house,bank,financial_institution
3,He opened an account at the bank and got a credit card,bank,financial_institution
4,The bank approved the mortgage after checking his money and credit,bank,financial_institution
5,The fisherman sat by the bank of the river and watched the water,bank,river_edge
6,The boat drifted close to the muddy bank of the quiet stream,bank,river_edge
7,They walked along the river bank watching the current,bank,river_edge
8,Frogs rested on the bank near the shore in the soft mud,bank,river_edge
9,The bat flew out of the cave at night,bat,animal
10,A bat was hanging upside down with its wings folded,bat,animal
11,The animal expert said the bat leaves the cave only at night,bat,animal
12,The baseball player picked up the bat and took a swing,bat,sports_equipment
13,The bat cracked when he hit the ball during the game,bat,sports_equipment
14,The player gripped the bat tightly before the final swing of the game,bat,sports_equipment
15,The seal swam through the ocean water chasing fish,seal,animal
16,At the zoo the seal clapped its flippers in the water,seal,animal
17,She pressed the wax seal onto the envelope and the document,seal,closure_stamp
18,The official seal on the package matched the stamp on the document,seal,closure_stamp
19,The crane spread its wings and flew over the marsh,crane,bird
20,A crane built a nest near the lake where the bird stood still,crane,bird
21,The crane at the construction site lifted a steel beam,crane,machine
22,The operator moved the crane above the building site,crane,machine
23,The man went to the bank to,bank,
24,The dog ran across the yard and,,
