name,quality_score,adjusted_quality_score,quality_reasons,pattern_reasons,duplicate,source,manual_label,notes
hage,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как фамилия/ник
rajvionnah,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:vi,False,learned,bad,"перегруженная склейка, плохая читаемость"
caito,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как имя/ник
nesma,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:es,False,learned,good,реально звучит как имя
maizyaun,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странное, но возможно имя/ник"
fizzy,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,bad,"обычное слово/ник, не хорошее имя"
abetzivion,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:vi,False,learned,bad,"склейка, плохая читаемость"
harose,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странное, но возможно имя/фамилия"
patianna,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:at,False,learned,good,звучит как имя
prayna,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как имя
oliya,1.0,1.0,looks like a plausible name|reasonable_length,,False,learned,good,реально звучит как имя
kwab,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странное, но возможно ник/имя"
jarvi,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:vi,False,learned,good,звучит как фамилия/ник
pipe,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,bad,обычное слово
vick,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:vi,False,learned,good,реально звучит как имя/ник
zayersay,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странная склейка, но читается"
abdulmah,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,похоже на имя
arsyn,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как имя/ник
pangelina,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,,False,learned,bad,"склейка с Angelina, выглядит искусственно"
saheima,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как имя
hersyona,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,имяобразное
nealaini,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:ni,False,learned,unclear,"склеено, но возможно имя"
malaindi,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странное, но возможно имя"
raegacelsie,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:ie,False,learned,bad,перегруженная склейка
coppi,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как фамилия/ник
ayde,1.0,1.0,looks like a plausible name|reasonable_length,,False,learned,good,"короткое, но имяобразное"
josha,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,похоже на имя
ahmaddaia,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"длинновато и склеено, но возможно имя"
tuly,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странное, но возможно ник/имя"
jessley,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:es,False,learned,good,звучит как имя
dily,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:il,False,learned,unclear,"короткое и странное, но возможно ник/имя"
jayliannah,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:yl,False,learned,good,"длинновато, но звучит как имя"
melquie,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:ie,False,learned,unclear,"странная орфография, но возможно имя"
anys,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странное, но возможно ник/имя"
nadalie,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:ie,False,learned,good,звучит как имя
syedi,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"странное, но возможно имя"
solston,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как фамилия/ник
ebubeylah,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:yl,False,learned,unclear,"странное, но возможно имя"
otissyn,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как имя/ник
orstyn,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как имя/фамилия
irise,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как имя
mahirimeye,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,unclear,"склеено, но возможно имя"
jestii,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:es,False,learned,unclear,"странная орфография, но возможно ник"
adesidney,1.0,0.85,looks like a plausible name|reasonable_length|balanced_vowels,bad_pattern:es,False,learned,unclear,"склейка с Sidney, но возможно имя"
saarina,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,,False,learned,good,реально звучит как имя
myogi,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,звучит как фамилия/ник
vang,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,,False,learned,good,реально звучит как фамилия
