id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,continuation,selected_sense,confidence,decision,reasons,memory_hits,trusted_decision,trusted_continuation,candidate_continuation,candidate_full_text,candidate_status,candidate_risk,candidate_source,candidate_review_action,candidate_reason,candidate_selected_sense,candidate_validation_status,candidate_trace,candidate_learning_payload
v1-001,The customer reached the bank teller with cash to,bank,financial_institution,cue_rich,Direct teller and cash cues target the financial sense,The customer reached the bank teller with cash to open an account,financial_institution,0.7500,continue,top_sense=financial_institution | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=teller -> financial_institution | positive_cue=teller -> financial_institution | cue=cash -> financial_institution | positive_cue=cash -> financial_institution | cue=customer -> financial_institution | positive_cue=customer -> financial_institution | realization_type=infinitive_after_to | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=open an account | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution,continue,The customer reached the bank teller with cash to open an account,open an account,The customer reached the bank teller with cash to open an account,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,financial_institution,trusted,candidate_status=trusted,{}
v1-002,At the bank she opened an account and asked about credit to,bank,financial_institution,cue_rich,Multiple financial cues make this an easy control row,At the bank she opened an account and asked about credit to speak with the teller,financial_institution,0.6667,continue,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=account -> financial_institution | positive_cue=account -> financial_institution | cue=credit -> financial_institution | positive_cue=credit -> financial_institution | realization_type=infinitive_after_to | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=speak with the teller | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution,continue,At the bank she opened an account and asked about credit to speak with the teller,speak with the teller,At the bank she opened an account and asked about credit to speak with the teller,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,financial_institution,trusted,candidate_status=trusted,{}
v1-003,The fisherman sat on the muddy bank by the river to,bank,river_edge,cue_rich,Direct fisherman mud and river cues target the river edge,The fisherman sat on the muddy bank by the river to watch the current,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=river -> river_edge | positive_cue=river -> river_edge | cue=fisherman -> river_edge | positive_cue=fisherman -> river_edge | realization_type=infinitive_after_to | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=watch the current | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=river_edge,continue,The fisherman sat on the muddy bank by the river to watch the current,watch the current,The fisherman sat on the muddy bank by the river to watch the current,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,river_edge,trusted,candidate_status=trusted,{}
v1-004,The boat drifted toward the bank as the current,bank,river_edge,cue_rich,Boat and current cues make the river edge explicit,The boat drifted toward the bank as the current carried it downstream,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=current -> river_edge | positive_cue=current -> river_edge | cue=boat -> river_edge | positive_cue=boat -> river_edge | realization_type=clause_after_as | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=carried it downstream | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=river_edge,continue,The boat drifted toward the bank as the current carried it downstream,carried it downstream,The boat drifted toward the bank as the current carried it downstream,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,river_edge,trusted,candidate_status=trusted,{}
v1-005,The bat flew from the cave at night with its wings,bat,animal,cue_rich,Direct animal behavior cues target the mammal,The bat flew from the cave at night with its wings and searched for insects,animal,0.8000,continue,top_sense=animal | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=bat | cue=cave -> animal | positive_cue=cave -> animal | cue=flew -> animal | positive_cue=flew -> animal | cue=wings -> animal | positive_cue=wings -> animal | cue=night -> animal | positive_cue=night -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and searched for insects | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal,continue,The bat flew from the cave at night with its wings and searched for insects,and searched for insects,The bat flew from the cave at night with its wings and searched for insects,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
v1-006,The tiny bat hung in the cave after night,bat,animal,cue_rich,Cave night and hanging cues are strongly animal aligned,The tiny bat hung in the cave after night and searched for insects,animal,0.6667,continue,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=cave -> animal | positive_cue=cave -> animal | cue=night -> animal | positive_cue=night -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and searched for insects | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal,continue,The tiny bat hung in the cave after night and searched for insects,and searched for insects,The tiny bat hung in the cave after night and searched for insects,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
v1-007,The baseball player lifted the bat before the swing,bat,sports_equipment,cue_rich,Baseball player and swing cues target sports equipment,"The baseball player lifted the bat before the swing, he steadied himself",sports_equipment,0.7500,continue,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,"term=bat | cue=baseball -> sports_equipment | positive_cue=baseball -> sports_equipment | cue=player -> sports_equipment | positive_cue=player -> sports_equipment | cue=swing -> sports_equipment | positive_cue=swing -> sports_equipment | realization_type=clause_after_before_subject | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=he steadied himself | surface_repair=applied | subject_action_validator=passed | connector_rewriter=applied | surface_repair_rule=connector_comma | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=, he steadied himself | selected_sense=sports_equipment",continue,"The baseball player lifted the bat before the swing, he steadied himself",", he steadied himself","The baseball player lifted the bat before the swing, he steadied himself",trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,sports_equipment,trusted,candidate_status=trusted,{}
v1-008,The bat cracked when he hit it during the game,bat,sports_equipment,cue_rich,Hit cracked and game cues make sports equipment explicit,The bat cracked when he hit it during the game and the player dropped it,sports_equipment,0.7500,continue,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=hit -> sports_equipment | positive_cue=hit -> sports_equipment | cue=cracked -> sports_equipment | positive_cue=cracked -> sports_equipment | cue=game -> sports_equipment | positive_cue=game -> sports_equipment | realization_type=neutral_extension | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the player dropped the bat | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=and the player dropped it | selected_sense=sports_equipment,continue,The bat cracked when he hit it during the game and the player dropped it,and the player dropped it,The bat cracked when he hit it during the game and the player dropped it,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,sports_equipment,trusted,candidate_status=trusted,{}
v1-009,The seal swam through ocean water chasing fish to,seal,animal,cue_rich,Ocean water and fish cues target the animal,The seal swam through ocean water chasing fish to catch its prey,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=ocean -> animal | positive_cue=ocean -> animal | cue=fish -> animal | positive_cue=fish -> animal | cue=water -> animal | positive_cue=water -> animal | realization_type=infinitive_after_to | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=catch another fish | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_prey | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=catch its prey | selected_sense=animal,continue,The seal swam through ocean water chasing fish to catch its prey,catch its prey,The seal swam through ocean water chasing fish to catch its prey,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
v1-010,At the zoo the seal waved its flippers above the water,seal,animal,cue_rich,Zoo flippers and water cues make the animal sense clear,At the zoo the seal waved its flippers above the water and dove below the surface,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=zoo -> animal | positive_cue=zoo -> animal | cue=flippers -> animal | positive_cue=flippers -> animal | cue=water -> animal | positive_cue=water -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and dove below the surface | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal,continue,At the zoo the seal waved its flippers above the water and dove below the surface,and dove below the surface,At the zoo the seal waved its flippers above the water and dove below the surface,trusted,low,trusted_continuation,accept_as_training_example,trusted policy continuation reused as candidate,animal,trusted,candidate_status=trusted,{}
