row_id,term,target_sense,prompt,expected_safe_behavior,expected_cue,risk_level,baseline_decision,baseline_selected_sense,baseline_continuation,provider_decision,provider_selected_sense,provider_continuation,baseline_reasons,provider_reasons,provider_memory_hits,changed,newly_continued,newly_audited,provider_influenced
kp-v1-001,bank,financial_institution,The customer opened a savings account at the bank,continue,account,low,continue,financial_institution,The customer opened a savings account at the bank and completed the transaction,continue,financial_institution,The customer opened a savings account at the bank and completed the transaction,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=account -> financial_institution | positive_cue=account -> financial_institution | cue=customer -> financial_institution | positive_cue=customer -> financial_institution | realization_type=neutral_extension | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and completed the transaction | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution,no,no,no,no
kp-v1-002,bank,financial_institution,She asked the teller for an ATM card at the bank,continue,teller,low,continue,financial_institution,She asked the teller for an ATM card at the bank and completed the transaction,continue,financial_institution,She asked the teller for an ATM card at the bank and completed the transaction,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=financial_institution | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=teller -> financial_institution | positive_cue=teller -> financial_institution | cue=card -> financial_institution | positive_cue=card -> financial_institution | cue=atm -> financial_institution | positive_cue=atm -> financial_institution | realization_type=neutral_extension | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and completed the transaction | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=atm -> bank:financial_institution,no,no,no,yes
kp-v1-003,bank,financial_institution,He checked the interest rate on his loan at the bank,continue,interest,low,continue,financial_institution,He checked the interest rate on his loan at the bank and completed the transaction,continue,financial_institution,He checked the interest rate on his loan at the bank and completed the transaction,top_sense=financial_institution | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=loan -> financial_institution | positive_cue=loan -> financial_institution | cue=interest -> financial_institution | positive_cue=interest -> financial_institution | realization_type=neutral_extension | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and completed the transaction | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=interest -> bank:financial_institution,no,no,no,yes
kp-v1-004,bank,financial_institution,The bank branch processed the check and credited the account,continue,branch,low,continue,financial_institution,The bank branch processed the check and credited the account and completed the transaction,continue,financial_institution,The bank branch processed the check and credited the account and completed the transaction,top_sense=financial_institution | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=financial_institution | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=account -> financial_institution | positive_cue=account -> financial_institution | cue=check -> financial_institution | positive_cue=check -> financial_institution | cue=branch -> financial_institution | positive_cue=branch -> financial_institution | realization_type=neutral_extension | semantic_frame_intent=transaction | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and completed the transaction | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=financial_institution | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=check -> bank:financial_institution | provider_cue=branch -> bank:financial_institution,no,no,no,yes
kp-v1-005,bank,financial_institution,The bank beside the reeds also had a branch office for savings,audit,savings,medium,continue,river_edge,The bank beside the reeds also had a branch office for savings and watched the current,audit,,,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=financial_institution | top_score=1 | second_score=1 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=bank | cue=branch -> financial_institution | positive_cue=branch -> financial_institution | cue=reeds -> river_edge | positive_cue=reeds -> river_edge | conflict_detected | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=branch -> bank:financial_institution,yes,no,yes,yes
kp-v1-006,bank,river_edge,The fishermen cast their lines from the bank of the river,continue,fishermen,low,continue,river_edge,The fishermen cast their lines from the bank of the river and watched the current,continue,river_edge,The fishermen cast their lines from the bank of the river and watched the current,top_sense=river_edge | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=river -> river_edge | positive_cue=river -> river_edge | cue=fishermen -> river_edge | positive_cue=fishermen -> river_edge | realization_type=neutral_extension | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and watched the current | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=river_edge | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=fishermen -> bank:river_edge,no,no,no,yes
kp-v1-007,bank,river_edge,Tall reeds and grass grew along the bank beside the stream,continue,reed,low,continue,river_edge,Tall reeds and grass grew along the bank beside the stream and watched the current,continue,river_edge,Tall reeds and grass grew along the bank beside the stream and watched the current,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=river_edge | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=stream -> river_edge | positive_cue=stream -> river_edge | cue=reeds -> river_edge | positive_cue=reeds -> river_edge | cue=grass -> river_edge | positive_cue=grass -> river_edge | realization_type=neutral_extension | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and watched the current | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=river_edge | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=grass -> bank:river_edge,no,no,no,yes
kp-v1-008,bank,river_edge,Floodwater rose over the bank and soaked the soil,continue,floodwater,low,audit,,,continue,river_edge,Floodwater rose over the bank and soaked the soil and watched the current,all_sense_scores_zero,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=floodwater -> river_edge | positive_cue=floodwater -> river_edge | cue=soil -> river_edge | positive_cue=soil -> river_edge | realization_type=neutral_extension | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and watched the current | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=river_edge | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=floodwater -> bank:river_edge | provider_cue=soil -> bank:river_edge,yes,yes,no,yes
kp-v1-009,bank,river_edge,The grassy bank beside the stream dropped into the current below,continue,grass,low,continue,river_edge,The grassy bank beside the stream dropped into the current below and watched it,continue,river_edge,The grassy bank beside the stream dropped into the current below and watched it,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=stream -> river_edge | positive_cue=stream -> river_edge | cue=current -> river_edge | positive_cue=current -> river_edge | realization_type=neutral_extension | semantic_frame_intent=river_edge_activity | renderer=semantic_renderer_v2 | candidate_count=1 | selected_candidate=and watched the current | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=and watched it | selected_sense=river_edge,no,no,no,no
kp-v1-010,bank,river_edge,The bank manager noticed reeds growing across the river near the branch,audit,reed,medium,audit,,,audit,,,top_sense=river_edge | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,top_sense=financial_institution | top_score=2 | second_score=2 | margin=0 | conflict_detected | audit_reason=low_margin_conflict,term=bank | cue=manager -> financial_institution | positive_cue=manager -> financial_institution | cue=branch -> financial_institution | positive_cue=branch -> financial_institution | cue=river -> river_edge | positive_cue=river -> river_edge | cue=reeds -> river_edge | positive_cue=reeds -> river_edge | conflict_detected | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=branch -> bank:financial_institution,no,no,no,yes
kp-v1-011,bat,animal,The bat roosted in the rafters of the old barn at dusk,continue,roost,low,continue,animal,The bat roosted in the rafters of the old barn at dusk and searched for insects,continue,animal,The bat roosted in the rafters of the old barn at dusk and searched for insects,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,term=bat | cue=dusk -> animal | positive_cue=dusk -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and searched for insects | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal,no,no,no,no
kp-v1-012,bat,animal,Bats use echolocation to hunt insects in the dark,continue,echolocation,low,audit,,,audit,,,no_ambiguous_term,no_ambiguous_term,,no,no,no,no
kp-v1-013,bat,animal,The bat hung from the ceiling with its membrane wings folded,continue,membrane,low,continue,animal,The bat hung from the ceiling with its membrane wings folded and searched for insects,continue,animal,The bat hung from the ceiling with its membrane wings folded and searched for insects,top_sense=animal | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=wings -> animal | positive_cue=wings -> animal | cue=membrane -> animal | positive_cue=membrane -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and searched for insects | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=membrane -> bat:animal,no,no,no,yes
kp-v1-014,bat,animal,The flying mammal bat emerged from the attic at night,continue,mammal,low,continue,animal,The flying mammal bat emerged from the attic at night and searched for insects,continue,animal,The flying mammal bat emerged from the attic at night and searched for insects,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,top_sense=animal | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=bat | cue=flying -> animal | positive_cue=flying -> animal | cue=night -> animal | positive_cue=night -> animal | cue=attic -> animal | positive_cue=attic -> animal | cue=mammal -> animal | positive_cue=mammal -> animal | realization_type=neutral_extension | semantic_frame_intent=animal_behavior | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and searched for insects | surface_repair=clean | subject_action_validator=passed | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | selected_sense=animal | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=mammal -> bat:animal,no,no,no,yes
kp-v1-015,bat,animal,The bat flew toward the batter during the game,audit,roost,medium,audit,,,audit,,,top_sense=sports_equipment | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,top_sense=sports_equipment | top_score=2 | second_score=1 | margin=1 | conflict_detected | audit_reason=low_margin_conflict,term=bat | cue=flew -> animal | positive_cue=flew -> animal | cue=game -> sports_equipment | positive_cue=game -> sports_equipment | cue=batter -> sports_equipment | positive_cue=batter -> sports_equipment | conflict_detected,no,no,no,no
kp-v1-016,bat,sports_equipment,The pitcher threw and the batter hit a home run with the bat,continue,pitcher,low,continue,sports_equipment,The pitcher threw and the batter hit a home run with the bat and the player dropped it,continue,sports_equipment,The pitcher threw and the batter hit a home run with the bat and the player dropped it,top_sense=sports_equipment | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,top_sense=sports_equipment | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=bat | cue=hit -> sports_equipment | positive_cue=hit -> sports_equipment | cue=batter -> sports_equipment | positive_cue=batter -> sports_equipment | cue=pitcher -> sports_equipment | positive_cue=pitcher -> sports_equipment | cue=home run -> sports_equipment | positive_cue=home run -> sports_equipment | realization_type=neutral_extension | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the player dropped the bat | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=and the player dropped it | selected_sense=sports_equipment | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=pitcher -> bat:sports_equipment | provider_cue=home run -> bat:sports_equipment,no,no,no,yes
kp-v1-017,bat,sports_equipment,The aluminum bat cracked on contact with the ball,continue,aluminum,low,continue,sports_equipment,The aluminum bat cracked on contact with the ball and the player dropped it,continue,sports_equipment,The aluminum bat cracked on contact with the ball and the player dropped it,top_sense=sports_equipment | top_score=1 | second_score=0 | margin=1 | score_and_margin_above_thresholds,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=cracked -> sports_equipment | positive_cue=cracked -> sports_equipment | cue=ball -> sports_equipment | positive_cue=ball -> sports_equipment | cue=aluminum -> sports_equipment | positive_cue=aluminum -> sports_equipment | realization_type=neutral_extension | semantic_frame_intent=sports_action | renderer=semantic_renderer_v2 | candidate_count=2 | selected_candidate=and the player dropped the bat | surface_repair=applied | subject_action_validator=passed | coreference_repair=applied | surface_repair_rule=coreference_pronoun | prompt_tail_validator=passed | prompt_tail_evidence=prompt_tail=no_special_tail | repaired_candidate=and the player dropped it | selected_sense=sports_equipment | accepted_memory_provider=enabled | accepted_memory_version=accepted_knowledge_memory_v1 | accepted_memory_items_loaded=221 | provider_cue=ball -> bat:sports_equipment | provider_cue=aluminum -> bat:sports_equipment,no,no,no,yes
