row_id,term,expected_sense,selected_sense,confidence,decision,primary_audit_reason,secondary_reasons,suggested_next_action,prompt
v1-030,seal,animal,animal,0.6667,audit,surface_validation_failed,,inspect renderer/validator mismatch,On the pier the seal raised its head while tourists
v1-041,bank,river_edge,river_edge,0.5,audit,surface_validation_failed,missing_phrase_candidate,inspect renderer/validator mismatch,He stood by the bank unsure where to sit until the current
v1-044,bat,sports_equipment,,0.0,audit,missing_or_weak_cue_support,,add cue memory,He picked up the bat with no comment until the pitcher
v1-045,seal,animal,animal,0.5,audit,surface_validation_failed,missing_phrase_candidate,inspect renderer/validator mismatch,The seal lay still on the platform until the fish
v1-047,crane,bird,bird,0.5,audit,surface_validation_failed,missing_phrase_candidate,inspect renderer/validator mismatch,The crane moved slowly across the pale shallows before its wings
v1-051,rock,stone,stone,0.5,audit,no_safe_repaired_candidate,,keep audited unless a safe explicit rewrite is added,The rock was ignored until the climber saw it on the cliff
v1-053,bank,financial_institution,,0.0,audit,missing_or_weak_cue_support,,add cue memory,They approached the bank in silence and only then counted the cash
v1-055,bat,sports_equipment,,0.0,audit,missing_or_weak_cue_support,,add cue memory,The bat seemed too small until the player
v1-056,seal,closure_stamp,closure_stamp,0.5,audit,surface_validation_failed,missing_phrase_candidate,inspect renderer/validator mismatch,The seal looked plain until the document
v1-057,crane,machine,machine,0.6667,audit,surface_validation_failed,missing_phrase_candidate,inspect renderer/validator mismatch,The crane was silent for a long time before it lifted steel
v1-061,bank,financial_institution,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,After leaving the river he went to the bank to deposit
v1-062,bank,river_edge,,0.5,audit,missing_or_weak_cue_support,,add cue memory,After withdrawing cash he walked to the bank beside the stream to rest
v1-064,bat,animal,,0.5,audit,missing_or_weak_cue_support,,add cue memory,The bat was held by the player after it flew from the rafters
v1-065,seal,animal,,0.3333,audit,sense_tie,low_margin,add disambiguating cues and guard rules,The seal near the package barked for fish and
