row_id,question,expected_decision,expected_intent,expected_term,expected_sense,expected_answer_contains,risk_level
qa-v1-001,What is a financial bank?,answer,define_sense,bank,financial_institution,financial;account;deposit,low
qa-v1-002,What is a river bank?,answer,define_sense,bank,river_edge,river;stream;edge,low
qa-v1-003,What is a bat animal?,answer,define_sense,bat,animal,nocturnal;flying;mammal,low
qa-v1-004,What is a baseball bat?,answer,define_sense,bat,sports_equipment,sports;hit;ball,low
qa-v1-005,What is a seal animal?,answer,define_sense,seal,animal,marine;ocean;coast,low
qa-v1-006,What is a wax seal?,answer,define_sense,seal,closure_stamp,close;document;stamp,low
qa-v1-007,What is a crane bird?,answer,define_sense,crane,bird,wading;bird;long,low
qa-v1-008,What is a construction crane?,answer,define_sense,crane,machine,lift;load;construction,low
qa-v1-009,What is rock music?,answer,define_sense,rock,music,music;genre;guitar,low
qa-v1-010,What is a rock stone?,answer,define_sense,rock,stone,mineral;solid;nature,low
qa-v1-011,What is the spring season?,answer,define_sense,spring,season,season;winter;bloom,low
qa-v1-012,What is a spring coil?,answer,define_sense,spring,coil,coil;metal;mechanical,low
qa-v1-013,Why does 'teller' suggest bank as a financial institution?,answer,explain_cue,bank,financial_institution,teller;financial,low
qa-v1-014,Why does 'current' suggest bank as a river edge?,answer,explain_cue,bank,river_edge,current;river,low
qa-v1-015,Why does 'cave' suggest bat as an animal?,answer,explain_cue,bat,animal,cave;animal,low
qa-v1-016,Why does 'pitcher' suggest bat as sports equipment?,answer,explain_cue,bat,sports_equipment,pitcher;sports,low
qa-v1-017,Why does 'flipper' suggest seal as an animal?,answer,explain_cue,seal,animal,flipper;animal,low
qa-v1-018,Why does 'wax' suggest seal as a closure stamp?,answer,explain_cue,seal,closure_stamp,wax;closure,low
qa-v1-019,Why does 'marsh' suggest crane as a bird?,answer,explain_cue,crane,bird,marsh;bird,low
qa-v1-020,Why does 'hook' suggest crane as a machine?,answer,explain_cue,crane,machine,hook;construction;lift,low
qa-v1-021,Why does 'concert' suggest rock as music?,answer,explain_cue,rock,music,concert;music,low
qa-v1-022,Why does 'boulder' suggest rock as a stone?,answer,explain_cue,rock,stone,boulder;stone,low
qa-v1-023,Why does 'thaw' suggest spring as a season?,answer,explain_cue,spring,season,thaw;season,low
qa-v1-024,Why does 'coil' suggest spring as a coil?,answer,explain_cue,spring,coil,coil;snap;compress,low
qa-v1-025,"In 'she went to the bank to open an account', what does bank mean?",answer,classify_context,bank,financial_institution,financial;account,low
qa-v1-026,"In 'he sat on the bank watching the river current', what does bank mean?",answer,classify_context,bank,river_edge,river;current,low
qa-v1-027,"In 'the bat flew out of the cave at dusk', what does bat mean?",answer,classify_context,bat,animal,animal;cave,low
qa-v1-028,"In 'the batter swung the bat at the pitcher', what does bat mean?",answer,classify_context,bat,sports_equipment,sports;pitcher,low
qa-v1-029,"In 'the seal dove below the ocean surface for fish', what does seal mean?",answer,classify_context,seal,animal,animal;ocean,low
qa-v1-030,"In 'the clerk pressed a wax seal onto the envelope', what does seal mean?",answer,classify_context,seal,closure_stamp,closure;wax,low
qa-v1-031,"In 'the crane waded through the marsh reeds at dawn', what does crane mean?",answer,classify_context,crane,bird,bird;marsh,low
qa-v1-032,"In 'the crane lifted steel beams at the construction site', what does crane mean?",answer,classify_context,crane,machine,construction;crane;lifted,low
qa-v1-033,"In 'the band played rock music at the concert on stage', what does rock mean?",answer,classify_context,rock,music,music;concert,low
qa-v1-034,"In 'the boulder rock rolled down the cliff trail', what does rock mean?",answer,classify_context,rock,stone,stone;cliff,low
qa-v1-035,"In 'flowers bloomed in spring after the thaw', what does spring mean?",answer,classify_context,spring,season,season;thaw,low
qa-v1-036,"In 'the metal coil spring compressed under load pressure', what does spring mean?",answer,classify_context,spring,coil,coil;metal,low
qa-v1-037,What is the difference between a financial bank and a river bank?,answer,distinguish_senses,bank,financial_institution,financial;river;account;current,low
qa-v1-038,How is a bat animal different from a baseball bat?,answer,distinguish_senses,bat,animal,mammal;cave;pitcher;ball,low
qa-v1-039,How is a seal animal different from a wax seal?,answer,distinguish_senses,seal,animal,marine;ocean;wax;envelope,low
qa-v1-040,What is the difference between a crane bird and a construction crane?,answer,distinguish_senses,crane,bird,bird;neck;hook;construction,low
qa-v1-041,How is rock music different from a rock stone?,answer,distinguish_senses,rock,music,music;concert;boulder;cliff,low
qa-v1-042,What is the difference between the spring season and a spring coil?,answer,distinguish_senses,spring,season,season;thaw;coil;metal,low
qa-v1-043,What does bank mean?,audit,unknown_or_ambiguous,bank,,underconstrained,medium
qa-v1-044,What does bat mean?,audit,unknown_or_ambiguous,bat,,underconstrained,medium
qa-v1-045,What does seal mean?,audit,unknown_or_ambiguous,seal,,underconstrained,medium
qa-v1-046,What does crane mean?,audit,unknown_or_ambiguous,crane,,underconstrained,medium
qa-v1-047,What does rock mean?,audit,unknown_or_ambiguous,rock,,underconstrained,medium
qa-v1-048,What does spring mean?,audit,unknown_or_ambiguous,spring,,underconstrained,medium
