proposal_id,row_ids,proposal_type,term,target_sense,source_reason,risk_level,recommended_action,supporting_cues,conflicting_cues,broad_cues,rationale
p-v1-030-keep_audit-58e941771c,v1-030,keep_audit,seal,animal,surface_validation_failed,low,keep_audit,pier,,,Prompt-tail validation rejected the candidate; repairing this row would require unsupported action/entity invention.
p-v1-041-phrase_candidate_addition-90d250f322,v1-041,phrase_candidate_addition,bank,river_edge,surface_validation_failed,medium,human_review,,,,"A safe explicit phrase or narrow prompt-tail rule may help, but broad grammar repair is unsafe."
p-v1-044-cue_memory_addition-b311f5047f,v1-044,cue_memory_addition,bat,sports_equipment,missing_or_weak_cue_support,low,auto_safe_later,pitcher,,,Concrete prompt cues may support the expected sense through explicit cue memory.
p-v1-045-phrase_candidate_addition-e5a137bd06,v1-045,phrase_candidate_addition,seal,animal,surface_validation_failed,medium,human_review,fish,,,"A safe explicit phrase or narrow prompt-tail rule may help, but broad grammar repair is unsafe."
p-v1-047-phrase_candidate_addition-d6936271e9,v1-047,phrase_candidate_addition,crane,bird,surface_validation_failed,medium,human_review,wings,,,"A safe explicit phrase or narrow prompt-tail rule may help, but broad grammar repair is unsafe."
p-v1-051-keep_audit-4551ffd267,v1-051,keep_audit,rock,stone,no_safe_repaired_candidate,low,keep_audit,cliff,,,No safe repaired candidate exists; keep audited unless an explicit tested rewrite is added.
p-v1-053-cue_memory_addition-dd2b32ee15,v1-053,cue_memory_addition,bank,financial_institution,missing_or_weak_cue_support,low,auto_safe_later,cash,,,Concrete prompt cues may support the expected sense through explicit cue memory.
p-v1-055-cue_memory_addition-2e46e07f4d,v1-055,cue_memory_addition,bat,sports_equipment,missing_or_weak_cue_support,low,auto_safe_later,player,,,Concrete prompt cues may support the expected sense through explicit cue memory.
p-v1-056-phrase_candidate_addition-99e75cf3bf,v1-056,phrase_candidate_addition,seal,closure_stamp,surface_validation_failed,medium,human_review,document,,,"A safe explicit phrase or narrow prompt-tail rule may help, but broad grammar repair is unsafe."
p-v1-057-phrase_candidate_addition-cf4eebf43c,v1-057,phrase_candidate_addition,crane,machine,surface_validation_failed,medium,human_review,steel;lifted,,,"A safe explicit phrase or narrow prompt-tail rule may help, but broad grammar repair is unsafe."
p-v1-061-guard_rule_addition-9fd9ea36fc,v1-061,guard_rule_addition,bank,financial_institution,sense_tie,medium,human_review,deposit,river,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-062-guard_rule_addition-23b9f66662,v1-062,guard_rule_addition,bank,river_edge,missing_or_weak_cue_support,medium,human_review,stream,cash,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-064-guard_rule_addition-d3dc0bfafd,v1-064,guard_rule_addition,bat,animal,missing_or_weak_cue_support,medium,human_review,rafters,player,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-065-guard_rule_addition-52951a9721,v1-065,guard_rule_addition,seal,animal,sense_tie,medium,human_review,fish,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-066-guard_rule_addition-49f88fe716,v1-066,guard_rule_addition,seal,closure_stamp,low_margin,medium,human_review,document;wax,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-068-guard_rule_addition-57d8df612e,v1-068,guard_rule_addition,crane,bird,sense_tie,medium,human_review,lake;wings,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-069-guard_rule_addition-4465659ce1,v1-069,guard_rule_addition,spring,season,sense_tie,medium,human_review,,device,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-070-guard_rule_addition-8a594b8cd9,v1-070,guard_rule_addition,spring,coil,low_margin,medium,human_review,mechanism,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-071-guard_rule_addition-f3335696b3,v1-071,guard_rule_addition,rock,music,sense_tie,medium,human_review,stage,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-073-guard_rule_addition-504f70617a,v1-073,guard_rule_addition,bank,financial_institution,sense_tie,medium,human_review,,river,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-074-guard_rule_addition-f29f057c85,v1-074,guard_rule_addition,bank,river_edge,low_margin,medium,human_review,boat,card;credit,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-075-guard_rule_addition-c558ec23ae,v1-075,guard_rule_addition,bat,sports_equipment,low_margin,medium,human_review,player,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-076-guard_rule_addition-6e4faea3ce,v1-076,guard_rule_addition,bat,animal,low_margin,medium,human_review,wings,,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-078-guard_rule_addition-55dd55927e,v1-078,guard_rule_addition,seal,closure_stamp,low_margin,medium,human_review,,flippers,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-079-guard_rule_addition-ca27d5e30e,v1-079,guard_rule_addition,crane,machine,low_margin,medium,human_review,site;steel,bird,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-080-guard_rule_addition-a9f8b06f15,v1-080,guard_rule_addition,crane,bird,low_margin,medium,human_review,lake,operator,,Competing evidence needs a narrow term-specific guard; do not auto-apply conflict rules.
p-v1-081-keep_audit-0cd2359aa7,v1-081,keep_audit,bank,financial_institution,true_unsafe,low,keep_audit,,,,Contradictory or negated evidence makes continuation unsafe.
p-v1-082-keep_audit-971425e9a5,v1-082,keep_audit,bank,river_edge,true_unsafe,medium,keep_audit,,money,,Contradictory or negated evidence makes continuation unsafe.
p-v1-083-keep_audit-8c6ffeb7f0,v1-083,keep_audit,bat,sports_equipment,true_unsafe,low,keep_audit,batter,,,Contradictory or negated evidence makes continuation unsafe.
