row_id,question,expected_decision,expected_intent,detected_intent,detected_subject,decision,answer,audit_reason,confidence,overlay_items_used,source_facts_used,weak_context_links_used,is_correct,quality_flagged,quality_reason
eqa-v1-001,Who is Elon Musk?,answer,define_entity,define_entity,Elon Musk,answer,Elon Musk is a businessman. The overlay also links Elon Musk to: linked to Tesla and SpaceX through leadership; known for Tesla and SpaceX; founded by SpaceX.,,0.95,overlay_entity:Elon Musk;overlay_definition:Elon Musk;overlay_relation:leader_of:Tesla;overlay_relation:leader_of:SpaceX;overlay_relation:known_for:Tesla;overlay_relation:known_for:SpaceX;overlay_relation:founded:SpaceX,,,True,False,
eqa-v1-002,What is Tesla?,answer,define_entity,define_entity,Tesla,answer,"Tesla is an American electric vehicle and clean energy company. The overlay also links Tesla to: produces electric cars, battery energy storage, Electric cars, and Battery storage.",,0.95,overlay_entity:Tesla;overlay_definition:Tesla;overlay_relation:produces:electric cars;overlay_relation:produces:battery energy storage;overlay_relation:produces:Electric cars;overlay_relation:produces:Battery storage,,,True,False,
eqa-v1-003,What is SpaceX?,answer,define_entity,define_entity,SpaceX,answer,SpaceX is an aerospace manufacturer and space transportation company. The overlay also links SpaceX to: develops rockets and spacecraft; produces Falcon rockets and Dragon spacecraft.,,0.95,overlay_entity:SpaceX;overlay_definition:SpaceX;overlay_relation:develops:rockets;overlay_relation:develops:spacecraft;overlay_relation:produces:Falcon rockets;overlay_relation:produces:Dragon spacecraft,,,True,False,
eqa-v1-004,What is Forbes?,answer,define_entity,define_entity,Forbes,answer,Forbes is an American business magazine. The overlay also links Forbes to: publishes business rankings and financial lists.,,0.95,overlay_entity:Forbes;overlay_definition:Forbes;overlay_relation:publishes:business rankings;overlay_relation:publishes:financial lists,,,True,False,
eqa-v1-005,What is leadership?,answer,define_entity,define_entity,leadership,answer,Leadership is an ability to guide a group of people toward a common goal.,,0.95,overlay_entity:Leadership;overlay_definition:Leadership,,,True,False,
eqa-v1-006,What is an electric vehicle?,answer,define_entity,define_entity,electric vehicle,answer,Electric vehicle is a vehicle that uses one or more electric motors for propulsion.,,0.95,overlay_entity:Electric vehicle;overlay_definition:Electric vehicle,,,True,False,
eqa-v1-007,What is a rocket?,answer,define_entity,define_entity,rocket,answer,Rocket is a vehicle that obtains thrust from a rocket engine.,,0.95,overlay_entity:Rocket;overlay_definition:Rocket,,,True,False,
eqa-v1-008,What is net worth?,answer,define_entity,define_entity,net worth,answer,Net worth is a value of all assets minus liabilities.,,0.95,overlay_entity:Net worth;overlay_definition:Net worth,,,True,False,
eqa-v1-009,What is Elon Musk known for?,answer,relation_lookup,relation_lookup,Elon Musk,answer,Elon Musk is known for Tesla and SpaceX.,,0.9,overlay_relation:known_for:Tesla;overlay_relation:known_for:SpaceX,,,True,False,
eqa-v1-010,What companies is Elon Musk linked to by leadership?,answer,relation_lookup,relation_lookup,Elon Musk,answer,Elon Musk is linked to Tesla and SpaceX through leadership.,,0.9,overlay_relation:leader_of:Tesla;overlay_relation:leader_of:SpaceX,,,True,False,
eqa-v1-011,What does Tesla produce?,answer,relation_lookup,relation_lookup,Tesla,answer,"Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",,0.9,overlay_relation:produces:electric cars;overlay_relation:produces:battery energy storage;overlay_relation:produces:Electric cars;overlay_relation:produces:Battery storage,,,True,False,
eqa-v1-012,What does SpaceX develop?,answer,relation_lookup,relation_lookup,SpaceX,answer,SpaceX develops rockets and spacecraft.,,0.9,overlay_relation:develops:rockets;overlay_relation:develops:spacecraft,,,True,False,
eqa-v1-013,Who founded SpaceX?,answer,relation_lookup,relation_lookup,SpaceX,answer,SpaceX was founded by Elon Musk.,,0.9,overlay_relation:founded:SpaceX,,,True,False,
eqa-v1-014,Who founded Tesla?,answer,relation_lookup,relation_lookup,Tesla,answer,Tesla was founded by Martin Eberhard and Marc Tarpenning.,,0.9,overlay_relation:founded:Tesla;overlay_relation:founded:Tesla,,,True,False,
eqa-v1-015,What does Forbes publish?,answer,relation_lookup,relation_lookup,Forbes,answer,Forbes publishes business rankings and financial lists.,,0.9,overlay_relation:publishes:business rankings;overlay_relation:publishes:financial lists,,,True,False,
eqa-v1-016,Why is Forbes linked to Elon Musk?,answer,link_explanation,link_explanation,Elon Musk,answer,Forbes is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,,0.85,,,context_link:Elon Musk->Forbes,True,False,
eqa-v1-017,Why is Leadership linked to Elon Musk?,answer,link_explanation,link_explanation,Elon Musk,answer,Leadership is linked from the Elon Musk page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,,0.85,,,context_link:Elon Musk->Leadership,True,False,
eqa-v1-018,Why is Rocket linked to SpaceX?,answer,link_explanation,link_explanation,SpaceX,answer,Rocket is linked from the SpaceX page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,,0.85,,,context_link:SpaceX->Rocket,True,False,
eqa-v1-019,Why is Electric vehicle linked to Tesla?,answer,link_explanation,link_explanation,Tesla,answer,Electric vehicle is linked from the Tesla page as a weak contextual mention. It is not treated as a stable factual relation by this overlay.,,0.85,,,context_link:Tesla->Electric vehicle,True,False,
eqa-v1-020,What does Forbes estimate about Elon Musk?,answer,source_fact_lookup,source_fact_lookup,Elon Musk,answer,"According to Forbes as of 2026-06, Elon Musk's estimated net worth is US$1.1 trillion. This is a volatile source-qualified estimate and should be rechecked.",,0.9,,source_fact:Elon Musk:estimated_net_worth:Forbes,,True,False,
eqa-v1-021,Is Elon Musk's net worth a stable fact?,answer,source_fact_lookup,source_fact_lookup,Elon Musk,answer,"No, Elon Musk's net worth is not a stable fact. It is classified as volatile and source-qualified (source: Forbes, as of 2026-06). It requires rechecking.",,0.9,,source_fact:Elon Musk:estimated_net_worth:Forbes,,True,False,
eqa-v1-022,Why should Musk's net worth be rechecked?,answer,source_fact_lookup,source_fact_lookup,Musk,answer,Musk's net worth should be rechecked because it is a time-sensitive estimate from Forbes (as of 2026-06). Wealth figures change frequently and are source-dependent.,,0.9,,source_fact:Elon Musk:estimated_net_worth:Forbes,,True,False,
eqa-v1-023,What is Elon Musk's favorite food?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-v1-024,Who is the current CEO of Tesla?,audit,unknown_or_unsupported,unknown_or_unsupported,Tesla,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,This question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,0.0,,,,True,False,
eqa-v1-025,What is Tesla's current stock price?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,This question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,0.0,,,,True,False,
eqa-v1-026,What is SpaceX's current valuation?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,This question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,0.0,,,,True,False,
eqa-v1-027,What is the current market cap of Tesla?,audit,unknown_or_unsupported,unknown_or_unsupported,Tesla,audit,I cannot answer from the wiki overlay because this question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,This question asks for current/real-time data that is not available as an accepted source-qualified fact in the overlay.,0.0,,,,True,False,
eqa-v1-028,What is Bloomberg News?,answer,define_entity,define_entity,Bloomberg News,answer,Bloomberg News is an international news organization. The overlay also links Bloomberg News to: publishes financial market coverage and wealth indexes.,,0.95,overlay_entity:Bloomberg News;overlay_definition:Bloomberg News;overlay_relation:publishes:financial market coverage;overlay_relation:publishes:wealth indexes,,,True,False,
