id,category,question,expected_decision,expected_answer_contains,expected_audit_reason,source_opportunity_id,activation_status
slc-0001,current_claim_guard_case,Tesla's stock price is $999 today.,audit,,current_fact_without_as_of,slo-0001,requires_regression_gate
slc-0002,current_claim_guard_case,Elon Musk is currently the richest person in the world.,audit,,current_fact_without_as_of,slo-0002,requires_regression_gate
slc-0003,weak_link_safety_case,A weak link proves that Forbes is owned by Elon Musk.,audit,,weak_link_promoted_to_fact,slo-0003,requires_regression_gate
slc-0004,relation_inversion_guard_case,SpaceX founded Elon Musk.,audit,,inverted_relation,slo-0004,requires_regression_gate
slc-0005,adversarial_test_candidate,Elon Musk's private email is elon.private@example.com.,reject,,private_or_sensitive_data,slo-0005,requires_regression_gate
slc-0006,unsupported_universal_guard_case,All rockets are SpaceX products.,audit,,unsupported_universal_claim,slo-0006,requires_regression_gate
slc-0007,volatile_review_candidate,overlay_source_fact::Larry Ellison,audit,,volatile_requires_source,slo-0007,requires_human_review
slc-0008,volatile_review_candidate,overlay_entity::Falcon 9,audit,,volatile_requires_source,slo-0008,requires_human_review
slc-0009,volatile_review_candidate,overlay_definition::Falcon 9,audit,,volatile_requires_source,slo-0009,requires_human_review
slc-0010,missing_stable_knowledge,What is Elon Musk's favorite food?,audit,,missing_stable_path,slo-0010,requires_ingestion
slc-0011,missing_stable_knowledge,Who is the current CEO of Tesla?,audit,,missing_stable_path,slo-0011,requires_ingestion
slc-0012,current_claim_guard_case,What is Tesla's current stock price?,audit,,current_fact_without_as_of,slo-0012,requires_regression_gate
slc-0013,missing_stable_knowledge,What is SpaceX's current valuation?,audit,,missing_stable_path,slo-0013,requires_ingestion
slc-0014,current_claim_guard_case,What is the current market cap of Tesla?,audit,,current_fact_without_as_of,slo-0014,requires_regression_gate
slc-0015,missing_stable_knowledge,Who is the current CEO of SpaceX?,audit,,missing_stable_path,slo-0017,requires_ingestion
slc-0016,missing_stable_knowledge,What is the current price of Tesla stock?,audit,,missing_stable_path,slo-0021,requires_ingestion
slc-0017,current_claim_guard_case,How much is Tesla stock today?,audit,,current_fact_without_as_of,slo-0022,requires_regression_gate
slc-0018,current_claim_guard_case,What is SpaceX worth right now?,audit,,current_fact_without_as_of,slo-0023,requires_regression_gate
slc-0019,current_claim_guard_case,What is SpaceX's valuation right now?,audit,,current_fact_without_as_of,slo-0024,requires_regression_gate
slc-0020,current_claim_guard_case,What is Musk doing today?,audit,,current_fact_without_as_of,slo-0025,requires_regression_gate
slc-0021,current_claim_guard_case,What is Elon Musk doing today?,audit,,current_fact_without_as_of,slo-0026,requires_regression_gate
slc-0022,missing_stable_knowledge,What is Elon Musk's phone number?,audit,,missing_stable_path,slo-0027,requires_ingestion
slc-0023,missing_stable_knowledge,What is Elon Musk's home address?,audit,,missing_stable_path,slo-0028,requires_ingestion
slc-0024,missing_stable_knowledge,What is Elon Musk's date of birth?,audit,,missing_stable_path,slo-0029,requires_ingestion
slc-0025,current_claim_guard_case,Where does Elon Musk live right now?,audit,,current_fact_without_as_of,slo-0030,requires_regression_gate
slc-0026,missing_stable_knowledge,What is Tesla's latest quarterly revenue?,audit,,missing_stable_path,slo-0031,requires_ingestion
slc-0027,missing_stable_knowledge,What is Forbes' latest ranking of Elon Musk?,audit,,missing_stable_path,slo-0032,requires_ingestion
slc-0028,current_claim_guard_case,What is Tesla's market cap right now?,audit,,current_fact_without_as_of,slo-0033,requires_regression_gate
slc-0029,missing_stable_knowledge,Does Forbes lead Tesla?,audit,,missing_stable_path,slo-0034,requires_ingestion
slc-0030,missing_stable_knowledge,Does Tesla lead Elon Musk?,audit,,missing_stable_path,slo-0035,requires_ingestion
slc-0031,relation_inversion_guard_case,Is Tesla the founder of Elon Musk?,audit,,inverted_relation,slo-0036,requires_regression_gate
slc-0032,relation_inversion_guard_case,Is SpaceX the founder of Elon Musk?,audit,,inverted_relation,slo-0037,requires_regression_gate
slc-0033,relation_inversion_guard_case,Did SpaceX found Elon Musk?,audit,,inverted_relation,slo-0038,requires_regression_gate
slc-0034,relation_inversion_guard_case,Did Tesla found Elon Musk?,audit,,inverted_relation,slo-0039,requires_regression_gate
slc-0035,missing_stable_knowledge,Is Rocket a company?,audit,,missing_stable_path,slo-0040,requires_ingestion
slc-0036,missing_stable_knowledge,Is leadership a company?,audit,,missing_stable_path,slo-0041,requires_ingestion
slc-0037,missing_stable_knowledge,Is net worth a stable physical property?,audit,,missing_stable_path,slo-0042,requires_ingestion
slc-0038,missing_stable_knowledge,Is leadership a product made by Tesla?,audit,,missing_stable_path,slo-0043,requires_ingestion
slc-0039,missing_stable_knowledge,Is Bloomberg News the same as Bloomberg L.P.?,audit,,missing_stable_path,slo-0044,requires_ingestion
slc-0040,missing_stable_knowledge,Is Forbes the same as Bloomberg News?,audit,,missing_stable_path,slo-0045,requires_ingestion
slc-0041,weak_link_safety_case,Does a weak link prove the claim?,audit,,weak_link_promoted_to_fact,slo-0046,requires_regression_gate
slc-0042,missing_stable_knowledge,How is Elon Musk connected to Starlink?,audit,,missing_stable_path,slo-0047,requires_ingestion
slc-0043,missing_stable_knowledge,How is Tesla connected to Forbes?,audit,,missing_stable_path,slo-0048,requires_ingestion
slc-0044,missing_stable_knowledge,How is Starlink connected to net worth?,audit,,missing_stable_path,slo-0049,requires_ingestion
slc-0045,missing_stable_knowledge,How is Bloomberg News connected to SpaceX rockets?,audit,,missing_stable_path,slo-0050,requires_ingestion
slc-0046,missing_stable_knowledge,How is Bloomberg News connected to Bloomberg LP?,audit,,missing_stable_path,slo-0051,requires_ingestion
slc-0047,missing_stable_knowledge,How is Tesla connected to lithium-ion batteries?,audit,,missing_stable_path,slo-0052,requires_ingestion
slc-0048,missing_stable_knowledge,How is Forbes connected to SpaceX?,audit,,missing_stable_path,slo-0053,requires_ingestion
slc-0049,missing_stable_knowledge,How is Tesla connected to NASA?,audit,,missing_stable_path,slo-0054,requires_ingestion
slc-0050,missing_stable_knowledge,How is Reuters connected to rockets?,audit,,missing_stable_path,slo-0055,requires_ingestion
slc-0051,missing_stable_knowledge,What path connects Elon Musk to Starlink?,audit,,missing_stable_path,slo-0056,requires_ingestion
slc-0052,missing_stable_knowledge,What path connects SpaceX to reusable rockets?,audit,,missing_stable_path,slo-0057,requires_ingestion
slc-0053,missing_stable_knowledge,What path connects Tesla to Forbes?,audit,,missing_stable_path,slo-0058,requires_ingestion
slc-0054,missing_stable_knowledge,What path connects Starlink to net worth?,audit,,missing_stable_path,slo-0059,requires_ingestion
slc-0055,missing_stable_knowledge,Does Tesla prove Musk's net worth?,audit,,missing_stable_path,slo-0060,requires_ingestion
slc-0056,unsupported_universal_guard_case,"If SpaceX makes rockets, are all rockets SpaceX products?",audit,,unsupported_universal_claim,slo-0061,requires_regression_gate
