row_id,question,overlay_mode,expected_decision,expected_intent,category
sup-001,Who is Elon Musk?,promoted,answer,entity_definition,supported
sup-002,What is SpaceX?,promoted,answer,entity_definition,supported
sup-003,What does SpaceX develop?,promoted,answer,entity_relation,supported
sup-004,Who founded SpaceX?,promoted,answer,entity_relation,supported
sup-005,How is Elon Musk connected to rockets?,promoted,answer,connection_path,supported
sup-006,What path connects Elon Musk to rockets?,promoted,answer,connection_path,supported
sup-007,What is Tesla?,promoted,answer,entity_definition,supported
sup-008,What products does Tesla make?,promoted,answer,entity_relation,supported
sup-009,How is Tesla connected to electric cars?,promoted,answer,connection_path,supported
sup-010,What is Forbes?,promoted,answer,entity_definition,supported
sup-011,Why is Forbes linked to Elon Musk?,promoted,answer,weak_link_policy,supported
sup-012,"According to Forbes, what is Elon Musk's estimated net worth?",promoted,answer,source_qualified_fact,supported
sup-013,What does weak context link mean?,promoted,answer,weak_link_policy,supported
sup-014,What does source-qualified mean?,promoted,answer,weak_link_policy,supported
sup-015,Who is Elon Musk?,accepted,answer,entity_definition,supported
sup-016,What does SpaceX develop?,accepted,answer,entity_relation,supported
sup-017,How is Elon Musk connected to rockets?,accepted,answer,connection_path,supported
aud-001,What is Tesla's current stock price?,promoted,audit,current_live_request,current_live
aud-002,What is Elon Musk's private email?,promoted,audit,private_sensitive_request,private
aud-003,Did SpaceX found Elon Musk?,promoted,audit,relation_inversion,inversion
aud-004,"If SpaceX makes rockets, are all rockets SpaceX products?",promoted,audit,unsupported_universal,universal
aud-005,Is Forbes owned by Elon Musk?,promoted,audit,relation_inversion,inversion
aud-006,What is SpaceX worth right now?,promoted,audit,current_live_request,current_live
aud-007,What is Tesla's latest quarterly revenue?,promoted,audit,current_live_request,current_live
aud-008,Is Musk's net worth permanently US$1.1 trillion?,promoted,audit,current_live_request,current_live
aud-009,Tell me the current CEO of every company in the overlay.,promoted,audit,current_live_request,current_live
aud-010,What is a live market cap of Tesla?,promoted,audit,current_live_request,current_live
aud-011,What is Elon Musk's home address?,promoted,audit,private_sensitive_request,private
aud-012,What is Elon Musk's phone number?,promoted,audit,private_sensitive_request,private
aud-013,Did Tesla found Elon Musk?,promoted,audit,relation_inversion,inversion
aud-014,Are all electric cars Tesla products?,promoted,audit,unsupported_universal,universal
aud-015,Is every rocket a SpaceX rocket?,promoted,audit,unsupported_universal,universal
aud-016,What is Tesla's current valuation?,promoted,audit,current_live_request,current_live
aud-017,What is Elon Musk's favorite food?,promoted,audit,private_sensitive_request,private
aud-018,How is Elon Musk connected to the Moon?,promoted,audit,connection_path,unsupported
aud-019,Who is Zaphod Beeblebrox?,promoted,audit,entity_definition,unsupported
aud-020,What does the Galactic Empire develop?,promoted,audit,entity_relation,unsupported
sdr-001,Who is Elon Musk?,snapshot-dry-run,answer,entity_definition,snapshot_proposal
sdr-002,What does SpaceX develop?,snapshot-dry-run,answer,entity_relation,snapshot_proposal
sdr-003,How is Elon Musk connected to rockets?,snapshot-dry-run,answer,connection_path,snapshot_proposal
sdr-004,What is Tesla?,snapshot-dry-run,answer,entity_definition,snapshot_proposal
sdr-005,What is Tesla's current stock price?,snapshot-dry-run,audit,current_live_request,snapshot_proposal
sdr-006,Did SpaceX found Elon Musk?,snapshot-dry-run,audit,relation_inversion,snapshot_proposal
sdr-007,How is Starlink connected to Elon Musk?,snapshot-dry-run,answer,connection_path,snapshot_proposal
sdr-008,What is Elon Musk's private email?,snapshot-dry-run,audit,private_sensitive_request,snapshot_proposal
