row_id,question,expected_decision,expected_intent,detected_intent,detected_subject,decision,answer,audit_reason,confidence,overlay_items_used,source_facts_used,weak_context_links_used,is_correct,quality_flagged,quality_reason
eqa-adv-v1-001,Did SpaceX found Elon Musk?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-002,Is SpaceX the founder of Elon Musk?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-003,Did Tesla found Elon Musk?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-004,Is Tesla the founder of Elon Musk?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-005,Did Forbes found Elon Musk?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-006,Did Elon Musk get founded by SpaceX?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-007,Who founded Elon Musk?,audit,relation_lookup,relation_lookup,Elon Musk,audit,I cannot answer from the wiki overlay because no relevant information found in the wiki overlay for this question.,No relevant information found in the wiki overlay for this question.,0.0,,,,True,False,
eqa-adv-v1-008,Was Elon Musk founded by Tesla?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-009,Is Rocket the founder of SpaceX?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
eqa-adv-v1-010,Did electric vehicles found Tesla?,audit,unknown_or_unsupported,unknown_or_unsupported,,audit,I cannot answer from the wiki overlay because this question asks for personal or unsupported information not present in the wiki overlay.,This question asks for personal or unsupported information not present in the wiki overlay.,0.0,,,,True,False,
