row_id,question,expected_decision,expected_intent,source,target,expected_answer_contains,risk_level
cpqa-v1-001,How is Elon Musk connected to SpaceX?,answer,connection_path,Elon Musk,SpaceX,SpaceX;leadership,low
cpqa-v1-002,How is Elon Musk connected to Tesla?,answer,connection_path,Elon Musk,Tesla,Tesla;leadership,low
cpqa-v1-003,How is SpaceX connected to rockets?,answer,connection_path,SpaceX,rockets,SpaceX develops rockets,low
cpqa-v1-004,How is SpaceX connected to spacecraft?,answer,connection_path,SpaceX,spacecraft,SpaceX develops spacecraft,low
cpqa-v1-005,How is Tesla connected to electric cars?,answer,connection_path,Tesla,electric cars,Tesla produces electric cars,low
cpqa-v1-006,How is Forbes connected to business rankings?,answer,connection_path,Forbes,business rankings,Forbes publishes business rankings,low
cpqa-v1-007,How is Bloomberg News connected to wealth indexes?,answer,connection_path,Bloomberg News,wealth indexes,Bloomberg News publishes wealth indexes,low
cpqa-v1-008,How is Jeff Bezos connected to Blue Origin?,answer,connection_path,Jeff Bezos,Blue Origin,Blue Origin,low
cpqa-v1-009,How is NASA connected to spacecraft?,answer,connection_path,NASA,spacecraft,NASA develops spacecraft,low
cpqa-v1-010,How is Tesla Energy connected to solar panels?,answer,connection_path,Tesla Energy,solar panels,Tesla Energy produces solar panels,low
cpqa-v1-011,How is Elon Musk connected to rockets?,answer,connection_path,Elon Musk,rockets,through SpaceX;SpaceX develops rockets,low
cpqa-v1-012,How is Elon Musk connected to electric cars?,answer,connection_path,Elon Musk,electric cars,through Tesla;Tesla produces electric cars,low
cpqa-v1-013,How is Elon Musk connected to brain-computer interfaces?,answer,connection_path,Elon Musk,brain-computer interfaces,through Neuralink;Neuralink develops brain-computer interfaces,low
cpqa-v1-014,How is Elon Musk connected to Falcon rockets?,answer,connection_path,Elon Musk,Falcon rockets,through SpaceX,low
cpqa-v1-015,How is Elon Musk connected to Dragon spacecraft?,answer,connection_path,Elon Musk,Dragon spacecraft,through SpaceX,low
cpqa-v1-016,How is Marc Tarpenning connected to Tesla?,answer,connection_path,Marc Tarpenning,Tesla,Marc Tarpenning founded Tesla,low
cpqa-v1-017,How is SpaceX connected to Starlink?,answer,connection_path,SpaceX,Starlink,weak contextual link;not a stable factual relation,medium
cpqa-v1-018,How is SpaceX connected to Falcon 9?,answer,connection_path,SpaceX,Falcon 9,weak contextual link;not a stable factual relation,medium
cpqa-v1-019,How is Tesla connected to electric vehicles?,answer,connection_path,Tesla,electric vehicles,weak contextual link;not a stable factual relation,medium
cpqa-v1-020,How is Powerwall connected to lithium-ion battery?,answer,connection_path,Powerwall,lithium-ion battery,weak contextual link,medium
cpqa-v1-021,How is Forbes connected to net worth?,answer,connection_path,Forbes,net worth,source-qualified;recheck;not stable,high
cpqa-v1-022,How is Elon Musk connected to net worth?,answer,connection_path,Elon Musk,net worth,source-qualified;recheck,high
cpqa-v1-023,What path connects Elon Musk to SpaceX?,answer,relation_chain,Elon Musk,SpaceX,Elon Musk;SpaceX;explicit overlay relation,low
cpqa-v1-024,What path connects Tesla to battery storage?,answer,relation_chain,Tesla,battery storage,Tesla;produces;Battery storage,low
cpqa-v1-025,What path connects Forbes to business rankings?,answer,relation_chain,Forbes,business rankings,Forbes;publishes;business rankings,low
cpqa-v1-026,What path connects Bloomberg News to wealth indexes?,answer,relation_chain,Bloomberg News,wealth indexes,Bloomberg News;wealth indexes,low
cpqa-v1-027,What path connects Elon Musk to rockets?,answer,relation_chain,Elon Musk,rockets,Elon Musk;SpaceX;rockets,low
cpqa-v1-028,What path connects Elon Musk to electric cars?,answer,relation_chain,Elon Musk,electric cars,Tesla;electric cars,low
cpqa-v1-029,What path connects Jeff Bezos to Blue Origin?,answer,relation_chain,Jeff Bezos,Blue Origin,Jeff Bezos;Blue Origin,low
cpqa-v1-030,What path connects NASA to launch systems?,answer,relation_chain,NASA,launch systems,NASA;launch systems,low
cpqa-v1-031,What path connects SolarCity to solar panels?,answer,relation_chain,SolarCity,solar panels,SolarCity;solar panels,low
cpqa-v1-032,What path connects Neuralink to brain-computer interfaces?,answer,relation_chain,Neuralink,brain-computer interfaces,Neuralink;brain-computer interfaces,low
cpqa-v1-033,What path connects Elon Musk to Dragon spacecraft?,answer,relation_chain,Elon Musk,Dragon spacecraft,SpaceX;Dragon spacecraft,low
cpqa-v1-034,Which claims require rechecking?,answer,source_qualified_list,,,4;require rechecking;Elon Musk;2026-06,high
cpqa-v1-035,Which facts are source-qualified?,answer,source_qualified_list,,,source-qualified;Forbes;Bloomberg,high
cpqa-v1-036,Which overlay facts are volatile?,answer,source_qualified_list,,,volatile;require rechecking,high
cpqa-v1-037,Which net worth claims require recheck?,answer,source_qualified_list,,,Elon Musk;Jeff Bezos;Bernard Arnault;Michael Bloomberg,high
cpqa-v1-038,Which source-qualified facts require recheck?,answer,source_qualified_list,,,4;recheck,high
cpqa-v1-039,List the volatile facts in the overlay.,answer,source_qualified_list,,,volatile;source-qualified,high
