id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,model,sample_index,completion,full_text,generation_time_sec,device,max_new_tokens,temperature,top_k,seed
v1-001,The customer reached the bank teller with cash to,bank,financial_institution,cue_rich,Direct teller and cash cues target the financial sense,nanogpt:gpt2,0,make a deposit to pay for the car after he had left the store. The customer contacted the bank,The customer reached the bank teller with cash to make a deposit to pay for the car after he had left the store. The customer contacted the bank,1.3150,mps,20,0.8,40,1337
v1-002,At the bank she opened an account and asked about credit to,bank,financial_institution,cue_rich,Multiple financial cues make this an easy control row,nanogpt:gpt2,0,"a friend's computer, and when he turned around she went to her boyfriend's house with him and","At the bank she opened an account and asked about credit to a friend's computer, and when he turned around she went to her boyfriend's house with him and",0.4491,mps,20,0.8,40,1337
v1-003,The fisherman sat on the muddy bank by the river to,bank,river_edge,cue_rich,Direct fisherman mud and river cues target the river edge,nanogpt:gpt2,0,"catch the fish.

""We had no idea what was on the boat,"" said K.","The fisherman sat on the muddy bank by the river to catch the fish.

""We had no idea what was on the boat,"" said K.",0.4968,mps,20,0.8,40,1337
v1-004,The boat drifted toward the bank as the current,bank,river_edge,cue_rich,Boat and current cues make the river edge explicit,nanogpt:gpt2,0,"was low. I glanced up at him, then down at the boat. His eyes are dark and","The boat drifted toward the bank as the current was low. I glanced up at him, then down at the boat. His eyes are dark and",0.4824,mps,20,0.8,40,1337
v1-005,The bat flew from the cave at night with its wings,bat,animal,cue_rich,Direct animal behavior cues target the mammal,nanogpt:gpt2,0,"flapping and its tail flapping.

In the morning, when the bat would go out","The bat flew from the cave at night with its wings flapping and its tail flapping.

In the morning, when the bat would go out",0.4554,mps,20,0.8,40,1337
v1-006,The tiny bat hung in the cave after night,bat,animal,cue_rich,Cave night and hanging cues are strongly animal aligned,nanogpt:gpt2,0,"fall. After the dark, the man told his story, then went to sleep.

The","The tiny bat hung in the cave after nightfall. After the dark, the man told his story, then went to sleep.

The",0.4342,mps,20,0.8,40,1337
v1-007,The baseball player lifted the bat before the swing,bat,sports_equipment,cue_rich,Baseball player and swing cues target sports equipment,nanogpt:gpt2,0,", then turned it into a pitch and the ball turned to a ball and had to be hit before","The baseball player lifted the bat before the swing, then turned it into a pitch and the ball turned to a ball and had to be hit before",0.4523,mps,20,0.8,40,1337
v1-008,The bat cracked when he hit it during the game,bat,sports_equipment,cue_rich,Hit cracked and game cues make sports equipment explicit,nanogpt:gpt2,0,". There was little contact, but it was hard to tell. The only thing that was clear was","The bat cracked when he hit it during the game. There was little contact, but it was hard to tell. The only thing that was clear was",0.4769,mps,20,0.8,40,1337
v1-009,The seal swam through ocean water chasing fish to,seal,animal,cue_rich,Ocean water and fish cues target the animal,nanogpt:gpt2,0,"get to shore.

A photo posted by Nick Rennie (@nickrennie)","The seal swam through ocean water chasing fish to get to shore.

A photo posted by Nick Rennie (@nickrennie)",0.4218,mps,20,0.8,40,1337
v1-010,At the zoo the seal waved its flippers above the water,seal,animal,cue_rich,Zoo flippers and water cues make the animal sense clear,nanogpt:gpt2,0,", showing a happy smile upon being able to see it.

The seal's owner, S","At the zoo the seal waved its flippers above the water, showing a happy smile upon being able to see it.

The seal's owner, S",0.4661,mps,20,0.8,40,1337
v1-011,She pressed the wax seal onto the envelope to,seal,closure_stamp,cue_rich,Wax and envelope cues target the closure stamp,nanogpt:gpt2,0,"seal the return envelope. This made it impossible for me to get the envelope out.

He","She pressed the wax seal onto the envelope to seal the return envelope. This made it impossible for me to get the envelope out.

He",0.4116,mps,20,0.8,40,1337
v1-012,The official seal on the document matched the stamp,seal,closure_stamp,cue_rich,Official document and stamp cues make the closure sense clear,nanogpt:gpt2,0,found on the same coin as the original. But when the seal was found in a separate area of,The official seal on the document matched the stamp found on the same coin as the original. But when the seal was found in a separate area of,0.4150,mps,20,0.8,40,1337
v1-013,The crane spread its wings above the marsh and,crane,bird,cue_rich,Wings and marsh cues target the bird,nanogpt:gpt2,0,over the lake. It was an immense success in the field of battle. The soldiers of the Imperial,The crane spread its wings above the marsh and over the lake. It was an immense success in the field of battle. The soldiers of the Imperial,0.3678,mps,20,0.8,40,1337
v1-014,The bird expert watched the crane build a nest near the lake,crane,bird,cue_rich,Bird nest and lake cues make the animal sense explicit,nanogpt:gpt2,0,"side. He then took a closer look at the other nest, which was filled with white-tailed","The bird expert watched the crane build a nest near the lake side. He then took a closer look at the other nest, which was filled with white-tailed",0.4250,mps,20,0.8,40,1337
v1-015,The operator used the crane at the construction site to,crane,machine,cue_rich,Operator construction and site cues target the machine,nanogpt:gpt2,0,"lift the vehicle into the building.

Sara Kudri, the director of the Central","The operator used the crane at the construction site to lift the vehicle into the building.

Sara Kudri, the director of the Central",0.4399,mps,20,0.8,40,1337
v1-016,The crane lifted the steel beam above the building,crane,machine,cue_rich,Lifted steel and building cues make machinery explicit,nanogpt:gpt2,0,"'s roof and the crane's pilot began to climb down.

The pilot, who declined to","The crane lifted the steel beam above the building's roof and the crane's pilot began to climb down.

The pilot, who declined to",0.3752,mps,20,0.8,40,1337
v1-017,In April the spring rain warmed the garden and,spring,season,cue_rich,April rain warm and garden cues target the season,nanogpt:gpt2,0,began to recede. In the summer the grass grew darker and darker. At the first sign of,In April the spring rain warmed the garden and began to recede. In the summer the grass grew darker and darker. At the first sign of,0.3850,mps,20,0.8,40,1337
v1-018,The metal spring compressed inside the mechanism and,spring,coil,cue_rich,Metal compressed and mechanism cues target the coil,nanogpt:gpt2,0,"gave rise to an automatic release. Since it was not a ""pistol"" or a ""","The metal spring compressed inside the mechanism and gave rise to an automatic release. Since it was not a ""pistol"" or a """,0.9791,mps,20,0.8,40,1337
v1-019,The heavy rock rolled from the mountain to the ground,rock,stone,cue_rich,Heavy mountain and ground cues target stone,nanogpt:gpt2,0,"and was carried back by a wave of wind, which came down from the mountain to a distance of","The heavy rock rolled from the mountain to the ground and was carried back by a wave of wind, which came down from the mountain to a distance of",0.3702,mps,20,0.8,40,1337
v1-020,The rock band carried guitars onto the concert stage and,rock,music,cue_rich,Band guitar concert and stage cues target music,nanogpt:gpt2,0,"performed a song about the end of time, before the lights went out.

Troy Taylor","The rock band carried guitars onto the concert stage and performed a song about the end of time, before the lights went out.

Troy Taylor",0.3672,mps,20,0.8,40,1337
v1-021,The client waited at the bank counter to,bank,financial_institution,weak_cue,Counter and client imply finance without built in cue words,nanogpt:gpt2,0,"get a hold of the money. When he refused to pay in full, his son, who had","The client waited at the bank counter to get a hold of the money. When he refused to pay in full, his son, who had",0.3706,mps,20,0.8,40,1337
v1-022,Near closing time the bank manager motioned for,bank,financial_institution,weak_cue,Manager and closing time imply a branch but weakly,nanogpt:gpt2,0,the staff to keep an eye on the room and said she had no idea what it was or what,Near closing time the bank manager motioned for the staff to keep an eye on the room and said she had no idea what it was or what,0.3669,mps,20,0.8,40,1337
v1-023,The children climbed down the bank below the bridge to,bank,river_edge,weak_cue,Downward slope and bridge imply a river edge without direct cues,nanogpt:gpt2,0,"find the men were still there, but the men fled. He was afraid that they might have been","The children climbed down the bank below the bridge to find the men were still there, but the men fled. He was afraid that they might have been",0.3671,mps,20,0.8,40,1337
v1-024,A narrow path crossed the bank below the reeds and,bank,river_edge,weak_cue,Reeds and path imply a natural bank but not through known cues,nanogpt:gpt2,0,"into the green, the two trees peeping a little bit out of the trees. ""I don","A narrow path crossed the bank below the reeds and into the green, the two trees peeping a little bit out of the trees. ""I don",0.3676,mps,20,0.8,40,1337
