title,score,expected_yield_class,source_hint,already_fetched,recheck_required,positive_reasons,negative_reasons
Jeff Bezos,151.333,high,Billionaire,False,True,source_page_produced_accepted_fact; in_high_yield_source_pages; subject_of_accepted_fact; encyclopedic_entity_form; relation_or_overlay_source; stale_snapshot_recheck; staleness_boost:6.33,
Michael Bloomberg,121.333,high,Bloomberg L.P.,False,True,source_page_produced_accepted_fact; in_high_yield_source_pages; subject_of_accepted_fact; object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects; relation_or_overlay_source; stale_snapshot_recheck; staleness_boost:6.33,low_yield_source_page_recheck_penalty; adjacent_to_low_yield_source_page
Environmental resource management,108.12,high,,False,False,source_page_produced_accepted_fact; subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Elon Musk,76.333,high,Billionaire,False,True,source_page_produced_accepted_fact; in_high_yield_source_pages; subject_of_accepted_fact; encyclopedic_entity_form; relation_or_overlay_source; gap_driven_entity; stale_snapshot_recheck; staleness_boost:6.33,low_yield_source_page_recheck_penalty; historically_failed_fetch
Lew Rockwell,73.32,high,,False,False,subject_of_accepted_fact; object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Roger Williams,73.24,high,,False,False,subject_of_accepted_fact; object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Northern California,73.2,high,,False,False,subject_of_accepted_fact; object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
New York Legislature,73.14,high,,False,False,subject_of_accepted_fact; object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Bernard Arnault,71.333,high,Bernard Arnault,False,True,source_page_produced_accepted_fact; subject_of_accepted_fact; encyclopedic_entity_form; relation_or_overlay_source; stale_snapshot_recheck; staleness_boost:6.33,historically_failed_fetch
Muhammad Ali,48.58,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
German language,48.38,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Louisiana Creoles,48.34,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Chinese Communist Party,48.32,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
United States of America,48.32,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
National Guard Bureau,48.28,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Socialist Labor Party,48.24,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Montgomery Blair,48.18,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Officer Training School,48.18,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
American conservative,48.16,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Flight testing,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Liberty Central,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Lyndon Baines Johnson,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Mercury News,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
New York Observer,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
New York Review of Books,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Quinnipiac University Poll,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Skydance Media,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Third Industrial Revolution,48.14,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
American Spectator,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Auris Health,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Daily Caller,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Dassault Aviation,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Dwight David Eisenhower,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Frank Comerford Walker,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Gary Earl Johnson,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
John Diebold,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Louis de Buade de Frontenac,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Marine Forces Reserve,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Saylor Academy,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Standing Rules of the Senate,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
Virginia Thomas,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
William Randolph I,48.12,medium,,False,False,subject_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Richmond, Virginia",43.52,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"El Paso, Texas",43.5,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
"Orlando, Florida",43.5,medium,,False,False,object_of_accepted_fact; encyclopedic_entity_form; term_in_accepted_fact_objects,
