id,topic,suggested_title,related_request_count,entities_to_cover,relations_to_verify,next_pipeline_step
sdr-0001,missing knowledge: Who is the current CEO of Tesla?,missing_knowledge_who_is_the_current_ceo_of_tesla_local_doc,1,,source_qualified_fact: Who is the current CEO of Tesla?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0002,missing knowledge: What is SpaceX's current valuation?,missing_knowledge_what_is_spacex_s_current_valuation_local_doc,1,,source_qualified_fact: What is SpaceX's current valuation?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0003,missing knowledge: Who is the current CEO of SpaceX?,missing_knowledge_who_is_the_current_ceo_of_spacex_local_doc,1,,source_qualified_fact: Who is the current CEO of SpaceX?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0004,missing knowledge: What is the current price of Tesla stock?,missing_knowledge_what_is_the_current_price_of_tesla_stock_local_doc,1,,source_qualified_fact: What is the current price of Tesla stock?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0005,missing knowledge: What is Tesla's latest quarterly revenue?,missing_knowledge_what_is_tesla_s_latest_quarterly_revenue_local_doc,1,,source_qualified_fact: What is Tesla's latest quarterly revenue?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0006,missing knowledge: What is Forbes' latest ranking of Elon Musk?,missing_knowledge_what_is_forbes_latest_ranking_of_elon_musk_local_doc,1,,source_qualified_fact: What is Forbes' latest ranking of Elon Musk?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0007,missing knowledge: Does Forbes lead Tesla?,missing_knowledge_does_forbes_lead_tesla_local_doc,1,,connected_to: Does Forbes lead Tesla?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0008,missing knowledge: Is Rocket a company?,missing_knowledge_is_rocket_a_company_local_doc,1,,policy_explanation: Is Rocket a company?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0009,missing knowledge: Is leadership a company?,missing_knowledge_is_leadership_a_company_local_doc,1,,policy_explanation: Is leadership a company?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0010,missing knowledge: Is net worth a stable physical property?,missing_knowledge_is_net_worth_a_stable_physical_property_local_doc,1,,source_qualified_fact: Is net worth a stable physical property?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0011,missing knowledge: Is leadership a product made by Tesla?,missing_knowledge_is_leadership_a_product_made_by_tesla_local_doc,1,,policy_explanation: Is leadership a product made by Tesla?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0012,missing knowledge: Is Bloomberg News the same as Bloomberg L.P.?,missing_knowledge_is_bloomberg_news_the_same_as_bloomberg_l_p_local_doc,1,,policy_explanation: Is Bloomberg News the same as Bloomberg L.P.?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0013,missing knowledge: Is Forbes the same as Bloomberg News?,missing_knowledge_is_forbes_the_same_as_bloomberg_news_local_doc,1,,policy_explanation: Is Forbes the same as Bloomberg News?,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0014,Elon Musk and Starlink relationship,elon_musk_and_starlink_relationship_local_doc,2,Elon Musk|Starlink,Elon Musk develops/produces/operates Starlink,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0015,Tesla and Forbes relationship,tesla_and_forbes_relationship_local_doc,2,Tesla|Forbes,Tesla founder_of/leader_of/owned_by/subsidiary_of/operates/publishes Forbes,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0016,Starlink and net worth relationship,starlink_and_net_worth_relationship_local_doc,2,Starlink|net worth,Starlink source_qualified_fact net worth,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0017,Bloomberg News and SpaceX rockets relationship,bloomberg_news_and_spacex_rockets_relationship_local_doc,1,Bloomberg News|SpaceX rockets,Bloomberg News develops/produces/operates SpaceX rockets,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0018,Bloomberg News and Bloomberg LP relationship,bloomberg_news_and_bloomberg_lp_relationship_local_doc,1,Bloomberg News|Bloomberg LP,Bloomberg News founder_of/leader_of/owned_by/subsidiary_of/operates/publishes Bloomberg LP,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0019,Tesla and lithium-ion batteries relationship,tesla_and_lithium_ion_batteries_relationship_local_doc,1,Tesla|lithium-ion batteries,Tesla develops/produces/operates lithium-ion batteries,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0020,Forbes and SpaceX relationship,forbes_and_spacex_relationship_local_doc,1,Forbes|SpaceX,Forbes founder_of/leader_of/owned_by/subsidiary_of/operates/publishes SpaceX,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0021,Tesla and NASA relationship,tesla_and_nasa_relationship_local_doc,1,Tesla|NASA,Tesla founder_of/leader_of/owned_by/subsidiary_of/operates/publishes NASA,create local doc -> self_ingestion -> quarantine -> promotion -> regression
sdr-0022,Reuters and rockets relationship,reuters_and_rockets_relationship_local_doc,1,Reuters|rockets,Reuters develops/produces/operates rockets,create local doc -> self_ingestion -> quarantine -> promotion -> regression
