source_page,answerable_facts,ingestion_candidates,is_high_yield,is_low_yield
comenity capital bank,12,0,True,False
microsoft sql server,10,5,True,True
community memory,9,8,True,False
sun microsystems,8,13,True,True
long march,8,12,True,False
elon musk,8,11,True,True
satellite radio,7,14,True,True
berkeley db,7,11,True,False
otis worldwide,7,6,True,False
google cloud,7,0,True,False
seventh air force,6,17,True,False
u.s. bancorp,6,11,True,False
henrik fisker,6,9,True,False
jaguar i-pace,6,9,True,False
paramount skydance,6,8,True,False
government accountability office,6,0,True,False
spacex starlink,6,0,True,False
air force reserve officer training corps,5,21,True,False
air force officer training school,5,18,True,False
sergey brin,5,16,True,True
bonnier group,5,15,True,False
starlink in the russo-ukrainian war,5,15,True,False
the epoch times,5,14,True,False
silicon valley,5,11,True,True
london stock exchange,5,5,True,False
the times,5,5,True,False
new york state banking department,5,1,True,False
apple computer,5,0,True,False
government services,5,0,True,False
health organization,5,0,True,False
intel corporation,5,0,True,False
jewish telegraph agency,5,0,True,False
nyse group,5,0,True,False
spacex hawthorne,5,0,True,False
mission control center,4,21,True,True
oracle database,4,20,True,True
lavochkin,4,18,True,False
boeing x-37,4,16,True,False
bloomberg radio,4,14,True,False
bombay stock exchange,4,13,True,False
charles d. walker,4,13,True,True
detroit electric,4,13,True,False
jaguar land rover,4,11,True,False
virgin mobile,4,11,True,False
ray kroc,4,10,True,False
south china morning post,4,10,True,False
fourth industrial revolution,4,9,True,False
saturn ib,4,9,True,False
the daily caller,4,9,True,False
école centrale paris,4,9,True,False
frank knight,4,8,True,False
rupert murdoch,4,8,True,False
blade runner,4,7,True,True
hans moravec,4,7,True,False
ketanji brown jackson,4,7,True,False
pat buchanan,4,7,True,False
world economic forum,4,7,True,False
boston university,4,6,True,False
chicago express,4,6,True,False
september,4,6,True,False
aliko dangote,4,5,True,False
colonial history of the united states,4,5,True,False
university of pretoria,4,5,True,False
frieze art fair,4,4,True,False
ronald reagan,4,3,True,True
russell kirk center for cultural renewal,4,3,True,False
ralph white,4,2,True,False
amsterdam stock exchange,4,0,True,False
frank l. vandersloot,4,0,True,False
giga berlin,4,0,True,False
giga nevada,4,0,True,False
hughes aircraft co,4,0,True,False
jersey city,4,0,True,False
moet hennessy,4,0,True,False
new york times,4,0,True,False
patria plc,4,0,True,False
reaction engines limited,4,0,True,False
securities act,4,0,True,False
time magazine,4,0,True,False
sequoia capital,3,22,True,False
sea launch,3,21,True,True
northrop grumman,3,20,True,False
jeff bezos,3,18,True,False
vulcan centaur,3,16,True,False
dennis tito,3,15,True,False
white sands missile range,3,15,True,False
amazon china,3,14,True,False
jim cantrell,3,14,True,True
john c. breckinridge,3,13,True,False
xcor aerospace,3,13,True,True
anousheh ansari,3,12,True,False
bezos expeditions,3,12,True,True
civil air patrol,3,12,True,False
constitution party national convention,3,12,True,False
douglas aircraft company,3,12,True,False
jensen huang,3,12,True,False
zep solar,3,12,True,False
bellevue 600,3,11,True,False
clark university,3,11,True,False
hart senate office building,3,11,True,False
league of conservation voters,3,11,True,False
north american aviation,3,11,True,False
oracle rdb,3,11,True,False
scaled composites,3,11,True,True
wayback machine,3,11,True,False
dawn aerospace,3,10,True,False
land rover,3,10,True,False
national socialist party of america,3,10,True,False
peter grauer,3,10,True,True
spacex dragon,3,10,True,True
gordon moore,3,9,True,False
loro piana,3,9,True,False
mises institute,3,9,True,False
national business daily,3,9,True,False
quinnipiac university polling institute,3,9,True,False
rockwell international,3,9,True,False
shirley chisholm,3,9,True,False
united aircraft corporation,3,9,True,True
amazon go,3,8,True,False
cornel west,3,8,True,False
edward bernays,3,8,True,False
general electric,3,8,True,True
oracle enterprise manager,3,8,True,False
smith electric vehicles,3,8,True,False
1928 farmer–labor national convention,3,7,True,False
capitol power plant,3,7,True,False
cornelius vanderbilt,3,7,True,False
democratic socialists of america,3,7,True,False
ford motor company,3,7,True,True
small business administration,3,7,True,False
stanford university,3,7,True,False
