id,category,question,current_decision,missing_knowledge_type,needed_evidence_type,candidate_subject,candidate_relation,candidate_object,suggested_source_topic,risk_level,activation_status,must_remain_audit_until_supported
ckr-0001,missing_source_qualified_fact,Who is the current CEO of Tesla?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: Who is the current CEO of Tesla?,high,requires_quarantine_review,True
ckr-0002,missing_source_qualified_fact,What is SpaceX's current valuation?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: What is SpaceX's current valuation?,high,requires_quarantine_review,True
ckr-0003,missing_source_qualified_fact,Who is the current CEO of SpaceX?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: Who is the current CEO of SpaceX?,high,requires_quarantine_review,True
ckr-0004,missing_source_qualified_fact,What is the current price of Tesla stock?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: What is the current price of Tesla stock?,high,requires_quarantine_review,True
ckr-0005,missing_source_qualified_fact,What is Tesla's latest quarterly revenue?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: What is Tesla's latest quarterly revenue?,high,requires_quarantine_review,True
ckr-0006,missing_source_qualified_fact,What is Forbes' latest ranking of Elon Musk?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: What is Forbes' latest ranking of Elon Musk?,high,requires_quarantine_review,True
ckr-0007,missing_entity_relation,Does Forbes lead Tesla?,audit,missing_entity_relation,explicit_stable_relation_or_path,,connected_to,,missing knowledge: Does Forbes lead Tesla?,medium,requires_local_source_doc,True
ckr-0008,missing_policy_explanation,Is Rocket a company?,audit,missing_policy_explanation,policy_documentation_and_regression_tests,,policy_explanation,,missing knowledge: Is Rocket a company?,low,requires_regression_gate,True
ckr-0009,missing_policy_explanation,Is leadership a company?,audit,missing_policy_explanation,policy_documentation_and_regression_tests,,policy_explanation,,missing knowledge: Is leadership a company?,low,requires_regression_gate,True
ckr-0010,missing_source_qualified_fact,Is net worth a stable physical property?,audit,missing_source_qualified_fact,source_qualified_fact_with_as_of_and_source,,source_qualified_fact,,missing knowledge: Is net worth a stable physical property?,high,requires_quarantine_review,True
ckr-0011,missing_policy_explanation,Is leadership a product made by Tesla?,audit,missing_policy_explanation,policy_documentation_and_regression_tests,,policy_explanation,,missing knowledge: Is leadership a product made by Tesla?,low,requires_regression_gate,True
ckr-0012,missing_policy_explanation,Is Bloomberg News the same as Bloomberg L.P.?,audit,missing_policy_explanation,policy_documentation_and_regression_tests,,policy_explanation,,missing knowledge: Is Bloomberg News the same as Bloomberg L.P.?,low,requires_regression_gate,True
