row_id,question,chain_type,decision,answer_text,chain_label,hop1,hop2,audit_reason,expected_decision,correct,notes
safe_001,How is Starlink connected to Falcon 9?,connection,answer,"Starlink is connected to Falcon 9 through SpaceX: Starlink is owned by SpaceX, and SpaceX develops Falcon 9.",owned_by_then_develops,Starlink | owned_by | SpaceX,SpaceX | develops | Falcon 9,,answer,True,Starlink owned_by SpaceX; SpaceX develops Falcon 9
safe_002,How is Starlink connected to rockets?,connection,answer,"Starlink is connected to rockets through SpaceX: Starlink is owned by SpaceX, and SpaceX develops rockets.",owned_by_then_develops,Starlink | owned_by | SpaceX,SpaceX | develops | rockets,,answer,True,Starlink owned_by SpaceX; SpaceX develops rockets
safe_003,How is SolarCity connected to electric cars?,connection,answer,"SolarCity is connected to electric cars through Tesla: SolarCity is owned by Tesla, and Tesla produces electric cars.",owned_by_then_produces,SolarCity | owned_by | Tesla,Tesla | produces | electric cars,,answer,True,SolarCity owned_by Tesla; Tesla produces electric cars
safe_004,What links SolarCity to electric cars?,connection,answer,"SolarCity is connected to electric cars through Tesla: SolarCity is owned by Tesla, and Tesla produces electric cars.",owned_by_then_produces,SolarCity | owned_by | Tesla,Tesla | produces | electric cars,,answer,True,SolarCity owned_by Tesla; Tesla produces Electric cars
safe_005,Is Starlink connected to Falcon 9 through SpaceX?,through_node,answer,"Starlink is connected to Falcon 9 through SpaceX: Starlink is owned by SpaceX, and SpaceX develops Falcon 9.",owned_by_then_develops,Starlink | owned_by | SpaceX,SpaceX | develops | Falcon 9,,answer,True,Starlink -> SpaceX -> Falcon 9
safe_006,Is SolarCity connected to electric cars through Tesla?,through_node,answer,"SolarCity is connected to electric cars through Tesla: SolarCity is owned by Tesla, and Tesla produces electric cars.",owned_by_then_produces,SolarCity | owned_by | Tesla,Tesla | produces | electric cars,,answer,True,SolarCity -> Tesla -> electric cars
safety_001,How is Elon Musk connected to Falcon 9?,connection,audit,[audit] path_blocked: current_sensitive_relation:leader_of,blocked,,,path_blocked: current_sensitive_relation:leader_of,audit,True,first path uses leader_of — current-sensitive; multi-hop must audit
safety_002,How is Jeff Bezos connected to rockets?,connection,audit,[audit] path_blocked: current_sensitive_relation:leader_of,blocked,,,path_blocked: current_sensitive_relation:leader_of,audit,True,first path uses leader_of — current-sensitive; multi-hop must audit
safety_003,Who founded SolarCity?,direct_only,audit,[audit] this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,direct_only_audit,,,this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,audit,True,direct founder — transitive founder leak guard
safety_004,Who founded Starlink?,direct_only,audit,[audit] this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,direct_only_audit,,,this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,audit,True,direct founder — transitive founder leak guard
safety_005,Who was Starlink founded by?,direct_only,audit,[audit] this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,direct_only_audit,,,this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,audit,True,direct founded_by — transitive founder leak guard
safety_006,Who owns SolarCity?,direct_only,audit,[audit] this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,direct_only_audit,,,this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,audit,True,direct owner — transitive owner leak guard
safety_007,What company owns Starlink?,direct_only,audit,[audit] this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,direct_only_audit,,,this question asks for a direct relation; multi-hop cannot answer using a transitive chain — single-hop entity QA must handle this directly,audit,True,direct owner — transitive owner leak guard
safety_008,How is Starlink connected to Ada Stone?,connection,audit,[audit] no 2-hop relation path found between these entities in the overlay,no_path,,,no 2-hop relation path found between these entities in the overlay,audit,True,missing second hop — Ada Stone not in overlay
safety_009,How is UnknownCorp connected to SpaceX?,connection,audit,[audit] no 2-hop relation path found between these entities in the overlay,no_path,,,no 2-hop relation path found between these entities in the overlay,audit,True,missing first hop — UnknownCorp not in overlay
safety_010,What is SpaceX?,unsupported,audit,[audit] no recognized multi-hop question pattern matched,unsupported,,,no recognized multi-hop question pattern matched,audit,True,single-hop definition — not a connection form
