row_id,question,expected_decision,expected_intent,expected_subject,expected_answer_contains,risk_level
eqa-v1-001,Who is Elon Musk?,answer,define_entity,Elon Musk,businessman,low
eqa-v1-002,What is Tesla?,answer,define_entity,Tesla,electric vehicle;clean energy,low
eqa-v1-003,What is SpaceX?,answer,define_entity,SpaceX,aerospace,low
eqa-v1-004,What is Forbes?,answer,define_entity,Forbes,business magazine,low
eqa-v1-005,What is leadership?,answer,define_entity,leadership,ability,low
eqa-v1-006,What is an electric vehicle?,answer,define_entity,electric vehicle,electric motors;propulsion,low
eqa-v1-007,What is a rocket?,answer,define_entity,rocket,thrust,low
eqa-v1-008,What is net worth?,answer,define_entity,net worth,assets;liabilities,low
eqa-v1-009,What is Elon Musk known for?,answer,relation_lookup,Elon Musk,Tesla;SpaceX,low
eqa-v1-010,What companies is Elon Musk linked to by leadership?,answer,relation_lookup,Elon Musk,Tesla;SpaceX,low
eqa-v1-011,What does Tesla produce?,answer,relation_lookup,Tesla,electric cars,low
eqa-v1-012,What does SpaceX develop?,answer,relation_lookup,SpaceX,rockets;spacecraft,low
eqa-v1-013,Who founded SpaceX?,answer,relation_lookup,SpaceX,Elon Musk,low
eqa-v1-014,Who founded Tesla?,answer,relation_lookup,Tesla,Martin;Marc,low
eqa-v1-015,What does Forbes publish?,answer,relation_lookup,Forbes,rankings,low
eqa-v1-016,Why is Forbes linked to Elon Musk?,answer,link_explanation,Elon Musk,weak contextual mention,low
eqa-v1-017,Why is Leadership linked to Elon Musk?,answer,link_explanation,Elon Musk,weak contextual mention,low
eqa-v1-018,Why is Rocket linked to SpaceX?,answer,link_explanation,SpaceX,weak contextual mention,low
eqa-v1-019,Why is Electric vehicle linked to Tesla?,answer,link_explanation,Tesla,weak contextual mention,low
eqa-v1-020,What does Forbes estimate about Elon Musk?,answer,source_fact_lookup,Elon Musk,Forbes;2026-06,high
eqa-v1-021,Is Elon Musk's net worth a stable fact?,answer,source_fact_lookup,Elon Musk,volatile;source-qualified,high
eqa-v1-022,Why should Musk's net worth be rechecked?,answer,source_fact_lookup,Musk,time-sensitive,high
eqa-v1-023,What is Elon Musk's favorite food?,audit,unknown_or_unsupported,Elon Musk,,low
eqa-v1-024,Who is the current CEO of Tesla?,audit,unknown_or_unsupported,Tesla,,low
eqa-v1-025,What is Tesla's current stock price?,audit,unknown_or_unsupported,Tesla,,low
eqa-v1-026,What is SpaceX's current valuation?,audit,unknown_or_unsupported,SpaceX,,low
eqa-v1-027,What is the current market cap of Tesla?,audit,unknown_or_unsupported,Tesla,,low
eqa-v1-028,What is Bloomberg News?,answer,define_entity,Bloomberg News,news organization,low
