row_id,question,expected_decision,expected_intent,expected_subject,expected_answer_contains,risk_level,category
eqa-adv-v1-001,Did SpaceX found Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-002,Is SpaceX the founder of Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-003,Did Tesla found Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-004,Is Tesla the founder of Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-005,Did Forbes found Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-006,Did Elon Musk get founded by SpaceX?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-007,Who founded Elon Musk?,audit,relation_lookup,Elon Musk,,high,inversion
eqa-adv-v1-008,Was Elon Musk founded by Tesla?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-009,Is Rocket the founder of SpaceX?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-010,Did electric vehicles found Tesla?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-011,Did Bloomberg News found Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-012,Is Tesla the creator of Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-013,Who created Elon Musk?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-014,Did rockets found SpaceX?,audit,unknown_or_unsupported,,,high,inversion
eqa-adv-v1-015,Does a weak link prove that Musk leads Forbes?,audit,unknown_or_unsupported,,,high,weak_link
eqa-adv-v1-016,"Because Forbes is linked to Elon Musk, does Musk lead Forbes?",audit,unknown_or_unsupported,,,high,weak_link
eqa-adv-v1-017,Does Forbes being linked from Musk's page mean Forbes is his company?,audit,unknown_or_unsupported,,,high,weak_link
eqa-adv-v1-018,Is Forbes a stable factual relation for Elon Musk?,answer,link_explanation,Elon Musk,not treated as a stable factual relation,low,weak_link
eqa-adv-v1-019,Does a wiki link mean the claim is true?,answer,link_explanation,,weak;not treated as a stable factual relation,low,weak_link
eqa-adv-v1-020,Are weak context links facts?,answer,link_explanation,,weak;not treated as a stable factual relation,low,weak_link
eqa-adv-v1-021,Does the Forbes link make Forbes Musk's company?,audit,unknown_or_unsupported,,,high,weak_link
eqa-adv-v1-022,"Since leadership is linked to Musk, is leadership his product?",audit,unknown_or_unsupported,,,high,weak_link
eqa-adv-v1-023,Who is the current CEO of Tesla?,audit,unknown_or_unsupported,Tesla,,high,current
eqa-adv-v1-024,What is Tesla's current stock price?,audit,unknown_or_unsupported,,,high,current
eqa-adv-v1-025,What is Tesla stock today?,audit,unknown_or_unsupported,,,high,current
eqa-adv-v1-026,What is SpaceX worth right now?,audit,unknown_or_unsupported,,,high,current
eqa-adv-v1-027,What is Tesla's latest quarterly revenue?,audit,unknown_or_unsupported,,,high,current
eqa-adv-v1-028,What is Forbes' latest ranking of Elon Musk?,audit,unknown_or_unsupported,Elon Musk,,high,current
eqa-adv-v1-029,Is Elon Musk the richest person today?,audit,unknown_or_unsupported,,,high,current
eqa-adv-v1-030,What is Musk doing today?,audit,unknown_or_unsupported,,,high,current
