id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,continuation,selected_sense,confidence,decision,reasons,memory_hits
v1-001,The customer reached the bank teller with cash to,bank,financial_institution,cue_rich,Direct teller and cash cues target the financial sense,The customer reached the bank teller with cash to open an account,financial_institution,0.7500,continue,top_sense=financial_institution | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bank | cue=teller -> financial_institution | positive_cue=teller -> financial_institution | cue=cash -> financial_institution | positive_cue=cash -> financial_institution | cue=customer -> financial_institution | positive_cue=customer -> financial_institution | selected_sense=financial_institution
v1-002,At the bank she opened an account and asked about credit to,bank,financial_institution,cue_rich,Multiple financial cues make this an easy control row,At the bank she opened an account and asked about credit to open an account,financial_institution,0.6667,continue,top_sense=financial_institution | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=account -> financial_institution | positive_cue=account -> financial_institution | cue=credit -> financial_institution | positive_cue=credit -> financial_institution | selected_sense=financial_institution
v1-003,The fisherman sat on the muddy bank by the river to,bank,river_edge,cue_rich,Direct fisherman mud and river cues target the river edge,The fisherman sat on the muddy bank by the river to cast his line,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=river -> river_edge | positive_cue=river -> river_edge | cue=fisherman -> river_edge | positive_cue=fisherman -> river_edge | selected_sense=river_edge
v1-004,The boat drifted toward the bank as the current,bank,river_edge,cue_rich,Boat and current cues make the river edge explicit,The boat drifted toward the bank as the current cast his line,river_edge,0.6667,continue,top_sense=river_edge | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bank | cue=current -> river_edge | positive_cue=current -> river_edge | cue=boat -> river_edge | positive_cue=boat -> river_edge | selected_sense=river_edge
v1-005,The bat flew from the cave at night with its wings,bat,animal,cue_rich,Direct animal behavior cues target the mammal,The bat flew from the cave at night with its wings flew into the dark cave,animal,0.8000,continue,top_sense=animal | top_score=4 | second_score=0 | margin=4 | score_and_margin_above_thresholds,term=bat | cue=cave -> animal | positive_cue=cave -> animal | cue=flew -> animal | positive_cue=flew -> animal | cue=wings -> animal | positive_cue=wings -> animal | cue=night -> animal | positive_cue=night -> animal | selected_sense=animal
v1-006,The tiny bat hung in the cave after night,bat,animal,cue_rich,Cave night and hanging cues are strongly animal aligned,The tiny bat hung in the cave after night flew into the dark cave,animal,0.6667,continue,top_sense=animal | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=bat | cue=cave -> animal | positive_cue=cave -> animal | cue=night -> animal | positive_cue=night -> animal | selected_sense=animal
v1-007,The baseball player lifted the bat before the swing,bat,sports_equipment,cue_rich,Baseball player and swing cues target sports equipment,The baseball player lifted the bat before the swing hit the ball,sports_equipment,0.7500,continue,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=baseball -> sports_equipment | positive_cue=baseball -> sports_equipment | cue=player -> sports_equipment | positive_cue=player -> sports_equipment | cue=swing -> sports_equipment | positive_cue=swing -> sports_equipment | selected_sense=sports_equipment
v1-008,The bat cracked when he hit it during the game,bat,sports_equipment,cue_rich,Hit cracked and game cues make sports equipment explicit,The bat cracked when he hit it during the game hit the ball,sports_equipment,0.7500,continue,top_sense=sports_equipment | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=bat | cue=hit -> sports_equipment | positive_cue=hit -> sports_equipment | cue=cracked -> sports_equipment | positive_cue=cracked -> sports_equipment | cue=game -> sports_equipment | positive_cue=game -> sports_equipment | selected_sense=sports_equipment
v1-009,The seal swam through ocean water chasing fish to,seal,animal,cue_rich,Ocean water and fish cues target the animal,The seal swam through ocean water chasing fish to swam through the cold water,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=ocean -> animal | positive_cue=ocean -> animal | cue=fish -> animal | positive_cue=fish -> animal | cue=water -> animal | positive_cue=water -> animal | selected_sense=animal
v1-010,At the zoo the seal waved its flippers above the water,seal,animal,cue_rich,Zoo flippers and water cues make the animal sense clear,At the zoo the seal waved its flippers above the water swam through the cold water,animal,0.7500,continue,top_sense=animal | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=zoo -> animal | positive_cue=zoo -> animal | cue=flippers -> animal | positive_cue=flippers -> animal | cue=water -> animal | positive_cue=water -> animal | selected_sense=animal
v1-011,She pressed the wax seal onto the envelope to,seal,closure_stamp,cue_rich,Wax and envelope cues target the closure stamp,She pressed the wax seal onto the envelope to closed the envelope,closure_stamp,0.6667,continue,top_sense=closure_stamp | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=seal | cue=envelope -> closure_stamp | positive_cue=envelope -> closure_stamp | cue=wax -> closure_stamp | positive_cue=wax -> closure_stamp | selected_sense=closure_stamp
v1-012,The official seal on the document matched the stamp,seal,closure_stamp,cue_rich,Official document and stamp cues make the closure sense clear,The official seal on the document matched the stamp closed the envelope,closure_stamp,0.7500,continue,top_sense=closure_stamp | top_score=3 | second_score=0 | margin=3 | score_and_margin_above_thresholds,term=seal | cue=document -> closure_stamp | positive_cue=document -> closure_stamp | cue=stamp -> closure_stamp | positive_cue=stamp -> closure_stamp | cue=official -> closure_stamp | positive_cue=official -> closure_stamp | selected_sense=closure_stamp
v1-013,The crane spread its wings above the marsh and,crane,bird,cue_rich,Wings and marsh cues target the bird,The crane spread its wings above the marsh and flew over the marsh,bird,0.6667,continue,top_sense=bird | top_score=2 | second_score=0 | margin=2 | score_and_margin_above_thresholds,term=crane | cue=wings -> bird | positive_cue=wings -> bird | cue=marsh -> bird | positive_cue=marsh -> bird | selected_sense=bird
