id,prompt,ambiguous_term,expected_sense,difficulty_type,notes
v1-001,The customer reached the bank teller with cash to,bank,financial_institution,cue_rich,Direct teller and cash cues target the financial sense
v1-002,At the bank she opened an account and asked about credit to,bank,financial_institution,cue_rich,Multiple financial cues make this an easy control row
v1-003,The fisherman sat on the muddy bank by the river to,bank,river_edge,cue_rich,Direct fisherman mud and river cues target the river edge
v1-004,The boat drifted toward the bank as the current,bank,river_edge,cue_rich,Boat and current cues make the river edge explicit
v1-005,The bat flew from the cave at night with its wings,bat,animal,cue_rich,Direct animal behavior cues target the mammal
v1-006,The tiny bat hung in the cave after night,bat,animal,cue_rich,Cave night and hanging cues are strongly animal aligned
v1-007,The baseball player lifted the bat before the swing,bat,sports_equipment,cue_rich,Baseball player and swing cues target sports equipment
v1-008,The bat cracked when he hit it during the game,bat,sports_equipment,cue_rich,Hit cracked and game cues make sports equipment explicit
v1-009,The seal swam through ocean water chasing fish to,seal,animal,cue_rich,Ocean water and fish cues target the animal
v1-010,At the zoo the seal waved its flippers above the water,seal,animal,cue_rich,Zoo flippers and water cues make the animal sense clear
v1-011,She pressed the wax seal onto the envelope to,seal,closure_stamp,cue_rich,Wax and envelope cues target the closure stamp
v1-012,The official seal on the document matched the stamp,seal,closure_stamp,cue_rich,Official document and stamp cues make the closure sense clear
v1-013,The crane spread its wings above the marsh and,crane,bird,cue_rich,Wings and marsh cues target the bird
v1-014,The bird expert watched the crane build a nest near the lake,crane,bird,cue_rich,Bird nest and lake cues make the animal sense explicit
v1-015,The operator used the crane at the construction site to,crane,machine,cue_rich,Operator construction and site cues target the machine
v1-016,The crane lifted the steel beam above the building,crane,machine,cue_rich,Lifted steel and building cues make machinery explicit
v1-017,In April the spring rain warmed the garden and,spring,season,cue_rich,April rain warm and garden cues target the season
v1-018,The metal spring compressed inside the mechanism and,spring,coil,cue_rich,Metal compressed and mechanism cues target the coil
v1-019,The heavy rock rolled from the mountain to the ground,rock,stone,cue_rich,Heavy mountain and ground cues target stone
v1-020,The rock band carried guitars onto the concert stage and,rock,music,cue_rich,Band guitar concert and stage cues target music
v1-021,The client waited at the bank counter to,bank,financial_institution,weak_cue,Counter and client imply finance without built in cue words
v1-022,Near closing time the bank manager motioned for,bank,financial_institution,weak_cue,Manager and closing time imply a branch but weakly
v1-023,The children climbed down the bank below the bridge to,bank,river_edge,weak_cue,Downward slope and bridge imply a river edge without direct cues
v1-024,A narrow path crossed the bank below the reeds and,bank,river_edge,weak_cue,Reeds and path imply a natural bank but not through known cues
v1-025,The ranger dimmed the attic light so the bat could,bat,animal,weak_cue,Attic and ranger imply a live animal without explicit cue hits
v1-026,At dusk the tiny bat stirred under the eaves and,bat,animal,weak_cue,Dusk and eaves imply the animal but avoid supported cues
v1-027,The batter tapped the bat on the plate before,bat,sports_equipment,weak_cue,Batter and plate imply baseball but are unsupported cues
v1-028,In the dugout he chose the lighter bat and,bat,sports_equipment,weak_cue,Dugout and lighter object imply equipment without direct cues
v1-029,The trainer tossed a treat and the seal slid,seal,animal,weak_cue,Trainer and treat imply a performing animal without direct cues
v1-030,On the pier the seal raised its head while tourists,seal,animal,weak_cue,Pier and tourists imply the marine animal indirectly
v1-031,The clerk warmed the seal before closing the parcel and,seal,closure_stamp,weak_cue,Clerk and parcel imply closure without built in cues
v1-032,She broke the seal at the flap and,seal,closure_stamp,weak_cue,Flap and breaking imply a closure but not a direct cue
v1-033,At dawn the crane stepped through reeds and,crane,bird,weak_cue,Dawn reeds and stepping imply bird behavior weakly
v1-034,The photographer waited as the crane bent its long neck to,crane,bird,weak_cue,Long neck and photographer imply a bird without direct cues
v1-035,The foreman signaled and the crane turned toward,crane,machine,weak_cue,Foreman and signaling imply machinery but avoid supported cues
v1-036,The crew waited below the crane as the hook,crane,machine,weak_cue,Crew and hook imply machinery without explicit cue words
v1-037,After the thaw the spring mornings made everyone,spring,season,weak_cue,Thaw and mornings imply the season without cue rich wording
v1-038,The latch clicked when the spring inside the handle,spring,coil,weak_cue,Latch and handle imply a mechanical coil indirectly
v1-039,He kicked the rock from the trail and,rock,stone,weak_cue,Trail and kicking imply a physical stone without cue hits
v1-040,The crowd knew the rock would get louder after,rock,music,weak_cue,Crowd and loudness imply music but only weakly
v1-041,He stood by the bank unsure where to sit until the current,bank,river_edge,delayed_cue,The resolving current cue arrives late after ambiguous setup
v1-042,She waited inside the bank without speaking until the teller,bank,financial_institution,delayed_cue,The teller cue is delayed until the end
v1-043,The bat rested in the corner and only after sunset its wings,bat,animal,delayed_cue,Animal cues appear late after a neutral opening
v1-044,He picked up the bat with no comment until the pitcher,bat,sports_equipment,delayed_cue,Sports context is delayed through pitcher rather than early cueing
v1-045,The seal lay still on the platform until the fish,seal,animal,delayed_cue,The fish cue resolves the animal sense near the end
v1-046,She studied the seal for a moment before pressing it into wax,seal,closure_stamp,delayed_cue,The closure sense appears late through pressing and wax
v1-047,The crane moved slowly across the pale shallows before its wings,crane,bird,delayed_cue,Wings resolve the bird sense only at the end
v1-048,The crane waited above the lot until the operator,crane,machine,delayed_cue,Operator cue is delayed after a neutral mechanical shape
v1-049,The spring seemed ordinary until April rain began to,spring,season,delayed_cue,April and rain resolve the season late
v1-050,The spring looked harmless until the device compressed it,spring,coil,delayed_cue,Device and compressed cues arrive after the ambiguous noun
v1-051,The rock was ignored until the climber saw it on the cliff,rock,stone,delayed_cue,Cliff cue resolves the stone sense late
v1-052,The rock sounded flat until the drummer came on stage,rock,music,delayed_cue,Drummer and stage cues resolve music after a neutral start
v1-053,They approached the bank in silence and only then counted the cash,bank,financial_institution,delayed_cue,Cash appears late enough to test delayed evidence
v1-054,The bank looked empty from above until the boat,bank,river_edge,delayed_cue,Boat cue resolves river edge late after visual ambiguity
v1-055,The bat seemed too small until the player,bat,sports_equipment,delayed_cue,Player cue arrives late and must override size ambiguity
v1-056,The seal looked plain until the document,seal,closure_stamp,delayed_cue,Document cue resolves closure stamp late
v1-057,The crane was silent for a long time before it lifted steel,crane,machine,delayed_cue,Lifted steel resolves machine late after animal compatible silence
v1-058,The crane was silent for a long time before the bird,crane,bird,delayed_cue,Bird cue resolves animal late after machine compatible silence
v1-059,The spring returned only after the mechanism,spring,coil,delayed_cue,Mechanism resolves coil after abstract opening
v1-060,The rock changed mood when the guitar,rock,music,delayed_cue,Guitar resolves music late after an abstract opening
v1-061,After leaving the river he went to the bank to deposit,bank,financial_institution,conflicting_cue,River cue conflicts with deposit and syntax favors finance
v1-062,After withdrawing cash he walked to the bank beside the stream to rest,bank,river_edge,conflicting_cue,Cash cues finance but beside stream favors river edge
v1-063,The bat had wings painted on it before the player swung,bat,sports_equipment,conflicting_cue,Wings cue animal but player and swung favor equipment
v1-064,The bat was held by the player after it flew from the rafters,bat,animal,conflicting_cue,Player cue conflicts with flew and rafters favor animal
v1-065,The seal near the package barked for fish and,seal,animal,conflicting_cue,Package cue conflicts with fish and animal behavior
v1-066,The seal on the ocean themed document needed wax to,seal,closure_stamp,conflicting_cue,Ocean cue conflicts with document and wax closure evidence
v1-067,The crane near the marsh lifted steel while the operator,crane,machine,conflicting_cue,Marsh cue conflicts with lifted steel and operator
v1-068,The crane at the construction site spread its wings over the lake and,crane,bird,conflicting_cue,Construction site cue conflicts with wings and lake
v1-069,The spring warmed the garden after the metal device,spring,season,conflicting_cue,Metal device cue conflicts with garden and warmed season context
v1-070,The spring in April compressed inside the mechanism and,spring,coil,conflicting_cue,April cue conflicts with compressed mechanism evidence
v1-071,The rock from the mountain was carried onto the stage before,rock,music,conflicting_cue,Mountain cue conflicts with stage performance context
v1-072,The rock song described a heavy stone on the ground and,rock,stone,conflicting_cue,Song cue conflicts with physical stone evidence
v1-073,The teller crossed the river to reach the bank and open,bank,financial_institution,conflicting_cue,River cue conflicts with teller and open branch implication
v1-074,The credit card floated to the bank where the boat,bank,river_edge,conflicting_cue,Credit card cue conflicts with boat and physical edge context
v1-075,The animal expert handed the bat to the player before the game,bat,sports_equipment,conflicting_cue,Animal expert cue conflicts with player and game equipment context
v1-076,The game paused when the bat in the cave opened its wings and,bat,animal,conflicting_cue,Game cue conflicts with cave and wings animal context
v1-077,The official watched the seal splash in the water for fish,seal,animal,conflicting_cue,Official cue weakly suggests stamp but water and fish favor animal
v1-078,The flippers logo sat under the official seal on the package,seal,closure_stamp,conflicting_cue,Flippers cue conflicts with official and package evidence
v1-079,The bird shaped crane at the site moved the steel,crane,machine,conflicting_cue,Bird surface conflicts with site and steel machinery context
v1-080,The operator photographed the crane as the bird crossed the lake,crane,bird,conflicting_cue,Operator cue conflicts with explicit bird and lake evidence
v1-081,The bank was not beside a river so the clerk prepared to,bank,financial_institution,negation,Negated river cue should not trigger river edge
v1-082,The bank was not a place for money as the hikers slid down to,bank,river_edge,negation,Negated money cue should not trigger finance
v1-083,The bat was not an animal because the batter raised it to,bat,sports_equipment,negation,Negated animal cue should not override batter context
v1-084,The bat was not for a game as it tucked its wings and,bat,animal,negation,Negated game cue should not override wings
v1-085,The seal was not an animal when the clerk pressed it onto the form to,seal,closure_stamp,negation,Negated animal cue should not block closure sense
v1-086,The seal was not a stamp as it surfaced beside the pier and,seal,animal,negation,Negated stamp cue should not block animal reading
v1-087,The crane was not a bird because the operator lowered the hook to,crane,machine,negation,Negated bird cue should not override operator context
v1-088,The crane was not at a construction site as it crossed the reeds and,crane,bird,negation,Negated construction cue should not override bird behavior
v1-089,The spring was not warm weather because the latch pushed it back and,spring,coil,negation,Negated weather cue should not override mechanical context
v1-090,The spring was not a metal device after the thaw made the fields,spring,season,negation,Negated metal device cue should not block season
v1-091,The rock was not a stone after the guitarist tuned up and,rock,music,negation,Negated stone cue should not override music evidence
v1-092,The rock was not a song as it scraped his boot and,rock,stone,negation,Negated song cue should not override physical contact
v1-093,The bank was not about credit when the canoe scraped it and,bank,river_edge,negation,Negated credit cue should not override canoe context
v1-094,The bat was not flying when the player set it beside home plate and,bat,sports_equipment,negation,Negated flying cue should not block equipment
v1-095,The seal was not on a document when it dove for fish and,seal,animal,negation,Negated document cue should not block animal behavior
v1-096,The river mural covered the bank lobby as the teller,bank,financial_institution,misleading_surface_cue,River surface cue points wrong while lobby and teller favor finance
v1-097,A cash wrapper floated to the bank where reeds,bank,river_edge,misleading_surface_cue,Cash cue points finance while natural setting favors river edge
v1-098,The cave logo was painted on the bat before the player,bat,sports_equipment,misleading_surface_cue,Cave surface cue points animal while player favors equipment
v1-099,The injured player pointed at the bat above the rafters as it,bat,animal,misleading_surface_cue,Player cue points equipment while rafters and motion favor animal
v1-100,The ocean blue seal on the envelope began to,seal,closure_stamp,misleading_surface_cue,Ocean surface cue points animal while envelope favors closure
v1-101,The package label showed a seal swimming as the animal,seal,animal,misleading_surface_cue,Package cue points closure while swimming and animal favor mammal
v1-102,The marsh exhibit used a crane to lift scenery while the operator,crane,machine,misleading_surface_cue,Marsh cue points bird while operator and lift favor machine
v1-103,The steel sculpture looked like a crane until the bird,crane,bird,misleading_surface_cue,Steel cue points machine while explicit bird resolves animal
v1-104,The flowers painted on the spring inside the device,spring,coil,misleading_surface_cue,Flowers cue points season while device favors coil
v1-105,The metal sign announced spring as rain,spring,season,misleading_surface_cue,Metal cue points coil while rain favors season
v1-106,The mountain venue shook when the rock band,rock,music,misleading_surface_cue,Mountain cue points stone while band favors music
v1-107,After the concert the rock on the ground,rock,stone,misleading_surface_cue,Concert cue points music while ground favors stone
v1-108,The fish emblem sat under the seal on the document,seal,closure_stamp,misleading_surface_cue,Fish cue points animal while document favors closure
v1-109,A credit card lay on the bank beside the stream,bank,river_edge,misleading_surface_cue,Credit card cue points finance while stream favors river edge
v1-110,The wing shaped crane at the site lifted,crane,machine,misleading_surface_cue,Wing surface cue points bird while site and lifted favor machine
v1-111,He went to the bank and,bank,,no_clear_answer,Known term appears without enough context for either sense
v1-112,She noticed the bat and,bat,,no_clear_answer,Known term appears with no reliable animal or equipment evidence
v1-113,They checked the seal before,seal,,no_clear_answer,Known term appears but action fits multiple senses
v1-114,The crane stood nearby while,crane,,no_clear_answer,Known term appears with no decisive bird or machine evidence
v1-115,The spring returned and,spring,,no_clear_answer,Known term appears with no decisive season or coil evidence
v1-116,The teacher opened the notebook and,,,no_known_term,No supported ambiguous term appears
v1-117,The chef placed the bowl near the window and,,,no_known_term,Prompt avoids all supported ambiguous terms
v1-118,The driver waited at the corner before,,,no_known_term,Prompt has no known benchmark term
v1-119,The painter mixed a pale color and,,,no_known_term,Prompt contains no supported ambiguous term
v1-120,The child folded the paper carefully and,,,no_known_term,Prompt has no known ambiguous term and should audit
