id,subject,relation,object,confidence,stability,risk,source_title,pattern_id,safe_for_overlay_delta
rv2:9a2e4b55:8225a702,Economy of the United States,subsidiary_of,Abbott Laboratories,high,semi_stable,medium,Abbott Laboratories,subsidiary_clause,True
rv2:c3328840:a6e64eae,Amazon,subsidiary_of,Amazon,high,semi_stable,medium,Project Kuiper,is_subsidiary_of,True
rv2:49734bd4:5322dc6f,Satellite internet,owned_by,Amazon,medium,semi_stable,medium,Amazon Web Services,acquired_by,True
rv2:1de3ee64:4f7af461,Oracle Corporation,subsidiary_of,Delta Information Systems,high,semi_stable,medium,Ampex Corporation,subsidiary_clause,True
rv2:1de3ee64:f3bf8c15,LVMH,subsidiary_of,Oracle Corporation,high,semi_stable,medium,Ampex Corporation,subsidiary_clause,True
rv2:1de3ee64:ba8a1a70,Subsidiary,headquartered_in,Silicon Valley,medium,semi_stable,low,Ampex Corporation,headquartered_in_city,True
rv2:11550916:c1e9922d,Autopilot,developed_by,Oracle Corporation,high,semi_stable,medium,Control Wheel Steering,developed_by_passive,True
rv2:07910642:1b0f0c6e,Sleepycat Software,owned_by,Oracle Corporation,medium,semi_stable,medium,Berkeley DB,acquired_by,True
rv2:07910642:eb23ea2b,This company,owned_by,Oracle Corporation,medium,semi_stable,medium,Berkeley DB,acquired_by,True
rv2:23fa4c8b:c32cf2e9,Jeff Bezos,is_a,American investment firm,high,stable,low,Bezos Expeditions,is_a_type,True
rv2:a35e5898:be1b25cf,Meta Meta Platforms owns,operates,Social media,medium,semi_stable,medium,Big Tech,operates_active,True
rv2:5f2b497b:5821616c,Bloomberg News,is_a,Bloomberg News,high,stable,low,Bloomberg UK,is_a_type,True
rv2:5f2b497b:4769718a,Bloomberg News,founded_by,Michael Bloomberg,high,semi_stable,medium,Bloomberg UK,founded_by_passive,True
rv2:a2f9a676:04745bed,Blue Origin,owned_by,Blue Origin,high,semi_stable,medium,Blue Origin NS-16,is_operated_by,True
