row_id,term,baseline_decision,overlay_decision,change_type,is_newly_audited,overlay_influenced,primary_audit_reason,blocker_type,required_input,expected_effect,curriculum_task_id,why_overlay_insufficient,targetable
v1-030,seal,audit,audit,unchanged_audit,no,no,surface_validation_failed,prompt_tail_blocked,prompt_tail_rule,may_unlock_continue,task-v1-030-prompt_tail_blocked-cb4685905d,,yes
v1-041,bank,audit,audit,unchanged_audit,no,no,surface_validation_failed,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-041-missing_phrase_candidate-c8bdd38beb,,yes
v1-044,bat,audit,continue,audit_to_continue,no,yes,missing_or_weak_cue_support,resolved_by_overlay,,unlocked_continue,,,no
v1-045,seal,audit,audit,unchanged_audit,no,no,surface_validation_failed,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,,,yes
v1-047,crane,audit,audit,unchanged_audit,no,no,surface_validation_failed,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-047-missing_phrase_candidate-032996d444,,yes
v1-051,rock,audit,audit,unchanged_audit,no,no,no_safe_repaired_candidate,no_safe_rewrite,no_action_safe_audit,should_remain_audit,task-v1-051-no_safe_rewrite-bd15f7ff38,,no
v1-053,bank,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-055,bat,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-056,seal,audit,audit,unchanged_audit,no,no,surface_validation_failed,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,,,yes
v1-057,crane,audit,audit,unchanged_audit,no,no,surface_validation_failed,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-057-missing_phrase_candidate-e34d360a26,,yes
v1-061,bank,audit,audit,unchanged_audit,no,no,sense_tie,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-061-missing_phrase_candidate-20cb5cbeb1,,yes
v1-062,bank,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-064,bat,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-065,seal,audit,audit,unchanged_audit,no,no,sense_tie,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-066,seal,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-068,crane,audit,audit,unchanged_audit,no,yes,sense_tie,missing_positive_cue,positive_cue,may_unlock_continue,,conflict_persists_at_min_margin,yes
v1-069,spring,audit,audit,unchanged_audit,no,no,sense_tie,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-069-missing_phrase_candidate-9b67c49470,,yes
v1-070,spring,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-071,rock,audit,audit,unchanged_audit,no,no,sense_tie,prompt_tail_blocked,prompt_tail_rule,may_unlock_continue,task-v1-071-prompt_tail_blocked-7431393b75,,yes
v1-073,bank,audit,audit,unchanged_audit,no,no,sense_tie,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-073-missing_phrase_candidate-7d5314922e,,yes
v1-074,bank,audit,audit,unchanged_audit,no,no,low_margin,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-074-missing_phrase_candidate-ddea233863,,yes
v1-075,bat,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-076,bat,audit,audit,unchanged_audit,no,no,low_margin,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-076-missing_phrase_candidate-fc71d06688,,yes
v1-078,seal,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-079,crane,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-080,crane,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-081,bank,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-081-true_unsafe-1f68e54792,,no
v1-082,bank,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-082-true_unsafe-0fdd26d9db,,no
v1-083,bat,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-083-true_unsafe-7ab8d41f12,,no
v1-085,seal,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-085-true_unsafe-37f121a4f4,,no
v1-086,seal,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-086-true_unsafe-5a3ca2e5ac,,no
v1-088,crane,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-088-true_unsafe-1ac2f9deff,,no
v1-089,spring,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-089-true_unsafe-d7af7aa171,,no
v1-090,spring,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-090-true_unsafe-1b03fe28d3,,no
v1-091,rock,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-091-true_unsafe-e44f0505d1,,no
v1-092,rock,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-092-true_unsafe-12a33933ce,,no
v1-093,bank,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-093-true_unsafe-cb2d0e4283,,no
v1-094,bat,audit,audit,unchanged_audit,no,no,true_unsafe,true_unsafe_keep_audit,keep_audit_policy,should_remain_audit,task-v1-094-true_unsafe-644e20fedf,,no
v1-096,bank,audit,audit,unchanged_audit,no,no,low_margin,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-097,bank,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-097-missing_phrase_candidate-cc1c6d2cf0,,yes
v1-098,bat,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-099,bat,audit,audit,unchanged_audit,no,no,missing_or_weak_cue_support,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-099-missing_phrase_candidate-7fbdcae6ef,,yes
v1-100,seal,audit,audit,unchanged_audit,no,no,sense_tie,missing_positive_cue,positive_cue,may_unlock_continue,,,yes
v1-101,seal,audit,audit,unchanged_audit,no,no,sense_tie,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,task-v1-101-missing_phrase_candidate-b7c94e2bc7,,yes
