id,prompt,ambiguous_term,expected_sense,difficulty_type,notes,model,completion,full_text,judged_text,judged_sense,label,audit_notes
v1-001,The customer reached the bank teller with cash to,bank,financial_institution,cue_rich,Direct teller and cash cues target the financial sense,nanogpt:gpt2,make a deposit to pay for the car after he had left the store. The customer contacted the bank,The customer reached the bank teller with cash to make a deposit to pay for the car after he had left the store. The customer contacted the bank,make a deposit to pay for the car after he had left the store.,,,
v1-002,At the bank she opened an account and asked about credit to,bank,financial_institution,cue_rich,Multiple financial cues make this an easy control row,nanogpt:gpt2,"a friend's computer, and when he turned around she went to her boyfriend's house with him and","At the bank she opened an account and asked about credit to a friend's computer, and when he turned around she went to her boyfriend's house with him and","a friend's computer, and when he turned around she went to her boyfriend's house with him and",,,
v1-003,The fisherman sat on the muddy bank by the river to,bank,river_edge,cue_rich,Direct fisherman mud and river cues target the river edge,nanogpt:gpt2,"catch the fish.

""We had no idea what was on the boat,"" said K.","The fisherman sat on the muddy bank by the river to catch the fish.

""We had no idea what was on the boat,"" said K.",catch the fish.,,,
v1-004,The boat drifted toward the bank as the current,bank,river_edge,cue_rich,Boat and current cues make the river edge explicit,nanogpt:gpt2,"was low. I glanced up at him, then down at the boat. His eyes are dark and","The boat drifted toward the bank as the current was low. I glanced up at him, then down at the boat. His eyes are dark and",was low.,,,
v1-005,The bat flew from the cave at night with its wings,bat,animal,cue_rich,Direct animal behavior cues target the mammal,nanogpt:gpt2,"flapping and its tail flapping.

In the morning, when the bat would go out","The bat flew from the cave at night with its wings flapping and its tail flapping.

In the morning, when the bat would go out",flapping and its tail flapping.,,,
v1-006,The tiny bat hung in the cave after night,bat,animal,cue_rich,Cave night and hanging cues are strongly animal aligned,nanogpt:gpt2,"fall. After the dark, the man told his story, then went to sleep.

The","The tiny bat hung in the cave after nightfall. After the dark, the man told his story, then went to sleep.

The","fall. After the dark, the man told his story, then went to sleep.",,,
v1-007,The baseball player lifted the bat before the swing,bat,sports_equipment,cue_rich,Baseball player and swing cues target sports equipment,nanogpt:gpt2,", then turned it into a pitch and the ball turned to a ball and had to be hit before","The baseball player lifted the bat before the swing, then turned it into a pitch and the ball turned to a ball and had to be hit before",", then turned it into a pitch and the ball turned to a ball and had to be hit before",,,
v1-008,The bat cracked when he hit it during the game,bat,sports_equipment,cue_rich,Hit cracked and game cues make sports equipment explicit,nanogpt:gpt2,". There was little contact, but it was hard to tell. The only thing that was clear was","The bat cracked when he hit it during the game. There was little contact, but it was hard to tell. The only thing that was clear was",.,,,
v1-009,The seal swam through ocean water chasing fish to,seal,animal,cue_rich,Ocean water and fish cues target the animal,nanogpt:gpt2,"get to shore.

A photo posted by Nick Rennie (@nickrennie)","The seal swam through ocean water chasing fish to get to shore.

A photo posted by Nick Rennie (@nickrennie)",get to shore.,,,
v1-010,At the zoo the seal waved its flippers above the water,seal,animal,cue_rich,Zoo flippers and water cues make the animal sense clear,nanogpt:gpt2,", showing a happy smile upon being able to see it.

The seal's owner, S","At the zoo the seal waved its flippers above the water, showing a happy smile upon being able to see it.

The seal's owner, S",", showing a happy smile upon being able to see it.",,,
v1-011,She pressed the wax seal onto the envelope to,seal,closure_stamp,cue_rich,Wax and envelope cues target the closure stamp,nanogpt:gpt2,"seal the return envelope. This made it impossible for me to get the envelope out.

He","She pressed the wax seal onto the envelope to seal the return envelope. This made it impossible for me to get the envelope out.

He",seal the return envelope. This made it impossible for me to get the envelope out.,,,
v1-012,The official seal on the document matched the stamp,seal,closure_stamp,cue_rich,Official document and stamp cues make the closure sense clear,nanogpt:gpt2,found on the same coin as the original. But when the seal was found in a separate area of,The official seal on the document matched the stamp found on the same coin as the original. But when the seal was found in a separate area of,found on the same coin as the original.,,,
v1-013,The crane spread its wings above the marsh and,crane,bird,cue_rich,Wings and marsh cues target the bird,nanogpt:gpt2,over the lake. It was an immense success in the field of battle. The soldiers of the Imperial,The crane spread its wings above the marsh and over the lake. It was an immense success in the field of battle. The soldiers of the Imperial,over the lake.,,,
v1-014,The bird expert watched the crane build a nest near the lake,crane,bird,cue_rich,Bird nest and lake cues make the animal sense explicit,nanogpt:gpt2,"side. He then took a closer look at the other nest, which was filled with white-tailed","The bird expert watched the crane build a nest near the lake side. He then took a closer look at the other nest, which was filled with white-tailed",side.,,,
v1-015,The operator used the crane at the construction site to,crane,machine,cue_rich,Operator construction and site cues target the machine,nanogpt:gpt2,"lift the vehicle into the building.

Sara Kudri, the director of the Central","The operator used the crane at the construction site to lift the vehicle into the building.

Sara Kudri, the director of the Central",lift the vehicle into the building.,,,
v1-016,The crane lifted the steel beam above the building,crane,machine,cue_rich,Lifted steel and building cues make machinery explicit,nanogpt:gpt2,"'s roof and the crane's pilot began to climb down.

The pilot, who declined to","The crane lifted the steel beam above the building's roof and the crane's pilot began to climb down.

The pilot, who declined to",'s roof and the crane's pilot began to climb down.,,,
v1-017,In April the spring rain warmed the garden and,spring,season,cue_rich,April rain warm and garden cues target the season,nanogpt:gpt2,began to recede. In the summer the grass grew darker and darker. At the first sign of,In April the spring rain warmed the garden and began to recede. In the summer the grass grew darker and darker. At the first sign of,began to recede.,,,
v1-018,The metal spring compressed inside the mechanism and,spring,coil,cue_rich,Metal compressed and mechanism cues target the coil,nanogpt:gpt2,"gave rise to an automatic release. Since it was not a ""pistol"" or a ""","The metal spring compressed inside the mechanism and gave rise to an automatic release. Since it was not a ""pistol"" or a """,gave rise to an automatic release.,,,
v1-019,The heavy rock rolled from the mountain to the ground,rock,stone,cue_rich,Heavy mountain and ground cues target stone,nanogpt:gpt2,"and was carried back by a wave of wind, which came down from the mountain to a distance of","The heavy rock rolled from the mountain to the ground and was carried back by a wave of wind, which came down from the mountain to a distance of","and was carried back by a wave of wind, which came down from the mountain to a distance of",,,
v1-020,The rock band carried guitars onto the concert stage and,rock,music,cue_rich,Band guitar concert and stage cues target music,nanogpt:gpt2,"performed a song about the end of time, before the lights went out.

Troy Taylor","The rock band carried guitars onto the concert stage and performed a song about the end of time, before the lights went out.

Troy Taylor","performed a song about the end of time, before the lights went out.",,,
v1-021,The client waited at the bank counter to,bank,financial_institution,weak_cue,Counter and client imply finance without built in cue words,nanogpt:gpt2,"get a hold of the money. When he refused to pay in full, his son, who had","The client waited at the bank counter to get a hold of the money. When he refused to pay in full, his son, who had",get a hold of the money.,,,
v1-022,Near closing time the bank manager motioned for,bank,financial_institution,weak_cue,Manager and closing time imply a branch but weakly,nanogpt:gpt2,the staff to keep an eye on the room and said she had no idea what it was or what,Near closing time the bank manager motioned for the staff to keep an eye on the room and said she had no idea what it was or what,the staff to keep an eye on the room and said she had no idea what it was or what,,,
v1-023,The children climbed down the bank below the bridge to,bank,river_edge,weak_cue,Downward slope and bridge imply a river edge without direct cues,nanogpt:gpt2,"find the men were still there, but the men fled. He was afraid that they might have been","The children climbed down the bank below the bridge to find the men were still there, but the men fled. He was afraid that they might have been","find the men were still there, but the men fled.",,,
v1-024,A narrow path crossed the bank below the reeds and,bank,river_edge,weak_cue,Reeds and path imply a natural bank but not through known cues,nanogpt:gpt2,"into the green, the two trees peeping a little bit out of the trees. ""I don","A narrow path crossed the bank below the reeds and into the green, the two trees peeping a little bit out of the trees. ""I don","into the green, the two trees peeping a little bit out of the trees.",,,
v1-025,The ranger dimmed the attic light so the bat could,bat,animal,weak_cue,Attic and ranger imply a live animal without explicit cue hits,nanogpt:gpt2,"see. When the bat realized he was in his own room, he turned the light off.
","The ranger dimmed the attic light so the bat could see. When the bat realized he was in his own room, he turned the light off.
",see.,,,
v1-026,At dusk the tiny bat stirred under the eaves and,bat,animal,weak_cue,Dusk and eaves imply the animal but avoid supported cues,nanogpt:gpt2,"hissing to a song that would go on to be called ""The Time of the Dawn"".
","At dusk the tiny bat stirred under the eaves and hissing to a song that would go on to be called ""The Time of the Dawn"".
","hissing to a song that would go on to be called ""The Time of the Dawn"".",,,
v1-027,The batter tapped the bat on the plate before,bat,sports_equipment,weak_cue,Batter and plate imply baseball but are unsupported cues,nanogpt:gpt2,"letting it drop off. In a game that seemed to be on the brink of a championship, we","The batter tapped the bat on the plate before letting it drop off. In a game that seemed to be on the brink of a championship, we",letting it drop off.,,,
v1-028,In the dugout he chose the lighter bat and,bat,sports_equipment,weak_cue,Dugout and lighter object imply equipment without direct cues,nanogpt:gpt2,"placed his hand on the pitcher's chest. Then he said:

And the catcher said,","In the dugout he chose the lighter bat and placed his hand on the pitcher's chest. Then he said:

And the catcher said,",placed his hand on the pitcher's chest. Then he said:,,,
v1-029,The trainer tossed a treat and the seal slid,seal,animal,weak_cue,Trainer and treat imply a performing animal without direct cues,nanogpt:gpt2,"off the cage.

""Don't get in trouble with this,"" he said.

","The trainer tossed a treat and the seal slid off the cage.

""Don't get in trouble with this,"" he said.

",off the cage.,,,
v1-030,On the pier the seal raised its head while tourists,seal,animal,weak_cue,Pier and tourists imply the marine animal indirectly,nanogpt:gpt2,"watched.

The group's leader, a former Italian police officer, said at the time that","On the pier the seal raised its head while tourists watched.

The group's leader, a former Italian police officer, said at the time that",watched.,,,
v1-031,The clerk warmed the seal before closing the parcel and,seal,closure_stamp,weak_cue,Clerk and parcel imply closure without built in cues,nanogpt:gpt2,"opening the door. The clerk went towards him and whispered a few words.

""This is","The clerk warmed the seal before closing the parcel and opening the door. The clerk went towards him and whispered a few words.

""This is",opening the door. The clerk went towards him and whispered a few words.,,,
v1-032,She broke the seal at the flap and,seal,closure_stamp,weak_cue,Flap and breaking imply a closure but not a direct cue,nanogpt:gpt2,"was then charged with obstructing or obstructing justice.

In his sentencing, Davis said he","She broke the seal at the flap and was then charged with obstructing or obstructing justice.

In his sentencing, Davis said he",was then charged with obstructing or obstructing justice.,,,
v1-033,At dawn the crane stepped through reeds and,crane,bird,weak_cue,Dawn reeds and stepping imply bird behavior weakly,nanogpt:gpt2,"the trees were uprooted. The next morning the crane was destroyed, and the crane was burned to","At dawn the crane stepped through reeds and the trees were uprooted. The next morning the crane was destroyed, and the crane was burned to",the trees were uprooted.,,,
v1-034,The photographer waited as the crane bent its long neck to,crane,bird,weak_cue,Long neck and photographer imply a bird without direct cues,nanogpt:gpt2,"try and get the crane down before the crane came down.

""I was standing on the","The photographer waited as the crane bent its long neck to try and get the crane down before the crane came down.

""I was standing on the",try and get the crane down before the crane came down.,,,
v1-035,The foreman signaled and the crane turned toward,crane,machine,weak_cue,Foreman and signaling imply machinery but avoid supported cues,nanogpt:gpt2,"the door. It was his turn to step out, but he quickly made his way back into the","The foreman signaled and the crane turned toward the door. It was his turn to step out, but he quickly made his way back into the",the door.,,,
v1-036,The crew waited below the crane as the hook,crane,machine,weak_cue,Crew and hook imply machinery without explicit cue words,nanogpt:gpt2,"to the back of the ship became loose and the crane broke loose, sending another crane into action.","The crew waited below the crane as the hook to the back of the ship became loose and the crane broke loose, sending another crane into action.","to the back of the ship became loose and the crane broke loose, sending another crane into action.",,,
v1-037,After the thaw the spring mornings made everyone,spring,season,weak_cue,Thaw and mornings imply the season without cue rich wording,nanogpt:gpt2,"happy. The old woman, a nice woman of sixteen and a half, was sitting next to me","After the thaw the spring mornings made everyone happy. The old woman, a nice woman of sixteen and a half, was sitting next to me",happy.,,,
v1-038,The latch clicked when the spring inside the handle,spring,coil,weak_cue,Latch and handle imply a mechanical coil indirectly,nanogpt:gpt2,"was pulled up, making it easier for the blade to open.

The handle had just been","The latch clicked when the spring inside the handle was pulled up, making it easier for the blade to open.

The handle had just been","was pulled up, making it easier for the blade to open.",,,
