name,quality_score,adjusted_quality_score,quality_reasons,duplicate,source,manual_label,notes
terreneva,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,False,baseline,good,"звучит как имя/ник, читается нормально"
ett,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,bad,"обрубок, слишком коротко"
thur,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"странное, но может быть ником/коротким именем"
oma,1.0,1.0,looks like a plausible name|reasonable_length,False,baseline,unclear,"коротко, возможно имя, но слабый кандидат"
kilad,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"странное, но имяобразное"
airel,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,реально звучит как имя
eimania,1.0,1.0,looks like a plausible name|reasonable_length,False,baseline,unclear,"странное, но возможно имя"
kahma,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"возможно имя, но звучит тяжеловато"
recilah,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,"имяобразное, читается нормально"
rond,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"коротко и грубовато, но возможно ник/фамилия"
haf,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,bad,"обрубок, плохая читаемость"
azalissi,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,звучит как имя
zylana,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,звучит как имя
zyoniel,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,звучит как имя/ник
taalis,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,имяобразное
makarii,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,похоже на имя
aleezariyad,0.92,0.92,doubled_vowel|reasonable_length|balanced_vowels,False,baseline,unclear,"длинновато и склеенно, но возможно имя"
donathannon,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,странная длинная склейка
miann,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,"короткое, но имяобразное"
feliza,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,реально звучит как имя
fradi,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"возможно имя/ник, но слабовато"
trayviolaj,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,bad,"плохая склейка, плохая читаемость"
seraulore,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"склеенно, но имяобразно"
vahee,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"странная орфография, возможно имя"
sulani,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,звучит как имя
addalin,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,False,baseline,good,имяобразное
hestin,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,False,baseline,good,звучит как имя/фамилия
laycen,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,good,похоже на современное имя
sto,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,bad,обрубок/обычное начало слова
edad,1.0,1.0,looks like a plausible name|reasonable_length|balanced_vowels,False,baseline,unclear,"похоже на слово/короткую форму, спорно"
