fact_index,classification,primary_reason,fact_kind,subject,predicate,object,source_page,risk,stability,qa_covered,qa_current,duplicate_of_text
2,promotion_candidate,stable_trustworthy_predicate,relation,Jeff Bezos,founded,Amazon,Jeff Bezos,medium,semi_stable,True,True,
3,promotion_candidate,stable_trustworthy_predicate,relation,Bloomberg News,founded_by,Michael Bloomberg,Bloomberg News,medium,semi_stable,True,True,
6,promotion_candidate,stable_complete_definition,definition,Abe Fortas,is_a,"youngest of five children born to Orthodox Jewish immigrants Woolfe Fortas (Yiddish: וואָלף פאָרטאַס) and Rachel ""Ray"" Berzansky Fortas (Yiddish: רחל בערזשאנסקי פארטאס) in Memphis",Abe Fortas,low,stable,True,True,
7,promotion_candidate,stable_complete_definition,definition,HMS Amazon,is_a,26-gun frigate,HMS Amazon,low,stable,True,True,
8,promotion_candidate,stable_trustworthy_predicate,relation,International Energy Agency,publishes,annual World Energy Outlook,International Energy Agency,medium,semi_stable,True,True,
9,promotion_candidate,stable_complete_definition,definition,June,is_a,sixth month of the year in the Julian and Gregorian calendars—the latter the most widely used calendar in the world,June,low,stable,True,True,
13,promotion_candidate,stable_complete_definition,definition,Rocket Science Games,is_a,independent game studio,Rocket Science Games,low,stable,True,True,
16,promotion_candidate,stable_complete_definition,definition,Affordable Connectivity Program,is_a,United States government-sponsored program,Affordable Connectivity Program,low,stable,True,True,
17,promotion_candidate,stable_complete_definition,definition,Air command,is_a,term used to refer to the command structure of some air forces,Air Command,low,stable,True,True,
19,promotion_candidate,stable_complete_definition,definition,Alpha Magnetic Spectrometer,is_a,particle physics experiment module,Alpha Magnetic Spectrometer,low,stable,True,True,
20,promotion_candidate,stable_complete_definition,definition,Amalgam Comics,is_a,collaborative publishing imprint shared by DC Comics,Amalgam Comics,low,stable,True,True,
21,promotion_candidate,stable_complete_definition,definition,Amazon Bookstore Cooperative,is_a,feminist bookstore,Amazon Bookstore Cooperative,low,stable,True,True,
22,promotion_candidate,stable_complete_definition,definition,Amazon Delta,is_a,vast river delta formed by the Amazon River,Amazon Delta,low,stable,True,True,
23,promotion_candidate,stable_complete_definition,definition,Amazon basin,is_a,part of South America drained by the Amazon River,Amazon Basin,low,stable,True,True,
24,promotion_candidate,stable_complete_definition,definition,Amazonian Guard,is_a,unofficial name given to an all-female elite cadre of bodyguards officially,Amazonian Guard,low,stable,True,True,
25,promotion_candidate,stable_complete_definition,definition,Amdahl Corporation,is_a,information technology company,Amdahl Corporation,low,stable,True,True,
27,promotion_candidate,stable_complete_definition,definition,Analytics,is_a,systematic computational analysis of data,analytics,low,stable,True,True,
29,promotion_candidate,stable_complete_definition,definition,Apple II,is_a,series of microcomputers,Apple II,low,stable,True,True,
30,promotion_candidate,stable_complete_definition,definition,April,is_a,fourth month of the year in the Gregorian,April,low,stable,True,True,
33,promotion_candidate,stable_complete_definition,definition,Armadillo Aerospace,is_a,aerospace startup company,Armadillo Aerospace,low,stable,True,True,
34,promotion_candidate,stable_complete_definition,definition,Artemis Accords,is_a,non-binding set of principles for outer space exploration,Artemis Accords,low,stable,True,True,
35,promotion_candidate,stable_complete_definition,definition,Artemis III,is_a,upcoming crewed spaceflight mission of the NASA-led Artemis program,Artemis III,low,stable,True,True,
39,promotion_candidate,stable_complete_definition,definition,Atlas II,is_a,member of the Atlas family of launch vehicles,Atlas II,low,stable,True,True,
40,promotion_candidate,stable_complete_definition,definition,Audi Q8,is_a,mid-size luxury crossover SUV made by Audi,Audi Q8,low,stable,True,True,
41,promotion_candidate,stable_complete_definition,definition,August,is_a,eighth month of the year in the Julian,August,low,stable,True,True,
44,promotion_candidate,stable_complete_definition,definition,Bangladesh Satellite-1,is_a,first Bangladeshi geostationary communications,Bangladesh Satellite-1,low,stable,True,True,
45,promotion_candidate,stable_complete_definition,definition,Bankers Trust,is_a,historic American banking organization,Bankers Trust,low,stable,True,True,
48,promotion_candidate,stable_trustworthy_predicate,relation,National Indemnity,founded_by,Jack Dabney Ringwalt,Berkshire Hathaway,medium,semi_stable,True,True,
49,promotion_candidate,stable_trustworthy_predicate,relation,Bigelow Aerospace,founded_by,Robert Bigelow,Bigelow Aerospace,medium,semi_stable,True,True,
51,promotion_candidate,stable_complete_definition,definition,Bloomberg Government,is_a,division of Bloomberg Industry Group,Bloomberg Government,low,stable,True,True,
54,promotion_candidate,stable_complete_definition,definition,Bloomberg Law,is_a,subscription-based service,Bloomberg Law,low,stable,True,True,
