source,relation_type,target,baseline_confidence,learned_confidence,delta,evidence,reason,manual_label,notes
envelope,made_of,trees,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,envelope --made_of--> trees: indirect raw-material claim through paper; useful enough.
envelope,made_of,wood,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,envelope --made_of--> wood: indirect raw-material claim through paper; useful enough.
index_card,made_of,trees,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,index_card --made_of--> trees: indirect raw-material claim through paper; useful enough.
index_card,made_of,wood,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,index_card --made_of--> wood: indirect raw-material claim through paper; useful enough.
letter,made_of,trees,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,letter --made_of--> trees: indirect raw-material claim through paper; useful enough.
letter,made_of,wood,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,letter --made_of--> wood: indirect raw-material claim through paper; useful enough.
money,made_of,trees,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,money --made_of--> trees: paper money can derive from trees; not universal but useful.
money,made_of,wood,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,money --made_of--> wood: paper money can derive from wood/paper; not universal but useful.
pages_of_book,made_of,trees,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,pages_of_book --made_of--> trees: indirect raw-material claim through paper; useful.
pages_of_book,made_of,wood,0.552279,0.397448,-0.154831,paper,"transitive pattern: made_of -> made_of (count=159, via=paper, degree=10, hub_penalty=1.00, trust=0.862, drift=raw_material, drift_penalty=0.85)",should_keep,pages_of_book --made_of--> wood: indirect raw-material claim through paper; useful.
