name;manual_label;notes
majanis;good;звучит как возможное имя
jahd;unclear;слишком жёсткий обрывок, слабая читаемость
chelis;good;похоже на имя/никнейм
romaura;good;звучит как имя
sireaudriel;Bad;слишком склеенное и длинное
dalle;good;короткое, но имяобразное
cayleel;good;похоже на современное имя
hylenni;good;похоже на имя
aleesiah;good;похоже на вариант имени
teigh;unclear;слишком странная орфография
adish;good;реалистично
hyker;unclear;похоже на слово hiker
ameyenianna;Bad;слишком длинная склейка
laveri;good;имяобразно
ebuno;unclear;сомнительно, слабая форма имени
katiancesi;Bad;слишком склеенное
kielyn;good;реалистично
kaiia;good;реалистично
carius;good;имяобразно
dekathero;unclear;похоже на fantasy/склейку
amelley;good;похоже на имя
inn;unclear;обычное слово, слишком коротко
celianan;unclear;кривоватая форма
azriya;good;реалистично
kamaryana;good;длинновато, но имяобразно
yveon;good;похоже на имя
yino;good;простое имяобразное
levaughn;good;реалистично
jeru;good;короткое, но годится
nalicelahuva;Bad;слишком длинное и перегруженное
driq;unclear;слишком обрывочно
brinyi;good;имяобразно
renta;unclear;похоже на слово, не имя
jacquese;good;похоже на вариант Jacques/Jacquez
alvini;good;реалистично
davonnalus;Bad;слишком искусственная склейка
saquinton;good;похоже на имя
avreya;good;реалистично
syen;good;короткое, но имяобразное
yaze;good;короткое, но годится
jid;unclear;слишком короткий обрывок
tine;unclear;похоже на фрагмент имени
harianna;good;реалистично
jaiceretta;Bad;перегруженная склейка
alelain;good;имяобразно
kharnia;good;звучит как имя
aini;good;реалистично
jemilan;good;имяобразно
osborun;good;похоже на фамильное/именное образование
donney;good;реалистично
wyliemarlie;Bad;слишком склеенное
mille;good;похоже на имя/уменьшительную форму
des;unclear;слишком короткий фрагмент
jenceson;good;похоже на имя/фамилию
pearrowdy;Bad;шумная склейка
laja;good;короткое, но имяобразное
flore;good;реалистично
lami;good;имяобразно
mamareina;Bad;похоже на фразу/склейку
sabarumine;Bad;длинно и неестественно
wad;unclear;обычное слово/обрывок
meeraldyn;good;фэнтези-имя, но читается
jamess;unclear;похоже на опечатку James
yitzalylie;Bad;перегруженная склейка
jibrian;good;похоже на имя
jenara;good;реалистично
watos;unclear;сомнительная форма
mas;unclear;слишком коротко, похоже на слово
dakarolamiya;Bad;слишком длинная склейка
afid;good;имяобразно
kaylianaria;Bad;перегружено
cayln;good;похоже на вариант Cailin/Kaylin
kazariq;good;имяобразно
lious;unclear;похоже на ошибку Louis
magdalle;good;похоже на имя
niklynn;good;реалистично
ven;good;короткое имяобразное
traceon;good;похоже на современное имя
aamalayreon;Bad;перегружено, doubled vowel
dashlynn;good;реалистично
kalenna;good;реалистично
ewella;good;имяобразно
cassiaan;good;похоже на Cassian/Cassiaan
keeyaa;good;стилизованно, но имяобразно
shim;unclear;скорее фамилия/слово, слабое имя
thordhavir;Bad;слишком fantasy-heavy
karleiah;good;реалистично
dianni;good;похоже на имя
kevone;good;реалистично
ston;unclear;похоже на обрывок stone
nne;Bad;слишком короткий шум
antzin;good;имяобразно
monis;good;похоже на имя/фамилию
reidence;unclear;похоже на опечатку residence
keziya;good;реалистично
khoanetani;Bad;длинно и склеенно
meronielda;good;длинно, но имяобразно
lochukroyann;Bad;слишком склеенное
shni;unclear;плохая читаемость
ayassius;good;похоже на латинизированное имя
