source,relation_type,target,confidence,reason,evidence,manual_label,notes
adenozine,made_of,subatomic_particles,0.769681,"transitive pattern: made_of -> made_of (count=219, via=hydrogen, degree=2, hub_penalty=1.00)",hydrogen,correct,
blood,made_of,iron,0.769681,"transitive pattern: made_of -> made_of (count=219, via=haemoglobin, degree=2, hub_penalty=1.00)",haemoglobin,correct,
bowl,made_of,clay,0.769681,"transitive pattern: made_of -> made_of (count=219, via=ceramic, degree=4, hub_penalty=1.00)",ceramic,correct,
butter,made_of,minerals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=milk, degree=4, hub_penalty=1.00)",milk,correct,
cheese,made_of,minerals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=milk, degree=4, hub_penalty=1.00)",milk,correct,
community,made_of,ideals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=political_ideology, degree=4, hub_penalty=1.00)",political_ideology,correct,
community,made_of,political_ideals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=political_ideology, degree=4, hub_penalty=1.00)",political_ideology,correct,
cotton_candy,made_of,minerals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=sugar, degree=4, hub_penalty=1.00)",sugar,correct,
dairy_product,made_of,minerals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=milk, degree=4, hub_penalty=1.00)",milk,correct,
dna,made_of,hydrogen,0.769681,"transitive pattern: made_of -> made_of (count=219, via=adenozine, degree=3, hub_penalty=1.00)",adenozine,plusable,
dna,made_of,oxygen,0.769681,"transitive pattern: made_of -> made_of (count=219, via=adenozine, degree=3, hub_penalty=1.00)",adenozine,plusable,
dog,made_of,keratin,0.769681,"transitive pattern: made_of -> made_of (count=219, via=hair, degree=3, hub_penalty=1.00)",hair,plusable,
everything,made_of,elements,0.769681,"transitive pattern: made_of -> made_of (count=219, via=matter, degree=4, hub_penalty=1.00)",matter,plusable,
everything,made_of,particles,0.769681,"transitive pattern: made_of -> made_of (count=219, via=matter, degree=4, hub_penalty=1.00)",matter,plusable,
glass,made_of,little_pieces_of_seashells,0.769681,"transitive pattern: made_of -> made_of (count=219, via=sand, degree=2, hub_penalty=1.00)",sand,wrong,
government,made_of,ideals,0.769681,"transitive pattern: made_of -> made_of (count=219, via=political_ideology, degree=4, hub_penalty=1.00)",political_ideology,plusable,
