row_id,question,expected_decision,expected_intent,detected_intent,detected_subject,decision,answer,audit_reason,confidence,overlay_items_used,source_facts_used,weak_context_links_used,is_correct,quality_flagged,quality_reason
eqa-exp-v1-001,Who is Elon Musk?,answer,define_entity,define_entity,Elon Musk,answer,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",,0.95,overlay_entity:Elon Musk;overlay_definition:Elon Musk;overlay_relation:leader_of:Tesla;overlay_relation:leader_of:SpaceX;overlay_relation:known_for:Tesla;overlay_relation:known_for:SpaceX;overlay_relation:founded:SpaceX;overlay_relation:founded:Neuralink;overlay_relation:founded:The Boring Company;overlay_relation:founded:xAI,,,True,False,
eqa-exp-v1-002,Tell me who Elon Musk is.,answer,define_entity,define_entity,Elon Musk,answer,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",,0.95,overlay_entity:Elon Musk;overlay_definition:Elon Musk;overlay_relation:leader_of:Tesla;overlay_relation:leader_of:SpaceX;overlay_relation:known_for:Tesla;overlay_relation:known_for:SpaceX;overlay_relation:founded:SpaceX;overlay_relation:founded:Neuralink;overlay_relation:founded:The Boring Company;overlay_relation:founded:xAI,,,True,False,
eqa-exp-v1-003,What kind of entity is Elon Musk?,answer,define_entity,define_entity,Elon Musk,answer,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",,0.95,overlay_entity:Elon Musk;overlay_definition:Elon Musk;overlay_relation:leader_of:Tesla;overlay_relation:leader_of:SpaceX;overlay_relation:known_for:Tesla;overlay_relation:known_for:SpaceX;overlay_relation:founded:SpaceX;overlay_relation:founded:Neuralink;overlay_relation:founded:The Boring Company;overlay_relation:founded:xAI,,,True,False,
eqa-exp-v1-004,What kind of person is Elon Musk?,answer,define_entity,define_entity,Elon Musk,answer,"Elon Musk is a businessman. In the overlay, Elon Musk is linked to Tesla and SpaceX through leadership, known for Tesla and SpaceX, and listed as the founder of SpaceX, Neuralink, The Boring Company, and xAI.",,0.95,overlay_entity:Elon Musk;overlay_definition:Elon Musk;overlay_relation:leader_of:Tesla;overlay_relation:leader_of:SpaceX;overlay_relation:known_for:Tesla;overlay_relation:known_for:SpaceX;overlay_relation:founded:SpaceX;overlay_relation:founded:Neuralink;overlay_relation:founded:The Boring Company;overlay_relation:founded:xAI,,,True,False,
eqa-exp-v1-005,What is Tesla?,answer,define_entity,define_entity,Tesla,answer,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",,0.95,overlay_entity:Tesla;overlay_definition:Tesla;overlay_relation:produces:electric cars;overlay_relation:produces:battery energy storage;overlay_relation:produces:Electric cars;overlay_relation:produces:Battery storage,,,True,False,
eqa-exp-v1-006,Tell me about Tesla.,answer,define_entity,define_entity,Tesla,answer,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",,0.95,overlay_entity:Tesla;overlay_definition:Tesla;overlay_relation:produces:electric cars;overlay_relation:produces:battery energy storage;overlay_relation:produces:Electric cars;overlay_relation:produces:Battery storage,,,True,False,
eqa-exp-v1-007,What kind of organization is Tesla?,answer,define_entity,define_entity,Tesla,answer,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",,0.95,overlay_entity:Tesla;overlay_definition:Tesla;overlay_relation:produces:electric cars;overlay_relation:produces:battery energy storage;overlay_relation:produces:Electric cars;overlay_relation:produces:Battery storage,,,True,False,
eqa-exp-v1-008,What sort of company is Tesla?,answer,define_entity,define_entity,Tesla,answer,"Tesla is an American electric vehicle and clean energy company. In the overlay, Tesla produces electric cars, battery energy storage, Electric cars, and Battery storage.",,0.95,overlay_entity:Tesla;overlay_definition:Tesla;overlay_relation:produces:electric cars;overlay_relation:produces:battery energy storage;overlay_relation:produces:Electric cars;overlay_relation:produces:Battery storage,,,True,False,
eqa-exp-v1-009,What is SpaceX?,answer,define_entity,define_entity,SpaceX,answer,"SpaceX is an aerospace manufacturer and space transportation company. In the overlay, SpaceX develops rockets and spacecraft and produces Falcon rockets and Dragon spacecraft.",,0.95,overlay_entity:SpaceX;overlay_definition:SpaceX;overlay_relation:develops:rockets;overlay_relation:develops:spacecraft;overlay_relation:produces:Falcon rockets;overlay_relation:produces:Dragon spacecraft,,,True,False,
eqa-exp-v1-010,Tell me about SpaceX.,answer,define_entity,define_entity,SpaceX,answer,"SpaceX is an aerospace manufacturer and space transportation company. In the overlay, SpaceX develops rockets and spacecraft and produces Falcon rockets and Dragon spacecraft.",,0.95,overlay_entity:SpaceX;overlay_definition:SpaceX;overlay_relation:develops:rockets;overlay_relation:develops:spacecraft;overlay_relation:produces:Falcon rockets;overlay_relation:produces:Dragon spacecraft,,,True,False,
eqa-exp-v1-011,What kind of company is SpaceX?,answer,define_entity,define_entity,SpaceX,answer,"SpaceX is an aerospace manufacturer and space transportation company. In the overlay, SpaceX develops rockets and spacecraft and produces Falcon rockets and Dragon spacecraft.",,0.95,overlay_entity:SpaceX;overlay_definition:SpaceX;overlay_relation:develops:rockets;overlay_relation:develops:spacecraft;overlay_relation:produces:Falcon rockets;overlay_relation:produces:Dragon spacecraft,,,True,False,
eqa-exp-v1-012,What is Forbes?,answer,define_entity,define_entity,Forbes,answer,"Forbes is an American business magazine. In the overlay, Forbes publishes business rankings and financial lists.",,0.95,overlay_entity:Forbes;overlay_definition:Forbes;overlay_relation:publishes:business rankings;overlay_relation:publishes:financial lists,,,True,False,
eqa-exp-v1-013,Tell me about Forbes.,answer,define_entity,define_entity,Forbes,answer,"Forbes is an American business magazine. In the overlay, Forbes publishes business rankings and financial lists.",,0.95,overlay_entity:Forbes;overlay_definition:Forbes;overlay_relation:publishes:business rankings;overlay_relation:publishes:financial lists,,,True,False,
eqa-exp-v1-014,What type of publication is Forbes?,answer,define_entity,define_entity,Forbes,answer,"Forbes is an American business magazine. In the overlay, Forbes publishes business rankings and financial lists.",,0.95,overlay_entity:Forbes;overlay_definition:Forbes;overlay_relation:publishes:business rankings;overlay_relation:publishes:financial lists,,,True,False,
eqa-exp-v1-015,What is Bloomberg News?,answer,define_entity,define_entity,Bloomberg News,answer,"Bloomberg News is an international news organization. In the overlay, Bloomberg News publishes financial market coverage and wealth indexes.",,0.95,overlay_entity:Bloomberg News;overlay_definition:Bloomberg News;overlay_relation:publishes:financial market coverage;overlay_relation:publishes:wealth indexes,,,True,False,
eqa-exp-v1-016,What type of organization is Bloomberg News?,answer,define_entity,define_entity,Bloomberg News,answer,"Bloomberg News is an international news organization. In the overlay, Bloomberg News publishes financial market coverage and wealth indexes.",,0.95,overlay_entity:Bloomberg News;overlay_definition:Bloomberg News;overlay_relation:publishes:financial market coverage;overlay_relation:publishes:wealth indexes,,,True,False,
eqa-exp-v1-017,What is leadership?,answer,define_entity,define_entity,leadership,answer,Leadership is an ability to guide a group of people toward a common goal.,,0.95,overlay_entity:Leadership;overlay_definition:Leadership,,,True,False,
eqa-exp-v1-018,Tell me about leadership.,answer,define_entity,define_entity,leadership,answer,Leadership is an ability to guide a group of people toward a common goal.,,0.95,overlay_entity:Leadership;overlay_definition:Leadership,,,True,False,
eqa-exp-v1-019,What is an electric vehicle?,answer,define_entity,define_entity,electric vehicle,answer,Electric vehicle is a vehicle that uses one or more electric motors for propulsion.,,0.95,overlay_entity:Electric vehicle;overlay_definition:Electric vehicle,,,True,False,
eqa-exp-v1-020,What is a rocket?,answer,define_entity,define_entity,rocket,answer,Rocket is a vehicle that obtains thrust from a rocket engine.,,0.95,overlay_entity:Reusable rocket;overlay_definition:Rocket,,,True,False,
eqa-exp-v1-021,What is net worth?,answer,define_entity,define_entity,net worth,answer,Net worth is a value of all assets minus liabilities.,,0.95,overlay_entity:Net worth;overlay_definition:Net worth,,,True,False,
eqa-exp-v1-022,Tell me about net worth.,answer,define_entity,define_entity,net worth,answer,Net worth is a value of all assets minus liabilities.,,0.95,overlay_entity:Net worth;overlay_definition:Net worth,,,True,False,
eqa-exp-v1-023,What is a businessperson?,answer,define_entity,define_entity,businessperson,answer,Businessperson is a person who engages in commercial activity.,,0.95,overlay_entity:Businessperson;overlay_definition:Businessperson,,,True,False,
