row_id,term,target_sense,prompt,expected_safe_behavior,knowledge_focus,expected_cue,expected_phrase_type,risk_level
kp-v1-001,bank,financial_institution,The customer opened a savings account at the bank,continue,financial_transaction,account,action,low
kp-v1-002,bank,financial_institution,She asked the teller for an ATM card at the bank,continue,financial_transaction,teller,action,low
kp-v1-003,bank,financial_institution,He checked the interest rate on his loan at the bank,continue,financial_transaction,interest,property,low
kp-v1-004,bank,financial_institution,The bank branch processed the check and credited the account,continue,financial_transaction,branch,action,low
kp-v1-005,bank,financial_institution,The bank beside the reeds also had a branch office for savings,audit,financial_transaction,savings,conflict,medium
kp-v1-006,bank,river_edge,The fishermen cast their lines from the bank of the river,continue,natural_geography,fishermen,action,low
kp-v1-007,bank,river_edge,Tall reeds and grass grew along the bank beside the stream,continue,natural_geography,reed,property,low
kp-v1-008,bank,river_edge,Floodwater rose over the bank and soaked the soil,continue,natural_geography,floodwater,causal,low
kp-v1-009,bank,river_edge,The grassy bank beside the stream dropped into the current below,continue,natural_geography,grass,location,low
kp-v1-010,bank,river_edge,The bank manager noticed reeds growing across the river near the branch,audit,natural_geography,reed,conflict,medium
kp-v1-011,bat,animal,The bat roosted in the rafters of the old barn at dusk,continue,animal_behavior,roost,action,low
kp-v1-012,bat,animal,Bats use echolocation to hunt insects in the dark,continue,animal_behavior,echolocation,property,low
kp-v1-013,bat,animal,The bat hung from the ceiling with its membrane wings folded,continue,animal_behavior,membrane,property,low
kp-v1-014,bat,animal,The flying mammal bat emerged from the attic at night,continue,animal_behavior,mammal,definition,low
kp-v1-015,bat,animal,The bat flew toward the batter during the game,audit,animal_behavior,roost,conflict,medium
kp-v1-016,bat,sports_equipment,The pitcher threw and the batter hit a home run with the bat,continue,sports_equipment_use,pitcher,action,low
kp-v1-017,bat,sports_equipment,The aluminum bat cracked on contact with the ball,continue,sports_equipment_use,aluminum,property,low
kp-v1-018,bat,sports_equipment,He swung the bat at the pitch and drove the ball deep,continue,sports_equipment_use,pitch,action,low
kp-v1-019,bat,sports_equipment,The aluminum bat connected with the ball and the crowd cheered,continue,sports_equipment_use,ball,action,low
kp-v1-020,bat,sports_equipment,The bat dropped from the cave roof as the batter stepped to the plate,audit,sports_equipment_use,pitcher,conflict,medium
kp-v1-021,seal,animal,The seal pup rested on the rocky coast near the water,continue,animal_behavior,pup,action,low
kp-v1-022,seal,animal,A marine mammal like the seal hunts fish near the shore,continue,animal_behavior,marine,definition,low
kp-v1-023,seal,animal,The seal barked loudly as the orca approached the coast,continue,animal_behavior,orca,action,low
kp-v1-024,seal,animal,Seals have strong flippers for swimming and diving in the ocean,continue,animal_behavior,flipper,property,low
kp-v1-025,seal,animal,The clerk pressed the official seal near the marine exhibit on the coast,audit,animal_behavior,marine,conflict,medium
kp-v1-026,seal,closure_stamp,The notary pressed the embossed seal onto the certificate,continue,document_closure,notary,action,low
kp-v1-027,seal,closure_stamp,An airtight seal kept the jar closed during transport,continue,document_closure,airtight,property,low
kp-v1-028,seal,closure_stamp,The stamped seal on the official document was authentic,continue,document_closure,stamped,property,low
kp-v1-029,seal,closure_stamp,The certificate required a notary seal and a clerk signature,continue,document_closure,certificate,relation,low
kp-v1-030,seal,closure_stamp,The seal barked near the stamped parcel on the pier,audit,document_closure,stamped,conflict,medium
kp-v1-031,crane,bird,A flock of cranes migrated south over the lake at dawn,continue,bird_behavior,flock,action,low
kp-v1-032,crane,bird,The crane waded through the wetland in search of fish,continue,bird_behavior,wetland,location,low
kp-v1-033,crane,bird,Its long legs helped the crane stand in the shallow reeds,continue,bird_behavior,leg,property,low
kp-v1-034,crane,bird,Cranes are known for their migration in large flocks across wetlands,continue,bird_behavior,migration,property,low
kp-v1-035,crane,bird,The crane at the construction site spread its wing while a flock flew over,audit,bird_behavior,flock,conflict,medium
kp-v1-036,crane,machine,The crane's cable lowered the steel beams to the ground,continue,heavy_machinery_operation,cable,action,low
kp-v1-037,crane,machine,The boom of the tower crane rose above the building site,continue,heavy_machinery_operation,boom,property,low
kp-v1-038,crane,machine,Outriggers kept the crane stable on the uneven construction site,continue,heavy_machinery_operation,outrigger,property,low
kp-v1-039,crane,machine,The operator used the crane to swing the steel beams over the site,continue,heavy_machinery_operation,steel beams,action,low
kp-v1-040,crane,machine,The crane spread its neck near the tower crane on the site,audit,heavy_machinery_operation,tower crane,conflict,medium
kp-v1-041,rock,stone,The geologist studied the mineral layers in the rock formation,continue,natural_material,mineral,relation,low
kp-v1-042,rock,stone,A boulder of solid rock blocked the trail on the hillside,continue,natural_material,hillside,location,low
kp-v1-043,rock,stone,Geology experts noted the rock formation near the mountain trail,continue,natural_material,geology,relation,low
kp-v1-044,rock,stone,The heavy rock lay near the mountain stream at the base of the cliff,continue,natural_material,mineral,location,low
kp-v1-045,rock,stone,The rock band rehearsed near the cliff while climbers scaled the boulder,audit,natural_material,mineral,conflict,medium
kp-v1-046,rock,music,The rock band released a new album to sold-out crowds,continue,music_performance,album,property,low
kp-v1-047,rock,music,He played drums on the stage at the rock concert,continue,music_performance,drum,action,low
kp-v1-048,rock,music,Rock is a genre that includes punk and metal subgenres,continue,music_performance,genre,definition,low
kp-v1-049,rock,music,The rock crowd cheered as the band played on the stage,continue,music_performance,album,action,low
kp-v1-050,rock,music,The drum kit sat on the flat rock near the cliff by the stage,audit,music_performance,drum,conflict,medium
kp-v1-051,spring,season,Spring flowers bloomed in the garden after the morning rain,continue,seasonal_transition,bloom,action,low
kp-v1-052,spring,season,The spring migration brought birds to the lake every year,continue,seasonal_transition,migration,action,low
kp-v1-053,spring,season,Fresh spring mornings followed the thaw each year,continue,seasonal_transition,morning,property,low
kp-v1-054,spring,season,Spring was the season when flowers bloomed and birds returned,continue,seasonal_transition,flower,definition,low
kp-v1-055,spring,season,The spring in the latch clicked as the spring rain filled the garden,audit,seasonal_transition,bloom,conflict,medium
kp-v1-056,spring,coil,The coil spring in the door handle under constant tension,continue,mechanical_device,coil,action,low
kp-v1-057,spring,coil,An elastic spring in the mattress provided comfortable support,continue,mechanical_device,mattress,property,low
kp-v1-058,spring,coil,The worn spring in the latch caused the handle to stick,continue,mechanical_device,elastic,causal,low
kp-v1-059,spring,coil,The elastic spring inside the device maintained tension throughout the bounce,continue,mechanical_device,elastic,action,low
kp-v1-060,spring,coil,The metal spring latch compressed as the spring flowers bloomed in the warm garden,audit,mechanical_device,coil,conflict,medium
