row_id,question,expected_decision,expected_intent,detected_intent,source,target,decision,answer,audit_reason,confidence,relation_edges_used,weak_links_used,source_facts_used,is_correct,quality_flagged,quality_reason
cpqa-v1-001,How is Elon Musk connected to SpaceX?,answer,connection_path,connection_path,Elon Musk,SpaceX,answer,"In the overlay, Elon Musk is connected to SpaceX: Elon Musk is linked to SpaceX through leadership. This is an explicit semi-stable relation in the overlay.",,0.9,Elon Musk--leader_of-->SpaceX,,,True,False,
cpqa-v1-002,How is Elon Musk connected to Tesla?,answer,connection_path,connection_path,Elon Musk,Tesla,answer,"In the overlay, Elon Musk is connected to Tesla: Elon Musk is linked to Tesla through leadership. This is an explicit semi-stable relation in the overlay.",,0.9,Elon Musk--leader_of-->Tesla,,,True,False,
cpqa-v1-003,How is SpaceX connected to rockets?,answer,connection_path,connection_path,SpaceX,rockets,answer,"In the overlay, SpaceX is connected to rockets: SpaceX develops rockets. This is an explicit semi-stable relation in the overlay.",,0.9,SpaceX--develops-->rockets,,,True,False,
cpqa-v1-004,How is SpaceX connected to spacecraft?,answer,connection_path,connection_path,SpaceX,spacecraft,answer,"In the overlay, SpaceX is connected to spacecraft: SpaceX develops spacecraft. This is an explicit semi-stable relation in the overlay.",,0.9,SpaceX--develops-->spacecraft,,,True,False,
cpqa-v1-005,How is Tesla connected to electric cars?,answer,connection_path,connection_path,Tesla,electric cars,answer,"In the overlay, Tesla is connected to electric cars: Tesla produces electric cars. This is an explicit semi-stable relation in the overlay.",,0.9,Tesla--produces-->electric cars,,,True,False,
cpqa-v1-006,How is Forbes connected to business rankings?,answer,connection_path,connection_path,Forbes,business rankings,answer,"In the overlay, Forbes is connected to business rankings: Forbes publishes business rankings. This is an explicit semi-stable relation in the overlay.",,0.9,Forbes--publishes-->business rankings,,,True,False,
cpqa-v1-007,How is Bloomberg News connected to wealth indexes?,answer,connection_path,connection_path,Bloomberg News,wealth indexes,answer,"In the overlay, Bloomberg News is connected to wealth indexes: Bloomberg News publishes wealth indexes. This is an explicit semi-stable relation in the overlay.",,0.9,Bloomberg News--publishes-->wealth indexes,,,True,False,
cpqa-v1-008,How is Jeff Bezos connected to Blue Origin?,answer,connection_path,connection_path,Jeff Bezos,Blue Origin,answer,"In the overlay, Jeff Bezos is connected to Blue Origin: Jeff Bezos is linked to Blue Origin through leadership. This is an explicit semi-stable relation in the overlay.",,0.9,Jeff Bezos--leader_of-->Blue Origin,,,True,False,
cpqa-v1-009,How is NASA connected to spacecraft?,answer,connection_path,connection_path,NASA,spacecraft,answer,"In the overlay, NASA is connected to spacecraft: NASA develops spacecraft. This is an explicit semi-stable relation in the overlay.",,0.9,NASA--develops-->spacecraft,,,True,False,
cpqa-v1-010,How is Tesla Energy connected to solar panels?,answer,connection_path,connection_path,Tesla Energy,solar panels,answer,"In the overlay, Tesla Energy is connected to solar panels: Tesla Energy produces solar panels. This is an explicit semi-stable relation in the overlay.",,0.9,Tesla Energy--produces-->solar panels,,,True,False,
cpqa-v1-011,How is Elon Musk connected to rockets?,answer,connection_path,connection_path,Elon Musk,rockets,answer,"In the overlay, Elon Musk is connected to rockets through SpaceX: Elon Musk is linked to SpaceX through leadership, and SpaceX develops rockets. The overlay has an explicit semi-stable relation path of 2 steps.",,0.9,Elon Musk--leader_of-->SpaceX;SpaceX--develops-->rockets,,,True,False,
cpqa-v1-012,How is Elon Musk connected to electric cars?,answer,connection_path,connection_path,Elon Musk,electric cars,answer,"In the overlay, Elon Musk is connected to electric cars through Tesla: Elon Musk is linked to Tesla through leadership, and Tesla produces electric cars. The overlay has an explicit semi-stable relation path of 2 steps.",,0.9,Elon Musk--leader_of-->Tesla;Tesla--produces-->electric cars,,,True,False,
cpqa-v1-013,How is Elon Musk connected to brain-computer interfaces?,answer,connection_path,connection_path,Elon Musk,brain-computer interfaces,answer,"In the overlay, Elon Musk is connected to brain-computer interfaces through Neuralink: Elon Musk founded Neuralink, and Neuralink develops brain-computer interfaces. The overlay has an explicit semi-stable relation path of 2 steps.",,0.9,Elon Musk--founded-->Neuralink;Neuralink--develops-->brain-computer interfaces,,,True,False,
cpqa-v1-014,How is Elon Musk connected to Falcon rockets?,answer,connection_path,connection_path,Elon Musk,Falcon rockets,answer,"In the overlay, Elon Musk is connected to Falcon rockets through SpaceX: Elon Musk is linked to SpaceX through leadership, and SpaceX produces Falcon rockets. The overlay has an explicit semi-stable relation path of 2 steps.",,0.9,Elon Musk--leader_of-->SpaceX;SpaceX--produces-->Falcon rockets,,,True,False,
cpqa-v1-015,How is Elon Musk connected to Dragon spacecraft?,answer,connection_path,connection_path,Elon Musk,Dragon spacecraft,answer,"In the overlay, Elon Musk is connected to Dragon spacecraft through SpaceX: Elon Musk is linked to SpaceX through leadership, and SpaceX produces Dragon spacecraft. The overlay has an explicit semi-stable relation path of 2 steps.",,0.9,Elon Musk--leader_of-->SpaceX;SpaceX--produces-->Dragon spacecraft,,,True,False,
cpqa-v1-016,How is Marc Tarpenning connected to Tesla?,answer,connection_path,connection_path,Marc Tarpenning,Tesla,answer,"In the overlay, Marc Tarpenning is connected to Tesla: Marc Tarpenning founded Tesla. This is an explicit semi-stable relation in the overlay.",,0.9,Marc Tarpenning--founded-->Tesla,,,True,False,
cpqa-v1-017,How is SpaceX connected to Starlink?,answer,connection_path,connection_path,SpaceX,Starlink,answer,"In the overlay, SpaceX and Starlink are connected only by a weak contextual link (on the Starlink page). This is a weak contextual link, not a stable factual relation, so it does not prove a factual relationship.",,0.6,,Starlink->SpaceX,,True,False,
cpqa-v1-018,How is SpaceX connected to Falcon 9?,answer,connection_path,connection_path,SpaceX,Falcon 9,answer,"In the overlay, SpaceX and Falcon 9 are connected only by a weak contextual link (on the Falcon 9 page). This is a weak contextual link, not a stable factual relation, so it does not prove a factual relationship.",,0.6,,Falcon 9->SpaceX,,True,False,
cpqa-v1-019,How is Tesla connected to electric vehicles?,answer,connection_path,connection_path,Tesla,electric vehicles,answer,"In the overlay, Tesla and electric vehicles are connected only by a weak contextual link (on the Tesla page). This is a weak contextual link, not a stable factual relation, so it does not prove a factual relationship.",,0.6,,Tesla->Electric vehicle,,True,False,
cpqa-v1-020,How is Powerwall connected to lithium-ion battery?,answer,connection_path,connection_path,Powerwall,lithium-ion battery,answer,"In the overlay, Powerwall and lithium-ion battery are connected only by a weak contextual link (on the Powerwall page). This is a weak contextual link, not a stable factual relation, so it does not prove a factual relationship.",,0.6,,Powerwall->Lithium-ion battery,,True,False,
