name,manual_label,notes
majanis,good,звучит как возможное имя
jahd,unclear,"слишком жёсткий обрывок, слабая читаемость"
chelis,good,похоже на имя/никнейм
romaura,good,звучит как имя
sireaudriel,unclear,слишком склеенное и длинное
dalle,good,"короткое, но имяобразное"
cayleel,good,похоже на современное имя
hylenni,good,похоже на имя
aleesiah,good,похоже на вариант имени
teigh,unclear,слишком странная орфография
adish,good,реалистично
hyker,unclear,похоже на слово hiker
ameyenianna,unclear,слишком длинная склейка
laveri,good,имяобразно
ebuno,unclear,"сомнительно, слабая форма имени"
katiancesi,unclear,слишком склеенное
kielyn,good,реалистично
kaiia,good,реалистично
carius,good,имяобразно
dekathero,unclear,похоже на fantasy/склейку
amelley,good,похоже на имя
inn,unclear,"обычное слово, слишком коротко"
celianan,unclear,кривоватая форма
azriya,good,реалистично
kamaryana,good,"длинновато, но имяобразно"
yveon,good,похоже на имя
yino,good,простое имяобразное
levaughn,good,реалистично
jeru,good,"короткое, но годится"
nalicelahuva,unclear,слишком длинное и перегруженное
driq,unclear,слишком обрывочно
brinyi,good,имяобразно
renta,unclear,"похоже на слово, не имя"
jacquese,good,похоже на вариант Jacques/Jacquez
alvini,good,реалистично
davonnalus,unclear,слишком искусственная склейка
saquinton,good,похоже на имя
avreya,good,реалистично
syen,good,"короткое, но имяобразное"
yaze,good,"короткое, но годится"
jid,unclear,слишком короткий обрывок
tine,unclear,похоже на фрагмент имени
harianna,good,реалистично
jaiceretta,unclear,перегруженная склейка
alelain,good,имяобразно
kharnia,good,звучит как имя
aini,good,реалистично
jemilan,good,имяобразно
osborun,good,похоже на фамильное/именное образование
donney,good,реалистично
wyliemarlie,unclear,слишком склеенное
mille,good,похоже на имя/уменьшительную форму
des,unclear,слишком короткий фрагмент
jenceson,good,похоже на имя/фамилию
pearrowdy,unclear,шумная склейка
laja,good,"короткое, но имяобразное"
flore,good,реалистично
lami,good,имяобразно
mamareina,unclear,похоже на фразу/склейку
sabarumine,unclear,длинно и неестественно
wad,unclear,обычное слово/обрывок
meeraldyn,good,"фэнтези-имя, но читается"
jamess,unclear,похоже на опечатку James
yitzalylie,unclear,перегруженная склейка
jibrian,good,похоже на имя
jenara,good,реалистично
watos,unclear,сомнительная форма
mas,unclear,"слишком коротко, похоже на слово"
dakarolamiya,unclear,слишком длинная склейка
afid,good,имяобразно
kaylianaria,unclear,перегружено
cayln,good,похоже на вариант Cailin/Kaylin
kazariq,good,имяобразно
lious,unclear,похоже на ошибку Louis
magdalle,good,похоже на имя
niklynn,good,реалистично
ven,good,короткое имяобразное
traceon,good,похоже на современное имя
aamalayreon,unclear,"перегружено, doubled vowel"
dashlynn,good,реалистично
kalenna,good,реалистично
ewella,good,имяобразно
cassiaan,good,похоже на Cassian/Cassiaan
keeyaa,good,"стилизованно, но имяобразно"
shim,unclear,"скорее фамилия/слово, слабое имя"
thordhavir,unclear,слишком fantasy-heavy
karleiah,good,реалистично
dianni,good,похоже на имя
kevone,good,реалистично
ston,unclear,похоже на обрывок stone
nne,unclear,слишком короткий шум
antzin,good,имяобразно
monis,good,похоже на имя/фамилию
reidence,unclear,похоже на опечатку residence
keziya,good,реалистично
khoanetani,unclear,длинно и склеенно
meronielda,good,"длинно, но имяобразно"
lochukroyann,unclear,слишком склеенное
shni,unclear,плохая читаемость
ayassius,good,похоже на латинизированное имя
