row_id,term,blocker_type,required_input,expected_effect,source_strategy,priority,curriculum_task_id
v1-030,seal,prompt_tail_blocked,prompt_tail_rule,may_unlock_continue,manual_rule,high,task-v1-030-prompt_tail_blocked-cb4685905d
v1-041,bank,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-041-missing_phrase_candidate-c8bdd38beb
v1-045,seal,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,medium,
v1-047,crane,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-047-missing_phrase_candidate-032996d444
v1-053,bank,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-055,bat,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-056,seal,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,medium,
v1-057,crane,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-057-missing_phrase_candidate-e34d360a26
v1-061,bank,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-061-missing_phrase_candidate-20cb5cbeb1
v1-062,bank,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-064,bat,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-065,seal,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-066,seal,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-068,crane,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-069,spring,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-069-missing_phrase_candidate-9b67c49470
v1-070,spring,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-071,rock,prompt_tail_blocked,prompt_tail_rule,may_unlock_continue,manual_rule,high,task-v1-071-prompt_tail_blocked-7431393b75
v1-073,bank,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-073-missing_phrase_candidate-7d5314922e
v1-074,bank,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-074-missing_phrase_candidate-ddea233863
v1-075,bat,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-076,bat,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-076-missing_phrase_candidate-fc71d06688
v1-078,seal,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-079,crane,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-080,crane,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-096,bank,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-097,bank,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-097-missing_phrase_candidate-cc1c6d2cf0
v1-098,bat,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-099,bat,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-099-missing_phrase_candidate-7fbdcae6ef
v1-100,seal,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-101,seal,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-101-missing_phrase_candidate-b7c94e2bc7
v1-102,crane,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-103,crane,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-104,spring,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-104-missing_phrase_candidate-f74f99dffa
v1-105,spring,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-105-missing_phrase_candidate-cb241f7daa
v1-106,rock,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-106-missing_phrase_candidate-5c8ab2fc47
v1-107,rock,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-107-missing_phrase_candidate-896608b35b
v1-108,seal,missing_positive_cue,positive_cue,may_unlock_continue,curated_snippet,medium,
v1-109,bank,missing_phrase_candidate,phrase_candidate_hint,may_unlock_continue,manual_rule,high,task-v1-109-missing_phrase_candidate-9b4b56cd39
