item_type,entity_id,subject,label,predicate,relation,object,surface,target,entity_type,source_page,source_name,as_of,claim_type,stability,strength,risk,status,requires_recheck,evidence_text
entity_card,wikidata:Q317521,,Elon Musk,,,,,,person,Elon Musk,,,,,,low,candidate,,
definition_claim,,Elon Musk,,is_a,,businessman,,,,Elon Musk,,,,stable,,low,candidate,,Elon Reeve Musk is a businessman known for his leadership of Tesla and SpaceX.
relation_claim,,Elon Musk,,leader_of,,Tesla,,,,Elon Musk,,,,semi_stable,,medium,candidate,,known for his leadership of Tesla and SpaceX
relation_claim,,Elon Musk,,leader_of,,SpaceX,,,,Elon Musk,,,,semi_stable,,medium,candidate,,known for his leadership of Tesla and SpaceX
relation_claim,,Elon Musk,,known_for,,Tesla,,,,Elon Musk,,,,semi_stable,,medium,candidate,,known_for: Tesla; SpaceX
relation_claim,,Elon Musk,,known_for,,SpaceX,,,,Elon Musk,,,,semi_stable,,medium,candidate,,known_for: Tesla; SpaceX
context_link,,,,,mentioned_with,,businessman,Businessperson,,Elon Musk,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,leadership,Leadership,,Elon Musk,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Tesla,"Tesla, Inc.",,Elon Musk,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,SpaceX,SpaceX,,Elon Musk,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,Forbes,Forbes,,Elon Musk,,,,,weak,,candidate,,
context_link,,,,,mentioned_with,,net worth,Net worth,,Elon Musk,,,,,weak,,candidate,,
source_qualified_fact,,Elon Musk,,estimated_net_worth,,US$1.1 trillion,,,,Elon Musk,Forbes,2026-06,time_sensitive_estimate,volatile,,high,candidate,True,Forbes has estimated Musk's net worth at US$1.1 trillion in recent business rankings.
entity_card,wikidata:Q478214,,Tesla,,,,,,organization,Tesla,,,,,,low,candidate,,
definition_claim,,Tesla,,is_a,,American electric vehicle and clean energy company,,,,Tesla,,,,stable,,low,candidate,,Tesla is an American electric vehicle and clean energy company.
relation_claim,,Tesla,,produces,,electric cars,,,,Tesla,,,,semi_stable,,medium,candidate,,produces electric cars and battery energy storage.
relation_claim,,Tesla,,produces,,battery energy storage,,,,Tesla,,,,semi_stable,,medium,candidate,,produces electric cars and battery energy storage.
