source,target,proposed_relation,confidence,reason,evidence,manual_label,notes
admiralty_island,caribbean_sea,at_location,0.666667,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=1)",abc_islands,,
advertising_panel,city,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
advertising_panel,suitcase,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
aiplane,city,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
aiplane,suitcase,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
air,city,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
air,suitcase,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
air_terminal,suitcase,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
air_ticket,air_port,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=5)",air_terminal,,
air_ticket,city,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=5)",air_terminal|airport,,
air_ticket,detroit,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=5)",air_terminal,,
air_ticket,international_air_port,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=5)",air_terminal,,
air_traffic_control_tower,city,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
air_traffic_control_tower,suitcase,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
air_traffic_controller,city,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
air_traffic_controller,suitcase,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
airline_representatives,city,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
airline_representatives,suitcase,at_location,0.563436,"learned relation rule: at_location -> at_location => at_location (support=7/7, smoothed_conf=0.667, fanout=2)",airport,,
