row_id,question,expected_decision,expected_sense,detected_intent,detected_term,detected_sense,decision,answer,audit_reason,confidence,facts_used,patterns_used,provider_items_used,is_correct,quality_flagged
gen-v1-001,Can you explain what a river bank is?,answer,river_edge,define_sense,bank,river_edge,answer,"A river bank is the edge or slope of land beside a river or stream. Common clues are streams, currents, reeds and grasses. It can fish, cast and erode, and it is often found along rivers.",,1.0000,ami-0cd43fd2771d|ami-d3728600c4ed|ami-9178c38da5f7|ami-de53324c4ec1|ami-d6a14106fa8b|ami-2797f548d47a|ami-728e998182a8|ami-10ecdcf2319f|ami-706c8c4a9922|ami-1faf8f41a9cb|ami-00f07ec2ccd4|ami-b85c09a9c35f|ami-dd1ee2d2d7ae,ami-e51098c0350a|ami-d5eadc89c2b5|ami-05605d8f7ae5|ami-0d41d54db982|ami-1e741ba6669e,ami-0cd43fd2771d|ami-d3728600c4ed|ami-9178c38da5f7|ami-de53324c4ec1|ami-d6a14106fa8b|ami-2797f548d47a|ami-728e998182a8|ami-10ecdcf2319f|ami-706c8c4a9922|ami-1faf8f41a9cb|ami-00f07ec2ccd4|ami-b85c09a9c35f|ami-dd1ee2d2d7ae|ami-80ac7bdcc732|ami-e51098c0350a|ami-d5eadc89c2b5|ami-05605d8f7ae5|ami-0d41d54db982|ami-1e741ba6669e,yes,no
gen-v1-002,Can you explain what a financial bank is?,answer,financial_institution,define_sense,bank,financial_institution,answer,"A financial bank is a financial institution where people manage money. Common clues are accounts, deposits, loans and tellers. It can deposit, withdraw and open an account, and it is often found at a bank branch.",,1.0000,ami-d1e84819f031|ami-79a61a7b936b|ami-5c9684b846dc|ami-0c57dfe88a7e|ami-184a3087162e|ami-14e460bbf39f|ami-c3a25a2302c1|ami-d541551f9ed0|ami-cac90e30d97f|ami-99f01707f49e|ami-338695691a03|ami-7821d3d25b89|ami-eb92027c0666|ami-4044b22f35a1|ami-ec404e492560,ami-46cd07ed4b87|ami-5903a9eef04e|ami-8c9883a632cc|ami-048978364943|ami-65f9cd1c6704,ami-d1e84819f031|ami-79a61a7b936b|ami-5c9684b846dc|ami-0c57dfe88a7e|ami-184a3087162e|ami-14e460bbf39f|ami-c3a25a2302c1|ami-d541551f9ed0|ami-cac90e30d97f|ami-99f01707f49e|ami-338695691a03|ami-7821d3d25b89|ami-eb92027c0666|ami-4044b22f35a1|ami-ec404e492560|ami-c439df29a993|ami-46cd07ed4b87|ami-5903a9eef04e|ami-8c9883a632cc|ami-048978364943|ami-65f9cd1c6704,yes,no
gen-v1-003,Is a bat with wings an animal or sports equipment?,answer,animal,define_sense,bat,animal,answer,"A bat is a nocturnal flying mammal. Common clues are caves, roosts, rafters and insects. It can hunt, roost and hang, and it is often found in caves and in attics.",,1.0000,ami-5b0b2604ca34|ami-3c97bb0a0457|ami-872e2d496eef|ami-bcbe206f380b|ami-dac767281bd9|ami-26356b99382b|ami-0b65c9913584|ami-020368d469cb|ami-d40eee9d6dd7|ami-8f68fca91f53|ami-65a150730060|ami-bdaef47ee28e|ami-d8a32cd909e6|ami-8c615722b27e,ami-d52cde633589|ami-9a946b1bf202|ami-5714dc0b4a21|ami-9369a5f5df8e|ami-dbc69f01e2a4,ami-5b0b2604ca34|ami-3c97bb0a0457|ami-872e2d496eef|ami-bcbe206f380b|ami-dac767281bd9|ami-26356b99382b|ami-0b65c9913584|ami-020368d469cb|ami-d40eee9d6dd7|ami-8f68fca91f53|ami-65a150730060|ami-bdaef47ee28e|ami-d8a32cd909e6|ami-8c615722b27e|ami-fa0a4fa527e8|ami-d52cde633589|ami-9a946b1bf202|ami-5714dc0b4a21|ami-9369a5f5df8e|ami-dbc69f01e2a4,yes,no
gen-v1-004,Is the bat near the pitcher an animal or sports equipment?,answer,sports_equipment,define_sense,bat,sports_equipment,answer,"A baseball bat is a club used to hit a ball in sports such as baseball. Common clues are pitchers, balls, batters and plates. It is used to swing, hit or strike the ball, and it is often found at home plate.",,1.0000,ami-d61536e03631|ami-ec8d9b6df409|ami-61bc6b6c493d|ami-7394ff753a7a|ami-83895dd6703c|ami-b28c91d74336|ami-24063c04309d|ami-f52c0b110d05|ami-c7d657e2c2ba|ami-9d0364c5d591|ami-aa716601fe52|ami-f181840d821b|ami-47836cf4119a|ami-2a600c945175,ami-b97970b26504|ami-c7188fe19c3d|ami-1aee0a75966a|ami-b1280e48e6b4|ami-40b1ca2ea30d,ami-d61536e03631|ami-ec8d9b6df409|ami-61bc6b6c493d|ami-7394ff753a7a|ami-83895dd6703c|ami-b28c91d74336|ami-24063c04309d|ami-f52c0b110d05|ami-c7d657e2c2ba|ami-9d0364c5d591|ami-aa716601fe52|ami-f181840d821b|ami-47836cf4119a|ami-2a600c945175|ami-717c4c03f616|ami-b97970b26504|ami-c7188fe19c3d|ami-1aee0a75966a|ami-b1280e48e6b4|ami-40b1ca2ea30d,yes,no
gen-v1-005,The seal was swimming near the coast. What kind of seal is it?,answer,animal,define_sense,seal,animal,answer,"A seal is a marine mammal that lives near coasts and oceans. Common clues are fish, flippers, oceans and coasts. It can swim, dive and rest, and it is often found along coasts and along shores.",,1.0000,ami-4567b3e8891f|ami-bbea61077dbd|ami-30e7e875f17b|ami-2f92c7b98bd1|ami-92f91ccbde44|ami-1a914185256b|ami-57b41b6bdf8e|ami-cad7de044683|ami-2294e124ff99|ami-6ce79e7e08dc|ami-41dd9b2595e2|ami-8efee9477cb6|ami-ace75b64fab8|ami-741cac4fd679,ami-1f1ff94cfad2|ami-a9451cb43d33|ami-eb83834a8e9c|ami-2f9b268d49e9|ami-7ac2039ed2d2,ami-4567b3e8891f|ami-bbea61077dbd|ami-30e7e875f17b|ami-2f92c7b98bd1|ami-92f91ccbde44|ami-1a914185256b|ami-57b41b6bdf8e|ami-cad7de044683|ami-2294e124ff99|ami-6ce79e7e08dc|ami-41dd9b2595e2|ami-8efee9477cb6|ami-ace75b64fab8|ami-741cac4fd679|ami-1ab87f4c94b7|ami-90dcb6dfaf1b|ami-1f1ff94cfad2|ami-a9451cb43d33|ami-eb83834a8e9c|ami-2f9b268d49e9|ami-7ac2039ed2d2,yes,no
gen-v1-006,The seal was pressed into wax on the envelope. What kind of seal is it?,answer,closure_stamp,define_sense,seal,closure_stamp,answer,"A wax seal is a device or substance used to close or authenticate an object. Common clues are wax, envelopes, documents and parcels. It is used to press, break or stamp documents or envelopes.",,1.0000,ami-3c20e16c4354|ami-3c3d37108734|ami-4b97678b5f91|ami-a4cb0f68f02d|ami-77120a84f918|ami-b18b39a57101|ami-5ec90e94fe85|ami-e4076a94ec41|ami-74123ac02599|ami-2cf2174423e7|ami-ef51dbeae6d3|ami-6a53b59b48df|ami-86340b22a7cf,ami-bcaeaf917668|ami-d2463f02d1d8|ami-ffdeefdefb61|ami-de88025be41e|ami-4de4cbb800f0,ami-3c20e16c4354|ami-3c3d37108734|ami-4b97678b5f91|ami-a4cb0f68f02d|ami-77120a84f918|ami-b18b39a57101|ami-5ec90e94fe85|ami-e4076a94ec41|ami-74123ac02599|ami-2cf2174423e7|ami-ef51dbeae6d3|ami-6a53b59b48df|ami-86340b22a7cf|ami-a6da609e94e0|ami-c9ff2d5d0ebf|ami-bcaeaf917668|ami-d2463f02d1d8|ami-ffdeefdefb61|ami-de88025be41e|ami-4de4cbb800f0,yes,no
gen-v1-007,The crane had a hook and lifted a load. What does crane mean?,answer,machine,define_sense,crane,machine,answer,"A construction crane is a large machine used to lift and move heavy loads at construction sites. Common clues are hooks, loads, cables and booms. It is used to lift, lower or swing heavy loads, and it is often found at construction sites.",,1.0000,ami-03ba4186100a|ami-16d0c1744fa1|ami-fd00126fe924|ami-c93c76a0aea1|ami-1e10d02383e2|ami-371f669ca9a0|ami-55783e5d2b23|ami-785613391acc|ami-b8bc9523aaf8|ami-37ad56e2eeac|ami-e4dc98d65534|ami-a42522879344|ami-8ddd846b277d,ami-cc16433fdb5e|ami-fcbbbc1ac3b6|ami-3c589cefd7d5|ami-07405bbca362|ami-27dd826c7655,ami-03ba4186100a|ami-16d0c1744fa1|ami-fd00126fe924|ami-c93c76a0aea1|ami-1e10d02383e2|ami-371f669ca9a0|ami-55783e5d2b23|ami-785613391acc|ami-b8bc9523aaf8|ami-37ad56e2eeac|ami-e4dc98d65534|ami-a42522879344|ami-8ddd846b277d|ami-cc16433fdb5e|ami-fcbbbc1ac3b6|ami-3c589cefd7d5|ami-07405bbca362|ami-27dd826c7655,yes,no
gen-v1-008,The crane stood in the wetland near reeds. What does crane mean?,answer,bird,define_sense,crane,bird,answer,"A crane bird is a large wading bird with long legs and a long neck. Common clues are necks, legs, reeds and lakes. It can wade, dance and migrate, and it is often found in wetlands and near lakes.",,1.0000,ami-a2175058a1aa|ami-5d71d2a91a85|ami-3fb431a8a342|ami-ee9ba8489152|ami-da79214ebe9f|ami-b5263fdaaaef|ami-27ac5775e936|ami-140862d73e39|ami-160a8ca7c9fc|ami-071b69398beb|ami-a96d5471bf8a|ami-e220f6529fa5|ami-85db669be146|ami-6661336011a4,ami-a4695848d6af|ami-41e5eed1bd02|ami-ea99b9178948|ami-4be246c07fe8|ami-fea8d09755a3,ami-a2175058a1aa|ami-5d71d2a91a85|ami-3fb431a8a342|ami-ee9ba8489152|ami-da79214ebe9f|ami-b5263fdaaaef|ami-27ac5775e936|ami-140862d73e39|ami-160a8ca7c9fc|ami-071b69398beb|ami-a96d5471bf8a|ami-e220f6529fa5|ami-85db669be146|ami-6661336011a4|ami-ec77e1ef8022|ami-a4695848d6af|ami-41e5eed1bd02|ami-ea99b9178948|ami-4be246c07fe8|ami-fea8d09755a3,yes,no
gen-v1-009,The band played rock on stage. What does rock mean?,answer,music,define_sense,rock,music,answer,"Rock music is a genre of music typically featuring electric guitars and strong rhythms. Common contexts are bands, concerts, crowds and stages. It is played and performed, often by bands on stage.",,1.0000,ami-6be456b798d8|ami-0a60f807af51|ami-6fc71ac2205f|ami-850cdfbd8626|ami-e21a72a414eb|ami-6b0d630b118b|ami-ff03dbae592a|ami-d68a2ec06bb6|ami-e8e49a29b98a|ami-f08adc7e92d4|ami-009412d045ea,ami-624d49f5bdba|ami-d6a5a198a2d6|ami-ccd22bed9ad5|ami-e18241d02fc9|ami-23cee73e6adf,ami-6be456b798d8|ami-0a60f807af51|ami-6fc71ac2205f|ami-850cdfbd8626|ami-e21a72a414eb|ami-6b0d630b118b|ami-ff03dbae592a|ami-d68a2ec06bb6|ami-e8e49a29b98a|ami-f08adc7e92d4|ami-009412d045ea|ami-624d49f5bdba|ami-d6a5a198a2d6|ami-ccd22bed9ad5|ami-e18241d02fc9|ami-23cee73e6adf,yes,no
gen-v1-010,The rock rolled down near the cliff. What does rock mean?,answer,stone,define_sense,rock,stone,answer,"A rock is a solid mineral mass found in nature. Common clues are cliffs, boulders, trails and minerals. A rock can roll or be climbed, and it is often found near mountains and near cliffs.",,1.0000,ami-5e67434596cd|ami-ad0126bd1d99|ami-4962e4764e87|ami-b1e1c44dd5e3|ami-43cab51ad5d7|ami-4a88bda52c66|ami-7bfad8c66622|ami-b200065f027b|ami-d55fa610393b|ami-cc310c21e185|ami-d89a03ca4bdf,ami-59aaac28b4a8|ami-1ac32bdba1b7|ami-0ef741ab9b50|ami-e8f26d1926ee,ami-5e67434596cd|ami-ad0126bd1d99|ami-4962e4764e87|ami-b1e1c44dd5e3|ami-43cab51ad5d7|ami-4a88bda52c66|ami-7bfad8c66622|ami-b200065f027b|ami-d55fa610393b|ami-cc310c21e185|ami-d89a03ca4bdf|ami-59aaac28b4a8|ami-1ac32bdba1b7|ami-0ef741ab9b50|ami-e8f26d1926ee,yes,no
