source,relation_type,target
a,at_location,resturant
a,at_location,roof
abandoned_tractor,at_location,meadow
abc_islands,at_location,caribbean_sea
above_water,at_location,sea
abu,at_location,honshu
abu,at_location,japan
abyss,at_location,bottom_of_sea
acadia_national_park,at_location,maine
acadian_french,at_location,maine
acadian_french,at_location,new_brunswick
acadian_french,at_location,nova_scotia
acadian_french,at_location,prince_edward_island
acadian_french,at_location,united_states
acar,at_location,street
acc,at_location,india
acc,at_location,mumbai
accelerator,at_location,vehicle
accident,at_location,roadblock
accomadations,at_location,motel
accommodation,at_location,canada
accommodation,at_location,inn
accommodation_building,at_location,bedroom
accommodations,at_location,camp_ground
accommodations,at_location,motel
accommodations,at_location,theater
accomodation,at_location,motel
accordian_bag,at_location,accordian
accordian_bag,at_location,music_shop
accordian_bag,at_location,music_store
accordian_bag,at_location,musical_instrument_store
accordian_bag,at_location,orchestra_pit
accordian_bag,at_location,scotland
accordion,at_location,band
accordion,at_location,instrument_room
accordion,at_location,music_store
accordion,at_location,polish_wedding
accordion,at_location,polka_band
accordion,at_location,san_francisco
accordion,at_location,variety_show
account_book,at_location,bank
account_book,at_location,desk
account_book,at_location,desk_drawer
account_book,at_location,purse
accountant,at_location,firm
accounting_books,at_location,cabinet
acetaminophen,at_location,medicine_chest
acid,at_location,chemistry_lab
acid,at_location,stomach
acit,at_location,chemistry_lab
acklins,at_location,atlantic_ocean
acne,at_location,mcdonalds
acne_medication,at_location,bathroom
acne_medication,at_location,cupboard
acne_medication,at_location,drug_store
acne_medication,at_location,drugstore
acne_medication,at_location,pharmacy
acne_medication,at_location,tube
aconcagua,at_location,argentina
acorn,at_location,forest
acorn,at_location,ground
acorn,at_location,tree
acorn_on_ground,at_location,park
acorns,at_location,roof
acorns,at_location,tree
acoustic_ceiling,at_location,concert_hall
acoustic_ceiling,at_location,music_department
acoustic_ceiling,at_location,music_hall
acoustic_ceiling,at_location,office_building
acoustic_ceiling,at_location,opera_house
acoustic_ceiling,at_location,orchestra_house
acoustic_ceiling,at_location,room
acoustic_ceiling,at_location,theater
acoustic_ceiling_in,at_location,music_hall
acoustic_guitar,at_location,band
acoustic_guitar,at_location,closet
acoustic_guitar,at_location,folk_band
acoustic_guitar,at_location,folk_concert
acoustic_guitar,at_location,folk_group
acoustic_guitar,at_location,house
acoustic_guitar,at_location,lesbian_bar
acoustic_guitar,at_location,music_room
acoustic_guitar,at_location,music_shop
acoustic_guitar,at_location,rock_band
acoustic_guitar,at_location,studio
acrylic,at_location,art_store
acrylic,at_location,factory
acrylic,at_location,paint
acrylic,at_location,paint_store
acrylic,at_location,painting
action_figure,at_location,bathtub
action_figure,at_location,store4
action_figure,at_location,theater
action_figure,at_location,toy_chest
action_figure,at_location,toy_department
action_figure,at_location,toy_store
action_figure,at_location,toybox
action_figures,at_location,toy_store
activists,at_location,demonstration
actor,at_location,movie
actor,at_location,show
actor,at_location,television
actor,at_location,theater
actors,at_location,movie
actors,at_location,movies
actors,at_location,opera
actors,at_location,play
actors,at_location,show
actors,at_location,television
actors,at_location,theater
actors_putting_on_play,at_location,theatre
actresses,at_location,movies
ad,at_location,newspaper
adamorobe_sign_language,at_location,ghana
address,at_location,house
address,at_location,telephone_book
address_book,at_location,desk
address_book,at_location,suitcase
address_books,at_location,cabinet
address_label,at_location,desk_drawer
address_label,at_location,drawer
address_label,at_location,envelope
address_label,at_location,junk_mail
address_label,at_location,office
address_label,at_location,office_supply_store
address_label,at_location,parcel
address_label,at_location,printer
address_label,at_location,trash
addresses,at_location,cabinet
addresses,at_location,phonebook
adhesive_bandage,at_location,boo_boo
adhesive_bandage,at_location,bookshop
adhesive_bandage,at_location,drug_store
adhesive_bandage,at_location,first_aid_kit
adhesive_bandage,at_location,hospitals
adhesive_bandage,at_location,medicine_cabinet
adhesive_bandage,at_location,pharmacy
adhesive_pad,at_location,carpet
adidas,at_location,germany
adirondack_chairs,at_location,porch
adjenda,at_location,meeting
admiralty_island,at_location,abc_islands
admission_ticket,at_location,movie
adonara,at_location,lesser_sunda_islands
ads,at_location,newspaper
advertisement,at_location,bus
advertisement,at_location,comercial
advertisement,at_location,email
advertisement,at_location,la_ville
advertisement,at_location,magazine
advertisement,at_location,mail
advertisement,at_location,mail_box
advertisement,at_location,store
advertisement,at_location,tv
advertisement,at_location,web_page
advertisement_billboard,at_location,bus_stop
advertisements,at_location,mail_bags
advertisements,at_location,mail_box
advertisements,at_location,soccer_game
advertisements,at_location,subway
advertisements,at_location,television
advertising,at_location,newspaper
advertising_panel,at_location,advertising_agency
advertising_panel,at_location,airport
advertising_panel,at_location,hockey_rink
advertising_panel,at_location,loo_in_metro_stations
advertising_panel,at_location,magazine
advertising_panel,at_location,new_york
advertising_panel,at_location,newspaper
advertising_panel,at_location,underground
advertisments,at_location,bus
advertisments,at_location,newspaper
adverts,at_location,magazine
adverts,at_location,mail
advice,at_location,doctor
aeolic_greek,at_location,aeolis
aeolic_greek,at_location,thessaly
aerial_bomb,at_location,air
aerial_bomb,at_location,airforce
aerial_bomb,at_location,airplane
aerial_bomb,at_location,military_bomber
aerial_bomb,at_location,plane
aerial_bomb,at_location,stealth_bomber
aerial_bomb,at_location,war
aetna,at_location,united_states
affairs,at_location,work
afrikaans,at_location,namibia
afrikaans,at_location,south_africa
afro_seminole_creole,at_location,mexico
afro_seminole_creole,at_location,united_states
after_shave_lotion,at_location,cabinet
agco,at_location,united_states
agenda,at_location,meeting
agendas,at_location,conference
agent_provocateur,at_location,london
agent_provocateur,at_location,united_kingdom
aggravation,at_location,mall
agora,at_location,kazan
agora,at_location,russia
agro,at_location,kiev
agro,at_location,ukraine
ahy,at_location,loft
aiplane,at_location,airport
air,at_location,airport
air,at_location,balloon
air,at_location,bridge
air,at_location,bus
air,at_location,cupboard
air,at_location,house
air,at_location,jar
air,at_location,lungs
air,at_location,mail_box
air,at_location,pocket
air,at_location,sky
air,at_location,space_shuttle
air,at_location,supermarket
air,at_location,surface_of_earth
air,at_location,theatre
air,at_location,top_of_mountain
air,at_location,train_station
air_bubble,at_location,water
air_bubbles,at_location,water
air_conditioner,at_location,building
air_conditioner,at_location,car
air_conditioner,at_location,computer_room
air_conditioner,at_location,hard
air_conditioner,at_location,home
air_conditioner,at_location,house
air_conditioner,at_location,office
air_conditioner,at_location,office_building
air_conditioner,at_location,south
air_conditioner,at_location,texas
air_conditioner,at_location,warm_climates
air_conditioning,at_location,car
air_conditioning,at_location,hot_room
air_conditioning,at_location,house
air_conditioning,at_location,icerink
air_conditioning,at_location,movie_theatre
air_conditioning,at_location,offices
air_conditioning,at_location,rich_home
air_freshener,at_location,car
air_hockey_game_set,at_location,sporting_goods_store
air_hostess,at_location,plane
air_mail_stamp,at_location,desk
air_rifle,at_location,sporting_goods_store
air_terminal,at_location,air_port
air_terminal,at_location,airport
air_terminal,at_location,city
air_terminal,at_location,detroit
air_terminal,at_location,international_air_port
air_ticket,at_location,air_terminal
air_ticket,at_location,airline_terminal
air_ticket,at_location,airport
air_ticket,at_location,billfold
air_ticket,at_location,briefcase
air_ticket,at_location,envelope
air_ticket,at_location,suitcase
air_traffic_control_tower,at_location,airport
air_traffic_controller,at_location,airport
aircraft,at_location,air
aircraft,at_location,sky
airline_representatives,at_location,airport
airline_seat,at_location,airplane_factory
airline_seat,at_location,front_of_plane
airline_seat,at_location,onboard_plane
airlock,at_location,space_shuttle
airplane,at_location,air
airplane,at_location,airplane_hangar
airplane,at_location,hangar
airplane,at_location,hanger
airplane,at_location,military_base
airplane,at_location,sky
airplane_seat,at_location,airplane
airplane_seat,at_location,plane
airplanes,at_location,air
airplanes,at_location,aircraft_carrier
airplanes,at_location,military_base
airplanes,at_location,sky
airplanes,at_location,war
airport,at_location,city
airport,at_location,suitcase
airy,at_location,mars
aisle,at_location,building
aisle,at_location,church
aisle,at_location,department_store
aisle,at_location,drugstore
aisle,at_location,grocery_store
aisle,at_location,guide_rope
aisle,at_location,sanctuary
aisle,at_location,store
aisle,at_location,supermarket
aisles,at_location,plane
aisles,at_location,store
aisles,at_location,theatre
aker,at_location,norway
aker,at_location,oslo
al_gore,at_location,orbit
alarm_clock,at_location,home
albertina,at_location,austria
albertina,at_location,vienna
album,at_location,book_case
album,at_location,book_shelf
album,at_location,cd_case
album,at_location,closet
album,at_location,music_store
album,at_location,musicstore
album,at_location,photo_shop
album,at_location,record_store
album,at_location,recordstore
album,at_location,scrapbook_store
alcholic_drinks,at_location,bar
alcohol,at_location,beer
alcohol,at_location,chemistry_lab
alcohol,at_location,distillery
alcohol,at_location,fraternity_house
alcohol,at_location,fridge
alcohol,at_location,plane
alcohol,at_location,pub
alcohol,at_location,restaurants
alcohol,at_location,supermarket
alcohol,at_location,wine
alcohol_at_parties,at_location,fraternity_house
alcohol_drinks,at_location,bar
alcoholic,at_location,bar
alcoholic,at_location,bridge
alcoholic,at_location,homeless_shelter
alcoholic,at_location,park
alcoholic,at_location,prison
alcoholic_beverage,at_location,bar
alcoholic_beverages,at_location,bar
alcoholic_beverages,at_location,bowling_alley
alcoholic_beverages,at_location,fraternity_house
alcoholic_drink,at_location,pub
alcoholics,at_location,bar
alcoholics,at_location,fraternity_house
alcoholics,at_location,liquor_store
alcon,at_location,switzerland
alcon,at_location,united_states
alemannic_german,at_location,austria
alemannic_german,at_location,france
alemannic_german,at_location,germany
alemannic_german,at_location,italy
alemannic_german,at_location,liechtenstein
alemannic_german,at_location,piedmont
alemannic_german,at_location,swabia
alemannic_german,at_location,switzerland
alemannic_german,at_location,venezuela
alert_police_officers,at_location,roadblock
aletschhorn,at_location,switzerland
aletschhorn,at_location,valais
