overlay_type,subject,predicate,object,definition,source_page,evidence_text,evidence_span,stability,risk,trust,candidate_source,extraction_pattern,confidence_label
overlay_relation,"Systems, a subsidiary of the General Electric Company,",owned_by,British Aerospace,,Aerospace manufacturer,"Marconi Electronic Systems, a subsidiary of the General Electric Company, was acquired by British Aerospace for US$12.3 billion in 1999 merger, to form BAE Systems.","Marconi Electronic Systems, a subsidiary of the General Electric Company, was acquired by British Aerospace for US$12.3 billion in 1999 merger, to form BAE Systems.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,acquired_by_v2,pattern_explicit
overlay_relation,"Systems, a subsidiary of the General Electric Company,",owned_by,US,,Aerospace manufacturer,"Marconi Electronic Systems, a subsidiary of the General Electric Company, was acquired by British Aerospace for US$12.3 billion in 1999 merger, to form BAE Systems.","Marconi Electronic Systems, a subsidiary of the General Electric Company, was acquired by British Aerospace for US$12.3 billion in 1999 merger, to form BAE Systems.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,acquired_by_v2,pattern_explicit
overlay_relation,Automotive industry,located_in,North America,,Automotive industry,"The industry's expansion has also led to specialised academic programs in automotive marketing and dealership management; for example, Northwood University in Michigan hosts the annual Northwood University International Auto Show, which is the largest student-run outdoor automotive exhibition in North America.","The industry's expansion has also led to specialised academic programs in automotive marketing and dealership management; for example, Northwood University in Michigan hosts the annual Northwood University International Auto Show, which is the largest student-run outdoor automotive exhibition in North America.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Two of these buses,used_for,the 1996 Summer Olympics in Atlanta,,Battery electric vehicle,Two of these buses were used for the 1996 Summer Olympics in Atlanta.,Two of these buses were used for the 1996 Summer Olympics in Atlanta.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,used_for_v2,pattern_explicit
overlay_relation,Proterra EcoRide BE35,uses,lithium-titanate batteries and is able,,Battery electric vehicle,The Proterra EcoRide BE35 uses lithium-titanate batteries and is able to fast-charge in less than 10 minutes.,The Proterra EcoRide BE35 uses lithium-titanate batteries and is able to fast-charge in less than 10 minutes.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,uses_v2,pattern_explicit
overlay_relation,Battery electric vehicle,located_in,California's San Joaquin Valley,,Battery electric vehicle,"In 2014, the first production model all-electric school bus was delivered to the Kings Canyon Unified School District in California's San Joaquin Valley.","In 2014, the first production model all-electric school bus was delivered to the Kings Canyon Unified School District in California's San Joaquin Valley.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Arnault,located_in,Roubaix,,Bernard Arnault,Early life and education Bernard Jean Étienne Arnault was born on 5 March 1949 in Roubaix.,Early life and education Bernard Jean Étienne Arnault was born on 5 March 1949 in Roubaix.,semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Arnault took classical piano lessons as a child,located_in,Lille,,Bernard Arnault,"Raised in a ""strict Catholic-Auvergne"" style by his devoutly Catholic grandmother, Arnault took classical piano lessons as a child and was educated at Catholic schools, the Lycée Maxence Van Der Meersch in Roubaix and the Lycée Faidherbe in Lille, which takes boarders and prepares them for the grandes écoles.","Raised in a ""strict Catholic-Auvergne"" style by his devoutly Catholic grandmother, Arnault took classical piano lessons as a child and was educated at Catholic schools, the Lycée Maxence Van Der Meersch in Roubaix and the Lycée Faidherbe in Lille, which takes boarders and prepares them for the grandes écoles.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
overlay_relation,Berluti and Kenzo,owned_by,LVMH,,Bernard Arnault,"LVMH acquired Berluti and Kenzo in 1993, the same year Arnault bought out the French economic newspaper La Tribune.","LVMH acquired Berluti and Kenzo in 1993, the same year Arnault bought out the French economic newspaper La Tribune.",semi_stable,medium,overlay_candidate,pump_extraction_yield_v2,acquired_active_v2,pattern_explicit
overlay_relation,Data for each year,located_in,U.S,,Billionaire,"Data for each year is from the annual Forbes list of billionaires, with currency figures given in U.S. dollars.","Data for each year is from the annual Forbes list of billionaires, with currency figures given in U.S. dollars.",semi_stable,low,overlay_candidate,pump_extraction_yield_v2,located_in_v2,pattern_explicit
